#SF6APP_META
#characterId=akuma
#displayNameCN=
#displayNameEN=Akuma
#(You can edit CSV freely. Lines starting with # are ignored on import.)
id,category,nameEN,nameCN,input,inputDisplay,hitType,startup,active,recovery,onBlock,onHit,damage,superArt,driveOnHit,driveOnBlock,driveOnPunishCounter,cancel
st_lp,normals,Standing Light Punch,站轻拳,5lp,,High,4,3,7,-1,4,300,300,250,-500,-2000,"Special, Drive, Super"
st_mp,normals,Standing Medium Punch,站中拳,5mp,,High,6,4,11,1,4,600,500,1500,-3000,-4000,"Special, Drive, Super"
st_hp,normals,Standing Heavy Punch,站重拳,5hp,,High,9,5,18,-3,3,800,1000,2000,-5000,-8000,"Special, Drive, Super"
st_lk,normals,Standing Light Kick,站轻脚,5lk,,High,5,3,11,-4,2,300,300,250,-500,-2000,"Special, Drive, Super"
st_mk,normals,Standing Medium Kick,站中脚,5mk,,High,7,5,15,-3,3,700,500,2000,-4000,-6000,"Special, Drive, Super"
st_hk,normals,Standing Heavy Kick,站重脚,5hk,,High,13,"3, 4",15,3,7,800,1000,3000,-6000,-10000,-
cr_lp,normals,Crouching Light Punch,下轻拳,2lp,,High,4,2,9,-1,5,300,300,250,-500,-2000,"Special, Drive, Super"
cr_mp,normals,Crouching Medium Punch,下中拳,2mp,,High,6,3,14,-1,6,600,500,1500,-3000,-4000,"Special, Drive, Super"
cr_hp,normals,Crouching Heavy Punch,下重拳,2hp,,High,8,8,19,-8,0,900,1000,3000,-6000,-8000,"Special, Drive, Super"
cr_lk,normals,Crouching Light Kick,下轻脚,2lk,,Low,5,2,10,-3,3,200,300,250,-500,-2000,-
cr_mk,normals,Crouching Medium Kick,下中脚,2mk,,Low,8,3,19,-6,1,500,500,1000,-2000,-4000,"Special, Drive, Super"
cr_hk,normals,Crouching Heavy Kick,下重脚,2hk,,Low,9,3,23,-12,-,900,1000,3000,-4000,-10000,-
j_lp,normals,Jumping Light Punch,跳轻拳,j>lp,,Overhead,4,10,-,-,-,300,300,500,-1500,-2000,-
j_mp,normals,Jumping Medium Punch,跳中拳,j>mp,,Overhead,8,4,-,-,-,700,500,1000,-2500,-4000,"Special, Drive, Super"
j_hp,normals,Jumping Heavy Punch,跳重拳,j>hp,,Overhead,9,6,-,-,-,800,1000,2000,-4000,-5000,-
j_lk,normals,Jumping Light Kick,跳轻脚,j>lk,,Overhead,6,10,-,-,-,300,300,500,-1500,-2000,-
j_mk,normals,Jumping Medium Kick,跳中脚,j>mk,,Overhead,7,6,-,-,-,500,500,1000,-2500,-4000,-
j_hk,normals,Jumping Heavy Kick,跳重脚,j>hk,,Overhead,12,6,-,-,-,800,1000,2000,-4000,-5000,-
f_mp,normals,Skull Splitter,頭蓋破殺,6mp,,Overhead,20,"1, 3",18,-1,3,600,500,1500,-2500,-5000,-
f_mk,normals,Resso Snap Kick,裂槍脚,6mk,,High,10,3,18,-4,5,700,500,2000,-4000,-6000,-
b_hk,normals,Rago High Kick,羅豪脚,4hk,,High,12,5,27,-15,-,800,1000,2000,-5000,-5000,"Special, Drive, Super"
viscera_piercer,targetCombos,Viscera Piercer,六腑穿ち,5mp>5mp,,High,7,3,21,-6,-1,700,500,1500,-2000,-4000,"Special, Drive, Super"
bone_crusher_axe_kick,targetCombos,Bone Crusher Axe Kick,骸新り,5mk>5hk,,Overhead,20,3,20,-3,1,600,1000,2000,-4000,-5000,-
f_hp,targetCombos,Kikoku Combination (1),鬼哭連撃（１）,6hp,,High,13,4,20,-3,4,800,1000,2000,-5000,-8000,-
kikoku_combination_2,targetCombos,Kikoku Combination (2),鬼哭連撃（２）,6hp>6hp,,High,10,3,21,-10,-,600,1000,2000,-5000,-8000,-
