#SF6APP_META
#characterId=chunli
#displayNameCN=
#displayNameEN=Chunli
#(You can edit CSV freely. Lines starting with # are ignored on import.)
id,category,nameEN,nameCN,input,inputDisplay,hitType,startup,active,recovery,onBlock,onHit,damage,superArt,driveOnHit,driveOnBlock,driveOnPunishCounter,cancel
st_lp,normals,Standing Light Punch,站轻拳,5lp,,High,4,3,7,-3,5,300,300,250,-500,-2000,"Special, Drive, Super"
st_mp,normals,Standing Medium Punch,站中拳,5mp,,High,5,4,10,1,6,600,600,1500,-3000,-4000,"Special, Drive, Super"
st_hp,normals,Standing Heavy Punch,站重拳,5hp,,High,13,3,20,-3,2,800,800,3000,-6000,-8000,Other (serenity-stream)
st_lk,normals,Standing Light Kick,站轻脚,5lk,,Low,5,3,10,-2,2,300,300,250,-500,-2000,"Special, Drive, Super"
st_mk,normals,Standing Medium Kick,站中脚,5mk,,Low,7,4,16,-2,4,500,700,1500,-3000,-4000,"Special, Drive, Super"
st_hk,normals,Standing Heavy Kick,站重脚,5hk,,Low,14,3,18,0,4,900,1000,3000,-6000,-10000,Other (serenity-stream)
cr_lp,normals,Crouching Light Punch,下轻拳,2lp,,High,4,3,7,-2,4,300,300,250,-500,-2000,"Special, Drive, Super"
cr_mp,normals,Crouching Medium Punch,下中拳,2mp,,High,6,4,13,-2,4,600,600,1500,-3000,-4000,"Special, Drive, Super"
cr_hp,normals,Crouching Heavy Punch,下重拳,2hp,,High,11,"3, 5",18,-3,1,900,1000,2000,-5000,-8000,"Special, Drive, Super"
cr_lk,normals,Crouching Light Kick,下轻脚,2lk,,Low,4,2,10,-2,0,200,300,250,-500,-2000,"Special, Drive, Super"
cr_mk,normals,Crouching Medium Kick,下中脚,2mk,,Low,7,3,19,-6,-2,500,500,1000,-2000,-4000,"Special, Drive, Super"
cr_hk,normals,Crouching Heavy Kick,下重脚,2hk,,Low,9,6,19,-7,-,900,1000,3000,-4000,-10000,Other (serenity-stream)
j_lp,normals,Jumping Light Punch,跳轻拳,j>lp,,High,4,10,-,-,-,300,300,500,-1500,-2000,-
j_mp,normals,Jumping Medium Punch,跳中拳,j>mp,,High,7,"4, 5",-,-,-,600,500,1000,-1250,-4000,"Special, Drive, Super"
j_hp,normals,Jumping Heavy Punch,跳重拳,j>hp,,Overhead,9,6,-,-,-,800,1000,2000,-4000,-5000,-
j_lk,normals,Jumping Light Kick,跳轻脚,j>lk,,Overhead,4,8,-,-,-,300,300,500,-1500,-2000,-
