#SF6APP_META
#characterId=deejay
#displayNameCN=
#displayNameEN=Deejay
#(You can edit CSV freely. Lines starting with # are ignored on import.)
id,category,nameEN,nameCN,input,inputDisplay,hitType,startup,active,recovery,onBlock,onHit,damage,superArt,driveOnHit,driveOnBlock,driveOnPunishCounter,cancel
st_lp,normals,Standing Light Punch,站轻拳,5lp,,High,4,3,6,-1,4,300,300,250,-500,-2000,"Special, Drive, Super"
st_mp,normals,Standing Medium Punch,站中拳,5mp,,High,7,2,13,2,5,600,500,2000,-4000,-6000,-
st_hp,normals,Standing Heavy Punch,站重拳,5hp,,High,9,6,18,-4,3,800,1000,2000,-5000,-8000,"Special, Drive, Super"
st_lk,normals,Standing Light Kick,站轻脚,5lk,,Low,5,2,12,-2,2,300,300,250,-500,-2000,"Special, Drive, Super"
st_mk,normals,Standing Medium Kick,站中脚,5mk,,Low,9,3,16,-1,6,600,700,2000,-4000,-6000,-
st_hk,normals,Standing Heavy Kick,站重脚,5hk,,Low,12,3,22,-5,1,800,1000,3000,-6000,-8000,-
cr_lp,normals,Crouching Light Punch,下轻拳,2lp,,High,5,3,8,-1,4,300,300,250,-500,-2000,"Special, Drive, Super"
cr_mp,normals,Crouching Medium Punch,下中拳,2mp,,High,6,4,14,-1,4,600,500,1500,-3000,-4000,"Special, Drive, Super"
cr_hp,normals,Crouching Heavy Punch,下重拳,2hp,,High,8,2,20,-2,6,800,1000,3000,-4000,-10000,-
cr_lk,normals,Crouching Light Kick,下轻脚,2lk,,Low,5,2,10,-2,2,200,300,250,-500,-2000,-
cr_mk,normals,Crouching Medium Kick,下中脚,2mk,,Low,8,4,19,-6,-,700,600,2000,-4000,-6000,-
cr_hk,normals,Crouching Heavy Kick,下重脚,2hk,,Low,14,10,15,-11,-,900,1000,3000,-4000,-10000,-
j_lp,normals,Jumping Light Punch,跳轻拳,j>lp,,High,4,7,-,-,-,300,300,500,-1500,-2000,-
j_mp,normals,Jumping Medium Punch,跳中拳,j>mp,,High,6,4,-,-,-,700,500,1000,-2500,-4000,-
j_hp,normals,Jumping Heavy Punch,跳重拳,j>hp,,Overhead,9,6,-,-,-,800,1000,2000,-4000,-5000,-
j_lk,normals,Jumping Light Kick,跳轻脚,j>lk,,Overhead,4,6,-,-,-,300,300,500,-1500,-2000,-
j_mk,normals,Jumping Medium Kick,跳中脚,j>mk,,Overhead,8,6,-,-,-,500,500,1000,-2500,-4000,-
j_hk,normals,Jumping Heavy Kick,跳重脚,j>hk,,Overhead,10,5,-,-,-,800,1000,2000,-4000,-5000,-
knee_shot,normals,Knee Shot,ニーショット,j>2lk,,Overhead,6,1,-,-,-,300,300,500,-1500,-2000,-
f_mk,normals,Sunrise Heel,サンライズヒール,6mk,,High,19,5,16,1,5,700,500,2000,-4000,-6000,Super
f_hk,normals,Face Breaker,フェイスブレイカー,6hk,,High,7,"2, 4",20,-5,1,800,1000,2000,-5000,-8000,"Special, Drive, Super"
threebeat_combo_2,targetCombos,Threebeat Combo (2),3ビートコンボ (2段目),lp>mk,,High,9,3,20,-3,2,400,300,250,-2000,-2000,-
threebeat_combo_3,targetCombos,Threebeat Combo (3),3ビートコンボ (3段目),lp>mk>mk,,High,14,3,19,-8,3,626,400,500,-2000,-4000,-
dee_jay_special_2,normals,Dee Jay Special (2),ディージェイスペシャル (2段目),mp>hp,,High,11,7,24,-11,-2,500,1000,2000,-3000,-7000,-
dee_jay_special_3,normals,Dee Jay Special (3),ディージェイスペシャル (3段目),mp>hp>hk,,High,13,3,30,-13,-,600,1000,2500,-5000,-7000,Super
funky_dance_2,targetCombos,Funky Dance (2),ファンキーダンス (2段目),mp>mp,,High,12,2,17,-2,2,500,300,400,-1000,-4000,-
funky_dance_3,targetCombos,Funky Dance (3),ファンキーダンス (3段目),mp>mp>hp,,High,20,2,24,-8,-,900,1000,2500,-7000,-7000,-
funky_dance_feint,targetCombos,Funky Dance Feint,ファンキーダンス・フェイク,mp>mp>4hp,,High,-,-,-,-,-,-,-,-,-,-,-
party_in_the_air,targetCombos,Party in the Air,フライングパーティー,j>mp>hp,,Overhead,8,7,-,-,-,700,1000,2000,-4000,-5000,-
speedy_maracas,normals,Speedy Maracas,マラカスビート,22(pp),,High,-,-,-,-,-,-,-,-,-,-,-
air_slasher_light,specials,Air Slasher (Light),エアスラッシャー（弱）,[4]>6lp,,-,-,-,-,-,-,-,-,-,-,-,-
air_slasher_medium,specials,Air Slasher (Medium),エアスラッシャー（中）,[4]>6mp,,High,17,-,-,-5,0,600,600,1000,-2500,-3000,Super
air_slasher_heavy,specials,Air Slasher (Heavy),エアスラッシャー（強）,[4]>6hp,,High,17,-,-,-3,3,1000,900,1500,-5000,-3000,Super
air_slasher_od,specials,Air Slasher (OD),エアスラッシャー（OD）,[4]>6(pp),,High,10,-,-,2,5,1000,600,-,-2500,-5000,Super
air_slasher_projectile_od,specials,Air Slasher Projectile (OD),エアスラッシャー 射出（OD）,[4]>6(pp),,High,22,-,-,9,-,1000,600,-,-2500,-5000,Super
jackknife_maximum_light,specials,Jackknife Maximum (Light),ジャックナイフマキシマム（弱）,[2]>8lk,,-,-,-,-,-,-,-,-,-,-,-,-
jackknife_maximum_medium,specials,Jackknife Maximum (Medium),ジャックナイフマキシマム（中）,[2]>8mk,,High,6,"3, 4",22,-32,-,1100,1000,2000,-4000,-5000,-
jackknife_maximum_heavy,specials,Jackknife Maximum (Heavy),ジャックナイフマキシマム（強）,[2]>8hk,,High,6,"4, 5, 4",17,-44,-,1300,1200,2000,-4000,-5000,-
jackknife_maximum_od,specials,Jackknife Maximum (OD),ジャックナイフマキシマム（OD）,[2]>8(kk),,High,6,"6, 3, 3, 3, 4",29,-55,-,1500,1000,-,-4200,-,-
roll_through_feint,specials,Roll Through Feint,フェイクロールステップ,236lk,,-,-,-,-,-,-,-,-,-,-,-,-
quick_rolling_sobat,specials,Quick Rolling Sobat,クイックローリングソバット,236mk,,High,12,3,23,-6,-,1000,1000,2000,-4000,-7000,Super
double_rolling_sobat,specials,Double Rolling Sobat,ダブルローリングソバット,236hk,,High,15,"3, 4",24,-10,2,1400,1500,2000,-2000,-3500,Super
double_rolling_sobat_od,specials,Double Rolling Sobat (OD),ダブルローリングソバット（OD）,236(kk),,High,19,"2, 3",19,-2,-,1300,1500,-,-2000,-3500,Super
machine_gun_uppercut_light,specials,Machine Gun Uppercut (Light),マシンガンアッパー（弱）,214lp,,High,15,4,35,-19,-,1650,1700,2800,-3000,-5000,Super
machine_gun_uppercut_medium,specials,Machine Gun Uppercut (Medium),マシンガンアッパー（中）,214mp,,High,22,4,35,-19,-,1900,1700,3200,-3000,-5000,Super
machine_gun_uppercut_heavy,specials,Machine Gun Uppercut (Heavy),マシンガンアッパー（強）,214hp,,High,28,4,35,-19,-,2200,2100,4000,-3000,-5000,Super
machine_gun_uppercut_od,specials,Machine Gun Uppercut (OD),マシンガンアッパー（OD）,214(pp),,High,28,4,35,-19,-,2500,3100,-,-3000,-5000,Super
jus_cool,specials,Jus Cool,ジョスクール,214*k,,-,-,-,-,-,-,-,-,-,-,-,-
funky_slicer,specials,Funky Slicer,ファンキースライサー,lk,214*k>lk,Low,12,3,22,-15,2,800,1000,2000,-4000,-7000,Super
waning_moon,specials,Waning Moon,ワニングムーン,mk,214*k>mk,Overhead,25,3,16,1,-,1000,1000,2000,-6000,-7000,-
maximum_strike,specials,Maximum Strike,マキシマムストライク,hk,214*k>hk,High,15,5,25,-10,-,1000,1000,2000,-4000,-7000,Super
juggling_dash,specials,Juggling Dash,ジャグリンステップ,6*p,214*k>6*p,-,-,-,-,-,-,-,-,-,-,-,-
jus_cool_od,specials,Jus Cool (OD),ジョスクール（OD）,214(kk),,-,8,5,36,-29,-,500,1000,-,-4000,-5000,-
