#SF6APP_META
#characterId=dhalsim
#displayNameCN=
#displayNameEN=Dhalsim
#(You can edit CSV freely. Lines starting with # are ignored on import.)
id,category,nameEN,nameCN,input,inputDisplay,hitType,startup,active,recovery,onBlock,onHit,damage,superArt,driveOnHit,driveOnBlock,driveOnPunishCounter,cancel
st_lp,normals,Standing Light Punch,站轻拳,5lp,,High,4,3,8,-1,4,300,300,250,-500,-2000,"Special, Drive, Super"
st_mp,normals,Standing Medium Punch,站中拳,5mp,,High,14,3,19,-5,0,700,500,2000,-3000,-6000,-
st_hp,normals,Standing Heavy Punch,站重拳,5hp,,High,16,4,27,-11,-6,1000,1000,2500,-5000,-8000,-
st_lk,normals,Standing Light Kick,站轻脚,5lk,,Low,9,4,11,-6,2,300,300,250,-500,-2000,"Special, Drive, Super"
st_mk,normals,Standing Medium Kick,站中脚,5mk,,Low,12,3,18,-6,-2,600,500,2000,-3000,-6000,-
st_hk,normals,Standing Heavy Kick,站重脚,5hk,,Low,17,3,20,-6,3,800,1000,2500,-4000,-8000,"Special, Drive, Super"
cr_lp,normals,Crouching Light Punch,下轻拳,2lp,,High,5,3,9,-1,4,300,300,250,-500,-2000,"Special, Drive, Super"
cr_mp,normals,Crouching Medium Punch,下中拳,2mp,,High,12,3,16,-4,0,600,500,2000,-3000,-6000,"Special, Drive, Super"
cr_hp,normals,Crouching Heavy Punch,下重拳,2hp,,High,19,4,24,-12,-1,800,1000,2500,-4000,-8000,-
cr_lk,normals,Crouching Light Kick,下轻脚,2lk,,Low,4,7,16,-10,-5,200,300,250,-500,-2000,-
cr_mk,normals,Crouching Medium Kick,下中脚,2mk,,Low,10,13,14,-10,-3,500,500,1000,-2000,-3000,-
cr_hk,normals,Crouching Heavy Kick,下重脚,2hk,,Low,12,16,20,-16,-,900,1000,2000,-4000,-7000,-
j_lp,normals,Jumping Light Punch,跳轻拳,j>lp,,High,4,4,-,-,-,300,300,750,-1500,-2000,-
j_mp,normals,Jumping Medium Punch,跳中拳,j>mp,,High,9,6,-,-,-,700,500,1500,-3000,-4000,"Special, Drive, Super"
j_hp,normals,Jumping Heavy Punch,跳重拳,j>hp,,Overhead,13,4,-,-,-,800,1000,2500,-5000,-6000,-
j_lk,normals,Jumping Light Kick,跳轻脚,j>lk,,Overhead,6,4,-,-,-,300,300,750,-1500,-2000,-
j_mk,normals,Jumping Medium Kick,跳中脚,j>mk,,Overhead,11,6,-,-,-,500,500,1500,-3000,-4000,-
j_hk,normals,Jumping Heavy Kick,跳重脚,j>hk,,Overhead,10,10,-,-,-,800,1000,2500,-5000,-6000,-
b_mp,normals,Yoga Uppercut,ヨガアッパー,4mp,,High,8,6,16,-3,2,700,500,1500,-3000,-4000,"Special, Drive, Super"
b_hp,normals,Yoga Lance,ヨガランス,4hp,,High,14,7,29,-16,-9,900,1000,2500,-5000,-8000,"Special, Drive, Super"
n1_hp,normals,Nirvana Punch,涅槃パンチ,1hp,,High,10,4,20,-3,3,800,1000,2000,-5000,-8000,"Special, Drive, Super"
n1_lk,normals,Agile Kick,アジャイルキック,1lk,,Low,5,3,10,-5,1,200,300,250,-500,-2000,-
b_mk,normals,Divine Kick,合掌キック,4mk,,High,7,4,17,0,3,600,500,1500,-3000,-4000,"Special, Drive, Super"
n1_mk,normals,Thrust Kick,スラストキック,1mk,,Low,8,3,20,-7,-3,500,500,1500,-3000,-4000,"Special, Drive, Super"
b_hk,normals,Yoga Mountain,ヨガマウンテン,4hk,,High,14,6,20,-9,0,1000,1000,3000,-6000,-10000,-
n1_hk,normals,Karma Kick,因果キック,1hk,,High,9,3,22,-7,-,900,1000,2500,-5000,-10000,-
yoga_mummy,normals,Yoga Mummy,ヨガマミー,j>2lp,,Overhead,10,1,-,-,-,500,500,1500,-3000,-4000,"Special, Drive, Super"
drill_kick_light,normals,Drill Kick (Light),ドリルキック (弱),j>2lk,,Overhead,9,1,-,-,-,500,500,1500,-3000,-4000,-
drill_kick_medium,normals,Drill Kick (Medium),ドリルキック (中),j>2mk,,Overhead,9,1,-,-,-,500,500,1500,-3000,-4000,-
drill_kick_heavy,normals,Drill Kick (Heavy),ドリルキック (強),j>2hk,,Overhead,9,1,-,-,-,500,500,1500,-3000,-4000,-
cr_hk,normals,Long Sliding Kick,下重脚,2hk,,Low,12,16,20,-16,-,900,1000,2000,-4000,-7000,-
yoga_fire_light,specials,Yoga Fire (Light),ヨガファイア (弱),236lp,,High,15,-,-,-6,-2,600,600,2000,-4000,-3000,Super
yoga_fire_light_charged,specials,Yoga Fire (Light Charged),ヨガファイア (弱ホールド),236[lp],,High,43,-,-,-3,-,800,800,2000,-4000,-3000,Super
yoga_fire_medium,specials,Yoga Fire (Medium),ヨガファイア (中),236mp,,High,15,-,-,-6,-2,600,600,2000,-4000,-3000,Super
yoga_fire_medium_charged,specials,Yoga Fire (Medium Charged),ヨガファイア (中ホールド),236[mp],,High,43,-,-,-3,-,800,800,2000,-4000,-3000,Super
yoga_fire_heavy,specials,Yoga Fire (Heavy),ヨガファイア (強),236hp,,High,15,-,-,-6,-2,600,600,2000,-4000,-3000,Super
yoga_fire_heavy_charged,specials,Yoga Fire (Heavy Charged),ヨガファイア (強ホールド),236[hp],,High,43,-,-,-3,-,800,800,2000,-4000,-3000,Super
yoga_fire_od_light,specials,Yoga Fire (Light OD),ヨガファイア (弱OD),236(lp+mp),,High,13,-,-,-3,-,1000,800,-,-4000,-5000,Super
yoga_fire_od_medium,specials,Yoga Fire (Medium OD),ヨガファイア (中OD),236(lp+hp),,High,13,-,-,-3,-,1000,800,-,-4000,-5000,Super
yoga_fire_od_heavy,specials,Yoga Fire (Heavy OD),ヨガファイア (強OD),236(mp+hp),,High,13,-,-,-3,-,1000,800,-,-4000,-5000,Super
yoga_arch_light,specials,Yoga Arch (Light),ヨガアーチ (弱),236lk,,High,18,-,-,-1,1,600,600,2000,-4000,-3000,Super
yoga_arch_medium,specials,Yoga Arch (Medium),ヨガアーチ (中),236mk,,High,18,-,-,-1,1,600,600,2000,-4000,-3000,Super
yoga_arch_heavy,specials,Yoga Arch (Heavy),ヨガアーチ (強),236hk,,High,18,-,-,-1,1,600,600,2000,-4000,-3000,Super
yoga_arch_od_light,specials,Yoga Arch (Light OD),ヨガアーチ (弱OD),236(lk+mk),,High,18,-,-,-3,1,1000,800,-,-2500,-5000,Super
yoga_arch_od_medium,specials,Yoga Arch (Medium OD),ヨガアーチ (中OD),236(lk+hk),,High,18,-,-,-3,1,1000,800,-,-2500,-5000,Super
yoga_arch_od_heavy,specials,Yoga Arch (Heavy OD),ヨガアーチ (強OD),236(mk+hk),,High,18,-,-,-3,1,1000,800,-,-2500,-5000,Super
yoga_flame_light,specials,Yoga Flame (Light),ヨガフレイム（弱）,63214lp,,High,16,15,-,-4,-,800,900,2000,-4000,-5000,Super
