#SF6APP_META
#characterId=ed
#displayNameCN=
#displayNameEN=Ed
#(You can edit CSV freely. Lines starting with # are ignored on import.)
id,category,nameEN,nameCN,input,inputDisplay,hitType,startup,active,recovery,onBlock,onHit,damage,superArt,driveOnHit,driveOnBlock,driveOnPunishCounter,cancel
st_lp,normals,Standing Light Punch,站轻拳,5lp,,High,4,3,7,-1,4,300,300,250,-500,-2000,"Special, Drive, Super"
st_mp,normals,Standing Medium Punch,站中拳,5mp,,High,7,3,15,-1,6,600,500,1500,-3000,-4000,"Special, Drive, Super"
st_hp,normals,Standing Heavy Punch,站重拳,5hp,,High,10,4,18,-2,5,800,1000,2000,-5000,-8000,"Special, Drive, Super"
st_lk,normals,Standing Light Kick,站轻脚,5lk,,Low,6,2,13,-3,3,300,300,250,-500,-2000,-
st_mk,normals,Standing Medium Kick,站中脚,5mk,,Low,10,2,18,-5,0,600,700,1500,-3000,-4000,"Special, Drive, Super"
st_hk,normals,Standing Heavy Kick,站重脚,5hk,,Low,10,3,12,4,8,800,1000,3000,-6000,-10000,"Special, Drive, Super"
cr_lp,normals,Crouching Light Punch,下轻拳,2lp,,Low,4,3,10,-3,3,200,300,250,-500,-2000,-
cr_mp,normals,Crouching Medium Punch,下中拳,2mp,,Low,8,3,19,-6,2,500,500,1000,-2000,-4000,"Special, Drive, Super"
cr_hp,normals,Crouching Heavy Punch,下重拳,2hp,,Low,10,4,24,-12,-,900,1000,3000,-4000,-10000,-
cr_lk,normals,Crouching Light Kick,下轻脚,2lk,,High,5,2,11,-4,3,300,300,250,-500,-2000,"Special, Drive, Super"
cr_mk,normals,Crouching Medium Kick,下中脚,2mk,,High,9,2,16,-1,8,600,600,1500,-3000,-4000,"Special, Drive, Super"
cr_hk,normals,Crouching Heavy Kick,下重脚,2hk,,High,12,2,17,-4,1,800,1000,2000,-4000,-8000,"Special, Drive, Super"
j_lp,normals,Jumping Light Punch,跳轻拳,j>lp,,Overhead,5,5,-,-,-,300,300,500,-1500,-2000,-
j_mp,normals,Jumping Medium Punch,跳中拳,j>mp,,Overhead,8,6,-,-,-,500,500,1000,-2500,-4000,-
j_hp,normals,Jumping Heavy Punch,跳重拳,j>hp,,Overhead,9,5,-,-,-,800,1000,2000,-4000,-5000,-
j_lk,normals,Jumping Light Kick,跳轻脚,j>lk,,Overhead,8,3,-,-,-,300,300,500,-1500,-2000,-
j_mk,normals,Jumping Medium Kick,跳中脚,j>mk,,Overhead,10,2,-,-,-,700,500,1000,-3000,-4000,-
j_hk,normals,Jumping Heavy Kick,跳重脚,j>hk,,Overhead,8,2,-,-,-,800,1000,2000,-4000,-5000,-
psycho_knuckle_charged_level_1,normals,Psycho Knuckle (Charged Level 1),サイコナックル（ホールド Lv1）,5[hp],,High,39,15,35,-2,-,800,1000,3000,-6000,-10000,-
psycho_knuckle_charged_level_2,normals,Psycho Knuckle (Charged Level 2),サイコナックル（ホールド Lv2）,5[hp],,High,69,15,35,4,-,1200,1200,4000,-8000,-12000,-
f_hp,normals,Cobra Punch,コブラパンチ,6hp,,High,17,3,21,-3,1,900,1000,3000,-6000,-10000,-
flicker_combination_2,targetCombos,Flicker Combination (2),フリッカーコンビネーション（2段目）,5lk>5lk,,High,7,3,15,-3,3,400,400,500,-1000,-4000,-
flicker_combination_3,targetCombos,Flicker Combination (3),フリッカーコンビネーション（3段目）,5lk>5lk>5lk,,High,7,3,16,-8,1,600,400,500,-1500,-4000,-
body_blow_combination,targetCombos,Body Blow Combination,ボディブローコンビネーション,5mp>5hp,,High,13,2,23,-8,-,400,400,1000,-1000,-4000,Other (kill-rush-backward)
hitman_combination_2,targetCombos,Hitman Combination (2),ヒットマンコンビネーション（2段目）,5mk>5mk,,High,7,2,20,-6,0,300,400,1500,-1000,-4000,-
hitman_combination_3,targetCombos,Hitman Combination (3),ヒットマンコンビネーション（3段目）,5mk>5mk>5hp,,High,11,5,23,-11,-,600,500,1500,-2000,-4000,-
