#SF6APP_META
#characterId=ehonda
#displayNameCN=
#displayNameEN=Ehonda
#(You can edit CSV freely. Lines starting with # are ignored on import.)
id,category,nameEN,nameCN,input,inputDisplay,hitType,startup,active,recovery,onBlock,onHit,damage,superArt,driveOnHit,driveOnBlock,driveOnPunishCounter,cancel
st_lp,normals,Standing Light Punch,站轻拳,5lp,,High,5,3,10,-1,4,300,300,250,-500,-2000,"Special, Drive, Super"
st_mp,normals,Standing Medium Punch,站中拳,5mp,,High,10,4,13,1,6,700,500,2000,-4000,-6000,"Special, Drive, Super"
st_hp,normals,Standing Heavy Punch,站重拳,5hp,,High,8,7,20,-6,-1,900,1000,2000,-5000,-8000,"Special, Drive, Super"
st_lk,normals,Standing Light Kick,站轻脚,5lk,,Low,4,2,9,-1,5,300,300,250,-500,-2000,"Special, Drive, Super"
st_mk,normals,Standing Medium Kick,站中脚,5mk,,Low,10,4,16,-3,4,700,700,1000,-2500,-4000,Other
st_hk,normals,Standing Heavy Kick,站重脚,5hk,,Low,8,"2, 4",22,-5,-1,800,800,3000,-4000,-10000,"Special, Drive, Super"
cr_lp,normals,Crouching Light Punch,下轻拳,2lp,,High,4,3,10,-1,4,300,300,250,-500,-2000,"Special, Drive, Super"
cr_mp,normals,Crouching Medium Punch,下中拳,2mp,,High,8,4,16,-3,3,600,500,1500,-3000,-4000,"Special, Drive, Super"
cr_hp,normals,Crouching Heavy Punch,下重拳,2hp,,High,11,4,17,-3,3,800,1000,3000,-6000,-10000,Other
cr_lk,normals,Crouching Light Kick,下轻脚,2lk,,Low,5,2,9,-3,3,200,300,250,-500,-2000,Other
cr_mk,normals,Crouching Medium Kick,下中脚,2mk,,Low,9,3,17,-2,6,500,600,2000,-4000,-6000,Other
cr_hk,normals,Crouching Heavy Kick,下重脚,2hk,,Low,11,"3, 5",14,-10,-,900,1000,3000,-4000,-10000,-
j_lp,normals,Jumping Light Punch,跳轻拳,j>lp,,Overhead,5,6,-,-,-,300,300,500,-1500,-2000,-
j_mp,normals,Jumping Medium Punch,跳中拳,j>mp,,Overhead,6,8,-,-,-,700,500,1000,-2500,-4000,-
ehonda_jump_heavy_punch,normals,Jumping Heavy Punch,ジャンプ強P,{7|9}>hp,,Overhead,9,4,-,-,-,800,1000,2000,-4000,-5000,-
n8_hp,normals,Neutral Jumping Heavy Punch,垂直ジャンプ強P,8>hp,,Overhead,10,8,-,-,-,800,1000,2000,-4000,-5000,-
j_lk,normals,Jumping Light Kick,跳轻脚,j>lk,,Overhead,6,6,-,-,-,300,300,500,-1500,-2000,-
j_mk,normals,Jumping Medium Kick,跳中脚,j>mk,,Overhead,9,6,-,-,-,700,500,1000,-2500,-4000,-
j_hk,normals,Jumping Heavy Kick,跳重脚,j>hk,,Overhead,10,8,-,-,-,800,1000,2000,-4000,-5000,-
hundred_hand_slap_light,specials,Hundred Hand Slap (Light),百裂張り手 (弱),214lp,,High,12,"2, 2, 1, 1, 2, 1, 2",14,-4,2,800,1000,2000,-3000,-5000,Super
sumo_spirit_hundred_hand_slap_light,specials,Sumo Spirit Hundred Hand Slap (Light),[肩屋入り]百裂張り手 (弱),214lp,,High,12,"2, 2, 1, 1, 2, 1, 2",14,-4,4,850,1000,2000,-3000,-5000,Super
hundred_hand_slap_medium,specials,Hundred Hand Slap (Medium),百裂張り手 (中),214mp,,High,18,"2, 2, 1, 1, 1, 1, 2, 1, 2",17,-8,2,1000,1000,2000,-4000,-5000,Super
sumo_spirit_hundred_hand_slap_medium,specials,Sumo Spirit Hundred Hand Slap (Medium),[肩屋入り]百裂張り手 (中),214mp,,High,18,"2, 2, 1, 1, 1, 1, 2, 1, 2",17,-8,4,1050,1000,2000,-4000,-5000,Super
hundred_hand_slap_heavy,specials,Hundred Hand Slap (Heavy),百裂張り手 (強),214hp,,High,21,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2",17,-8,2,1200,1000,2000,-5000,-5000,Super
sumo_spirit_hundred_hand_slap_heavy,specials,Sumo Spirit Hundred Hand Slap (Heavy),[肩屋入り]百裂張り手 (強),214hp,,High,21,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2",17,-8,4,1250,1000,2000,-5000,-5000,Super
