#SF6APP_META
#characterId=jamie
#displayNameCN=
#displayNameEN=Jamie
#(You can edit CSV freely. Lines starting with # are ignored on import.)
id,category,nameEN,nameCN,input,inputDisplay,hitType,startup,active,recovery,onBlock,onHit,damage,superArt,driveOnHit,driveOnBlock,driveOnPunishCounter,cancel
st_lp,normals,Standing Light Punch,站轻拳,5lp,,High,5,2,7,0,5,300,300,250,-500,-2000,"Special, Drive, Super"
st_mp,normals,Standing Medium Punch,站中拳,5mp,,High,8,4,14,2,5,600,500,2000,-4000,-6000,-
st_hp,normals,Standing Heavy Punch,站重拳,5hp,,High,5,"1, 1, 1, 1, 1",20,-3,1,900,1600,2000,-5000,-8000,"Special, Drive, Super"
st_lk,normals,Standing Light Kick,站轻脚,5lk,,Low,5,2,11,-1,3,300,300,250,-500,-2000,"Special, Drive, Super"
st_mk,normals,Standing Medium Kick,站中脚,5mk,,Low,10,3,17,-3,2,600,700,1500,-3000,-4000,"Special, Drive, Super"
st_hk,normals,Standing Heavy Kick,站重脚,5hk,,Low,15,3,21,-5,1,800,1000,3000,-4000,-10000,"Special, Drive, Super"
cr_lp,normals,Crouching Light Punch,下轻拳,2lp,,High,4,2,9,-1,5,250,300,250,-500,-2000,"Special, Drive, Super"
cr_mp,normals,Crouching Medium Punch,下中拳,2mp,,High,6,3,13,-1,5,600,500,1500,-3000,-4000,"Special, Drive, Super"
cr_hp,normals,Crouching Heavy Punch,下重拳,2hp,,High,9,5,23,-8,0,900,1000,2500,-5000,-7000,"Special, Drive, Super"
cr_lk,normals,Crouching Light Kick,下轻脚,2lk,,Low,5,2,11,-3,1,200,300,250,-500,-2000,-
cr_mk,normals,Crouching Medium Kick,下中脚,2mk,,Low,7,3,18,-6,-1,500,600,1000,-2000,-4000,"Special, Drive, Super"
cr_hk,normals,Crouching Heavy Kick,下重脚,2hk,,Low,9,"2, 3",28,-11,-,800,1000,3000,-2000,-5000,-
