#SF6APP_META
#characterId=jp
#displayNameCN=
#displayNameEN=Jp
#(You can edit CSV freely. Lines starting with # are ignored on import.)
id,category,nameEN,nameCN,input,inputDisplay,hitType,startup,active,recovery,onBlock,onHit,damage,superArt,driveOnHit,driveOnBlock,driveOnPunishCounter,cancel
st_lp,normals,Standing Light Punch,站轻拳,5lp,,High,6,3,10,-2,4,300,300,250,-500,-2000,"Special, Drive, Super"
st_mp,normals,Standing Medium Punch,站中拳,5mp,,High,12,3,21,-6,1,700,500,2000,-4000,-6000,-
st_hp,normals,Standing Heavy Punch,站重拳,5hp,,High,12,2,22,-3,3,800,1000,2000,-5000,-8000,"Special, Drive, Super"
st_lk,normals,Standing Light Kick,站轻脚,5lk,,Low,5,3,11,-2,3,300,300,250,-500,-2000,"Special, Drive, Super"
st_mk,normals,Standing Medium Kick,站中脚,5mk,,Low,8,3,19,-3,3,600,500,1500,-3000,-4000,"Special, Drive, Super"
st_hk,normals,Standing Heavy Kick,站重脚,5hk,,Low,12,4,17,2,7,800,1000,3000,-6000,-10000,-
cr_lp,normals,Crouching Light Punch,下轻拳,2lp,,High,4,2,11,-1,4,300,300,250,-500,-2000,"Special, Drive, Super"
cr_mp,normals,Crouching Medium Punch,下中拳,2mp,,High,7,4,14,-2,6,600,500,1500,-3000,-4000,"Special, Drive, Super"
cr_hp,normals,Crouching Heavy Punch,下重拳,2hp,,High,9,6,20,-6,1,800,1000,2000,-5000,-8000,"Special, Drive, Super"
cr_lk,normals,Crouching Light Kick,下轻脚,2lk,,Low,6,2,10,-2,2,200,300,250,-500,-2000,-
cr_mk,normals,Crouching Medium Kick,下中脚,2mk,,Low,9,3,17,-3,3,700,500,2000,-4000,-6000,-
cr_hk,normals,Crouching Heavy Kick,下重脚,2hk,,Low,10,3,21,-6,-,900,1000,2000,-5000,-10000,-
j_lp,normals,Jumping Light Punch,跳轻拳,j>lp,,High,5,10,-,-,-,300,300,500,-1500,-2000,-
j_mp,normals,Jumping Medium Punch,跳中拳,j>mp,,High,12,3,-,-,-,700,500,1000,-2500,-4000,-
j_hp,normals,Jumping Heavy Punch,跳重拳,j>hp,,Overhead,9,5,-,-,-,800,1000,2000,-4000,-5000,-
j_lk,normals,Jumping Light Kick,跳轻脚,j>lk,,Overhead,6,8,-,-,-,300,300,500,-1500,-2000,-
j_mk,normals,Jumping Medium Kick,跳中脚,j>mk,,Overhead,7,6,-,-,-,600,500,1000,-2500,-4000,-
j_hk,normals,Jumping Heavy Kick,跳重脚,j>hk,,Overhead,11,6,-,-,-,800,1000,2000,-4000,-5000,-
triglav_light,specials,Triglav (Light),トリグラフ (弱),22lp,,High,22,10,-,-2,-,800,800,1000,-2500,-3000,Super
