#SF6APP_META
#characterId=juri
#displayNameCN=
#displayNameEN=Juri
#(You can edit CSV freely. Lines starting with # are ignored on import.)
id,category,nameEN,nameCN,input,inputDisplay,hitType,startup,active,recovery,onBlock,onHit,damage,superArt,driveOnHit,driveOnBlock,driveOnPunishCounter,cancel
st_lp,normals,Standing Light Punch,站轻拳,5lp,,High,4,4,7,-2,5,300,300,250,-500,-2000,"Special, Drive, Super"
st_lp,normals,[Chain combo] Standing Light Punch,站轻拳,5lp,,High,4,4,7,-2,5,100,-,62,-125,-500,"Special, Drive, Super"
st_mp,normals,Standing Medium Punch,站中拳,5mp,,High,6,4,12,2,7,600,500,1500,-3000,-4000,"Special, Drive, Super"
st_mp,normals,[Chain combo] Standing Medium Punch,站中拳,5mp,,High,6,4,12,2,7,400,-,375,-750,-1000,"Special, Drive, Super"
st_hp,normals,Standing Heavy Punch,站重拳,5hp,,High,10,3,24,-5,-1,800,1000,2000,-5000,-8000,"Special, Drive, Super"
st_hp,normals,[Chain combo] Standing Heavy Punch,站重拳,5hp,,High,10,3,24,-5,-,600,-,500,-1250,-2000,"Special, Drive, Super"
st_lk,normals,Standing Light Kick,站轻脚,5lk,,Low,5,3,9,-3,2,300,300,250,-500,-2000,"Special, Drive, Super"
st_lk,normals,[Chain combo] Standing Light Kick,站轻脚,5lk,,Low,5,3,9,-3,2,100,-,62,-125,-500,"Special, Drive, Super"
st_mk,normals,Standing Medium Kick,站中脚,5mk,,Low,5,"2, 3",17,-4,3,700,1050,2000,-4000,-6000,"Special, Drive, Super"
st_mk,normals,[Chain combo] Standing Medium Kick,站中脚,5mk,,Low,5,"2, 3",17,-4,3,500,-,500,-1000,-1500,"Special, Drive, Super"
st_hk,normals,Standing Heavy Kick,站重脚,5hk,,Low,17,4,19,-3,2,900,1000,3000,-6000,-10000,-
st_hk,normals,[Chain combo] Standing Heavy Kick,站重脚,5hk,,Low,17,4,19,-3,-,700,-,750,-1500,-2500,"Special, Drive, Super"
cr_lp,normals,Crouching Light Punch,下轻拳,2lp,,High,4,3,8,-1,4,300,300,250,-500,-2000,"Special, Drive, Super"
cr_lp,normals,[Chain combo] Crouching Light Punch,下轻拳,2lp,,High,4,3,8,-1,4,100,-,62,-125,-500,"Special, Drive, Super"
cr_mp,normals,Crouching Medium Punch,下中拳,2mp,,High,6,4,14,-2,5,600,500,1500,-3000,-4000,"Special, Drive, Super"
cr_mp,normals,[Chain combo] Crouching Medium Punch,下中拳,2mp,,High,6,4,14,-2,5,400,-,375,-750,-1000,"Special, Drive, Super"
cr_hp,normals,Crouching Heavy Punch,下重拳,2hp,,High,8,4,23,-11,3,900,1000,2000,-5000,-8000,"Special, Drive, Super"
cr_hp,normals,[Chain combo] Crouching Heavy Punch,下重拳,2hp,,High,8,4,23,-11,-,700,-,500,-1250,-2000,"Special, Drive, Super"
cr_lk,normals,Crouching Light Kick,下轻脚,2lk,,Low,5,3,8,-1,3,200,300,250,-500,-2000,-
cr_lk,normals,[Chain combo] Crouching Light Kick,下轻脚,2lk,,Low,5,3,8,-1,3,100,-,62,-125,-500,"Special, Drive, Super"
cr_mk,normals,Crouching Medium Kick,下中脚,2mk,,Low,8,3,19,-6,1,500,600,1000,-2000,-4000,"Special, Drive, Super"
cr_mk,normals,[Chain combo] Crouching Medium Kick,下中脚,2mk,,Low,8,3,19,-6,1,300,-,250,-500,-1000,"Special, Drive, Super"
cr_hk,normals,Crouching Heavy Kick,下重脚,2hk,,Low,10,3,23,-11,-,900,1000,3000,-4000,-10000,-
cr_hk,normals,[Chain combo] Crouching Heavy Kick,下重脚,2hk,,Low,10,3,23,-11,-,700,-,750,-1000,-2500,"Special, Drive, Super"
j_lp,normals,Jumping Light Punch,跳轻拳,j>lp,,High,5,6,-,-,-,300,300,500,-1500,-2000,-
j_lp,normals,[Chain combo] Jumping Light Punch,跳轻拳,j>lp,,High,5,6,-,-,-,100,-,125,-375,-500,"Special, Drive, Super"
j_mp,normals,Jumping Medium Punch,跳中拳,j>mp,,High,7,5,-,-,-,500,500,1000,-2500,-4000,"Special, Drive, Super"
j_mp,normals,[Chain combo] Jumping Medium Punch,跳中拳,j>mp,,High,7,5,-,-,-,300,-,250,-625,-1000,"Special, Drive, Super"
j_hp,normals,Jumping Heavy Punch,跳重拳,j>hp,,Overhead,12,6,-,-,-,900,1000,2000,-4000,-5000,-
j_lk,normals,Jumping Light Kick,跳轻脚,j>lk,,Overhead,4,6,-,-,-,300,300,500,-1500,-2000,-
j_lk,normals,[Chain combo] Jumping Light Kick,跳轻脚,j>lk,,Overhead,4,6,-,-,-,100,-,125,-375,-500,"Special, Drive, Super"
j_mk,normals,Jumping Medium Kick,跳中脚,j>mk,,Overhead,6,6,-,-,-,500,500,1000,-2500,-4000,-
j_mk,normals,[Chain combo] Jumping Medium Kick,跳中脚,j>mk,,Overhead,6,6,-,-,-,300,-,250,-625,-1000,"Special, Drive, Super"
juri_jump_heavy_kick,normals,Jumping Heavy Kick,ジャンプ強K,{7|9}>hk,,Overhead,10,6,-,-,-,800,1000,2000,-4000,-5000,-
juri_chain_jump_heavy_kick,normals,[Chain combo] Jumping Heavy Kick,[チェーンコンボ] ジャンプ強K,{7|9}>hk,,Overhead,10,6,-,-,-,600,-,500,-1000,-1250,"Special, Drive, Super"
n8_hk,normals,Neutral Jumping Heavy Kick,垂直ジャンプ強K,8>hk,,Overhead,10,4,-,-,-,800,1000,2000,-4000,-5000,-
