#SF6APP_META
#characterId=ken
#displayNameCN=肯
#displayNameEN=Ken
#(You can edit CSV freely. Lines starting with # are ignored on import.)
id,category,nameEN,nameCN,input,inputDisplay,hitType,startup,active,recovery,onBlock,onHit,damage,superArt,driveOnHit,driveOnBlock,driveOnPunishCounter,cancel
st_lp,normals,Standing Light Punch,站轻拳,5lp,,High,4,3,7,-1,4,300,300,250,-500,-2000,"Special, Drive, Super"
st_mp,normals,Standing Medium Punch,站中拳,5mp,,High,5,4,14,-2,4,600,500,1500,-3000,-4000,"Special, Drive, Super"
st_hp,normals,Standing Heavy Punch,站重拳,5hp,,High,10,5,17,-2,3,800,1000,2000,-5000,-8000,"Special, Drive, Super"
st_lk,normals,Standing Light Kick,站轻脚,5lk,,Low,5,2,12,-2,0,300,300,250,-500,-2000,"Special, Drive, Super"
st_mk,normals,Standing Medium Kick,站中脚,5mk,,Low,8,3,20,-5,3,600,700,2000,-4000,-6000,-
st_hk,normals,Standing Heavy Kick,站重脚,5hk,,Low,12,2,23,-5,1,800,1000,3000,-6000,-8000,-
cr_lp,normals,Crouching Light Punch,下轻拳,2lp,,High,4,2,9,-1,5,300,300,250,-500,-2000,"Special, Drive, Super"
cr_mp,normals,Crouching Medium Punch,下中拳,2mp,,High,6,3,14,0,3,700,600,1500,-3000,-4000,"Special, Drive, Super"
cr_hp,normals,Crouching Heavy Punch,下重拳,2hp,,High,8,4,24,-10,3,800,1000,2000,-5000,-8000,"Special, Drive, Super"
cr_lk,normals,Crouching Light Kick,下轻脚,2lk,,Low,5,3,10,-3,1,200,300,250,-500,-2000,-
cr_mk,normals,Crouching Medium Kick,下中脚,2mk,,Low,7,3,19,-6,-2,500,600,1000,-2000,-4000,"Special, Drive, Super"
cr_hk,normals,Crouching Heavy Kick,下重脚,2hk,,Low,8,3,24,-10,-,900,1000,3000,-4000,-10000,-
j_lp,normals,Jumping Light Punch,跳轻拳,j>lp,,Overhead,5,7,-,-,-,300,300,500,-1500,-2000,-
j_mp,normals,Jumping Medium Punch,跳中拳,j>mp,,Overhead,6,4,-,-,-,700,500,1000,-2500,-4000,"Special, Drive, Super"
j_hp,normals,Jumping Heavy Punch,跳重拳,j>hp,,Overhead,9,6,-,-,-,800,1000,2000,-4000,-5000,-
j_lk,normals,Jumping Light Kick,跳轻脚,j>lk,,Overhead,6,6,-,-,-,300,300,500,-1500,-2000,-
j_mk,normals,Jumping Medium Kick,跳中脚,j>mk,,Overhead,7,6,-,-,-,500,500,1000,-2500,-4000,-
n8_hk,normals,Jumping Neutral Heavy Kick,垂直ジャンプ強K,8hk,,Overhead,6,6,-,-,-,900,1000,2000,-4000,-5000,-
ken_jump_heavy_kick,normals,Jumping Heavy Kick,ジャンプ強K,{7|9}+hk,,Overhead,10,7,-,-,-,800,1000,2000,-4000,-5000,-
quick_dash,specials,Quick Dash,奮迅脚,(kk),,-,-,-,-,-,-,-,-,-,-,-,-
ken_emergency_stop,specials,Emergency Stop,急停止,lk,(kk)>lk,-,-,-,-,-,-,-,-,-,-,-,-
thunder_kick,specials,Thunder Kick,紫電カカト落とし,mk,(kk)>mk,High,18,3,20,-3,3,1000,500,1000,-2500,-4000,Super
forward_step_kick,specials,Forward Step Kick,込み前蹴り,hk,(kk)>hk,High,10,4,20,-4,3,800,1000,2000,-5000,-7000,Super
chin_buster_2nd,targetCombos,Chin Buster,チンバスター,mp>hp,,High,11,3,27,-14,-,400,300,400,-1000,-4000,"Special, Drive, Super"
triple_flash_kick_2,targetCombos,Triple Flash Kicks (2),閃光連脚 (2段目),mk>mk,,High,11,2,27,-12,-,400,400,1000,-2500,-4000,-
triple_flash_kick_3,targetCombos,Triple Flash Kicks (3),閃光連脚 (3段目),mk>mk>hk,,High,13,3,28,-11,-,700,500,1500,-3000,-4000,-
ken_hadoken_light,specials,Hadoken (Light),波動拳 (弱),236lp,,High,16,-,-,-7,-1,600,600,1000,-2500,-2000,Super
ken_hadoken_medium,specials,Hadoken (Medium),波動拳 (中),236mp,,High,14,-,-,-9,-3,600,600,1000,-2500,-2000,Super
ken_hadoken_heavy,specials,Hadoken (Heavy),波動拳 (強),236hp,,High,12,-,-,-11,-5,600,600,1000,-2500,-2000,Super
ken_hadoken_od,specials,Hadoken (OD),波動拳 (OD),236(pp),,High,12,-,-,2,-2,800,600,-,-2500,-5000,Super
ken_shoryuken_light,specials,Shoryuken (Light),昇龍拳 (弱),623lp,,High,5,10,21,-23,-,1100,800,2000,-4000,-5000,Super
ken_shoryuken_medium,specials,Shoryuken (Medium),昇龍拳 (中),623mp,,High,6,"3, 7",28,-28,-,1300,1000,4000,-4000,-5000,Super
ken_shoryuken_heavy,specials,Shoryuken (Heavy),昇龍拳 (強),623hp,,High,7,"2, 2, 6",35,-36,-,1400,1200,4000,-4200,-5000,Super
