#SF6APP_META
#characterId=kimberly
#displayNameCN=
#displayNameEN=Kimberly
#(You can edit CSV freely. Lines starting with # are ignored on import.)
id,category,nameEN,nameCN,input,inputDisplay,hitType,startup,active,recovery,onBlock,onHit,damage,superArt,driveOnHit,driveOnBlock,driveOnPunishCounter,cancel
st_lp,normals,Standing Light Punch,站轻拳,5lp,,High,5,2,8,-2,5,270,300,250,-500,-2000,"Special, Drive, Super"
st_mp,normals,Standing Medium Punch,站中拳,5mp,,High,6,3,18,-2,3,540,500,1000,-2000,-4000,"Special, Drive, Super"
st_hp,normals,Standing Heavy Punch,站重拳,5hp,,High,9,3,20,-4,3,630,1000,2000,-5000,-10000,"Special, Drive, Super"
st_lk,normals,Standing Light Kick,站轻脚,5lk,,Low,5,3,11,-3,1,270,300,250,-500,-2000,"Special, Drive, Super"
st_mk,normals,Standing Medium Kick,站中脚,5mk,,Low,8,3,18,-4,1,540,700,1000,-2000,-4000,"Special, Drive, Super"
st_hk,normals,Standing Heavy Kick,站重脚,5hk,,Low,12,4,17,2,7,630,1000,2500,-5000,-10000,-
cr_lp,normals,Crouching Light Punch,下轻拳,2lp,,High,4,3,7,-2,4,270,300,250,-500,-2000,"Special, Drive, Super"
cr_mp,normals,Crouching Medium Punch,下中拳,2mp,,High,6,3,13,-1,7,500,600,1200,-2500,-5000,"Special, Drive, Super"
cr_hp,normals,Crouching Heavy Punch,下重拳,2hp,,High,8,6,17,-2,3,720,1000,2500,-5000,-10000,"Special, Drive, Super"
cr_lk,normals,Crouching Light Kick,下轻脚,2lk,,Low,5,3,7,-2,2,180,300,250,-500,-2000,-
cr_mk,normals,Crouching Medium Kick,下中脚,2mk,,Low,7,3,16,1,5,540,600,1200,-2500,-5000,-
cr_hk,normals,Crouching Heavy Kick,下重脚,2hk,,Low,8,3,24,-10,-,810,1200,2500,-5000,-10000,-
j_lp,normals,Jumping Light Punch,跳轻拳,j>lp,,High,4,10,-,-,-,270,300,500,-1500,-2000,-
j_mp,normals,Jumping Medium Punch,跳中拳,j>mp,,High,6,4,-,-,-,450,500,1000,-2500,-5000,"Special, Drive, Super"
j_hp,normals,Jumping Heavy Punch,跳重拳,j>hp,,Overhead,8,5,-,-,-,630,1000,2000,-4000,-5000,-
j_lk,normals,Jumping Light Kick,跳轻脚,j>lk,,Overhead,5,10,-,-,-,270,300,500,-1500,-2000,-
j_mk,normals,Jumping Medium Kick,跳中脚,j>mk,,Overhead,7,6,-,-,-,540,500,1000,-2500,-4000,-
j_hk,normals,Jumping Heavy Kick,跳重脚,j>hk,,Overhead,9,6,-,-,-,630,1000,2000,-4000,-5000,-
n3_mk,normals,Water Slicer Slide,水切り蹴り,3mk,,Low,11,10,16,-9,-3,450,500,1000,-2000,-4000,-
b_hk,normals,Windmill Kick,風車,4hk,,High,22,2,19,-3,4,720,1000,2500,-5000,-10000,-
f_hk,normals,Hisen Kick,飛箭蹴,6hk,,High,27,3,21,-3,1,720,800,1200,-4000,-7000,-
step_up,specials,Step Up,矢来越え,7|8|9,6hk>7|8|9,-,-,-,-,-22,-10,-,-,-,-,-,-
elbow_drop,normals,Elbow Drop,肘落とし,j>2mp,,High,13,13,-,-,-,540,500,1000,-2500,-4000,-
bushin_tiger_fangs,targetCombos,Bushin Tiger Fangs,武神虎連牙,mp>hp,,High,10,3,26,-12,-,360,800,1500,-4000,-8000,"Special, Drive, Super"
bushin_prism_strikes_2,targetCombos,Bushin Prism Strikes (2),武神天架拳（2段目）,lp>mp,,High,6,3,18,-6,1,360,400,800,-2000,-4000,-
bushin_prism_strikes_3,targetCombos,Bushin Prism Strikes (3),武神天架拳（3段目）,lp>mp>hp,,High,12,2,25,-10,-,440,700,1500,-2000,-4000,-
bushin_prism_strikes_4,targetCombos,Bushin Prism Strikes (4),武神天架拳（4段目）,lp>mp>hp>hk,,High,26,3,24,-12,-,520,800,1500,-2000,-4000,-
bushin_hellchain_3,targetCombos,Bushin Hellchain (3),武神獄鎖拳（3段目）,lp>mp>2hp,,High,10,2,25,-10,2,580,700,1500,-2000,-4000,-
bushin_hellchain_4,targetCombos,Bushin Hellchain (4),武神獄鎖拳（4段目）,lp>mp>2hp>hk,,High,15,3,24,-12,-,750,800,1500,-2000,-4000,-
bushin_hellchain_throw,targetCombos,Bushin Hellchain Throw,武神獄鎖投げ,lp>mp>2hp>2hk,,High,15,3,23,-12,-,750,700,1500,-2000,-,-
bushin_senpukyaku_light,specials,Bushin Senpu-kyaku (Light),武神旋風脚 (弱),214lk,,High,6,"6, 6, 6, 3",-,-30,-,990,1000,2000,-1000,-5000,-
bushin_senpukyaku_medium,specials,Bushin Senpu-kyaku (Medium),武神旋風脚 (中),214mk,,High,7,"6, 6, 6, 3",-,-32,-,1080,1000,2000,-1000,-5000,-
bushin_senpukyaku_heavy,specials,Bushin Senpu-kyaku (Heavy),武神旋風脚 (強),214hk,,High,8,"6, 6, 6, 3",-,-35,-,1170,1000,2000,-1000,-5000,-
bushin_senpukyaku_od,specials,Bushin Senpu-kyaku (OD),武神旋風脚 (OD),214(kk),,High,6,"6, 6, 6, 6, 2",-,-40,-,1410,1200,-,-1000,-5000,-
aerial_bushin_senpukyaku,specials,Aerial Bushin Senpu-kyaku,空中武神旋風脚,9>214*k,,High,8,"2, 2, 2",-,1,5,900,1000,2000,-4000,-5000,Super
aerial_bushin_senpukyaku_od,specials,Aerial Bushin Senpu-kyaku (OD),空中武神旋風脚 (OD),9>214(kk),,High,8,"2, 3, 2, 3, 2",-,1,5,990,1200,-,-3000,-5000,Super
sprint,specials,Sprint,疾駆け,236*k,,-,-,-,-,-,-,-,-,-,-,-,-
kimberly_emergency_stop,specials,Emergency Stop,急停止,*p,236*k>*p,-,-,-,-,-,-,-,-,-,-,-,-
torso_cleaver,specials,Torso Cleaver,胴刎ね,lk,236*k>lk,High,21,7,16,1,-,900,1200,2000,-4000,-6000,Super
shadow_slide,specials,Shadow Slide,影すくい,mk,236*k>mk,Low,10,12,19,-12,-,720,1000,2000,-4000,-8000,Super
neck_hunter,specials,Neck Hunter,首狩り,hk,236*k>hk,High,19,5,19,-3,-,900,1200,2000,-4000,-8000,Super
arc_step,specials,Arc Step,アークステップ,5,236*k>5,High,8,"2, 2",26,-6,3,450,200,1000,-3000,-5000,-
