#SF6APP_META
#characterId=mai
#displayNameCN=
#displayNameEN=Mai
#(You can edit CSV freely. Lines starting with # are ignored on import.)
id,category,nameEN,nameCN,input,inputDisplay,hitType,startup,active,recovery,onBlock,onHit,damage,superArt,driveOnHit,driveOnBlock,driveOnPunishCounter,cancel
st_lp,normals,Standing Light Punch,站轻拳,5lp,,High,4,3,7,-2,5,300,300,250,-500,-2000,"Special, Drive, Super"
st_mp,normals,Standing Medium Punch,站中拳,5mp,,High,8,4,15,-3,2,600,600,1500,-3000,-4000,"Special, Drive, Super"
st_hp,normals,Standing Heavy Punch,站重拳,5hp,,High,9,3,21,-3,1,800,800,3000,-5000,-8000,"Special, Drive, Super"
st_lk,normals,Standing Light Kick,站轻脚,5lk,,High,4,3,8,-1,1,300,300,250,-500,-2000,"Special, Drive, Super"
st_mk,normals,Standing Medium Kick,站中脚,5mk,,High,9,3,18,-4,5,700,700,1500,-3000,-4000,-
st_hk,normals,Standing Heavy Kick,站重脚,5hk,,High,14,3,19,-3,3,900,1000,4000,-6000,-10000,-
cr_lp,normals,Crouching Light Punch,下轻拳,2lp,,High,4,3,7,-1,4,300,300,250,-500,-2000,"Special, Drive, Super"
cr_mp,normals,Crouching Medium Punch,下中拳,2mp,,High,6,4,15,-3,5,600,600,1500,-3000,-4000,"Special, Drive, Super"
cr_hp,normals,Crouching Heavy Punch,下重拳,2hp,,High,10,"2, 3",19,-3,4,800,1000,2000,-5000,-8000,-
cr_lk,normals,Crouching Light Kick,下轻脚,2lk,,Low,5,3,8,-2,2,200,300,250,-500,-2000,-
cr_mk,normals,Crouching Medium Kick,下中脚,2mk,,Low,7,3,19,-6,-2,500,500,1000,-2000,-4000,"Special, Drive, Super"
cr_hk,normals,Crouching Heavy Kick,下重脚,2hk,,Low,9,3,22,-11,-,900,1000,3000,-4000,-10000,-
j_lp,normals,Jumping Light Punch,跳轻拳,j>lp,,Overhead,4,9,-,-,-,300,300,500,-1500,-2000,-
j_mp,normals,Jumping Medium Punch,跳中拳,j>mp,,Overhead,7,5,-,-,-,600,500,1000,-2500,-4000,"Special, Drive, Super"
j_hp,normals,Jumping Heavy Punch,跳重拳,j>hp,,Overhead,9,5,-,-,-,800,1000,2000,-4000,-5000,-
j_lk,normals,Jumping Light Kick,跳轻脚,j>lk,,Overhead,5,7,-,-,-,300,300,500,-1500,-2000,-
j_mk,normals,Jumping Medium Kick,跳中脚,j>mk,,Overhead,7,5,-,-,-,500,500,1000,-2500,-4000,-
j_hk,normals,Jumping Heavy Kick,跳重脚,j>hk,,Overhead,10,6,-,-,-,800,1000,2000,-4000,-5000,-
f_mp,normals,Senkotsu Uchi,扇骨打ち,6mp,,Overhead,20,3,18,-3,2,600,500,1500,-2500,-5000,-
mai_l_musasabi_no_mai,specials,Musasabi no Mai (Light),ムササビの舞 (弱),214lk,,Overhead,15,2,24,-4,-,600,600,1000,-2000,-3000,-
mai_boosted_l_musasabi_no_mai,specials,[Boosted] Musasabi no Mai (Light),[強化版] ムササビの舞 (弱),214lk,,Overhead,15,2,24,-2,-,700,600,1000,-2000,-3000,-
mai_m_musasabi_no_mai,specials,Musasabi no Mai (Medium),ムササビの舞 (中),214mk,,Overhead,15,2,24,-4,-,600,600,1000,-2000,-3000,-
mai_boosted_m_musasabi_no_mai,specials,[Boosted] Musasabi no Mai (Medium),[強化版] ムササビの舞 (中),214mk,,Overhead,15,2,24,-2,-,700,600,1000,-2000,-3000,-
mai_h_musasabi_no_mai,specials,Musasabi no Mai (Heavy),ムササビの舞 (強),214hk,,Overhead,15,2,24,-4,-,600,600,1000,-2000,-3000,-
mai_boosted_h_musasabi_no_mai,specials,[Boosted] Musasabi no Mai (Heavy),[強化版] ムササビの舞 (強),214hk,,Overhead,15,2,24,-2,-,700,600,1000,-2000,-3000,-
mai_od_musasabi_no_mai,specials,Musasabi no Mai (OD),ムササビの舞 (OD),214kk,,Overhead,15,2,24,0,-,800,800,1000,-2000,-3000,-
mai_boosted_od_musasabi_no_mai,specials,[Boosted] Musasabi no Mai (OD),[強化版] ムササビの舞 (OD),214kk,,Overhead,15,2,24,2,-,900,800,1000,-2000,-3000,-
mai_midare_kachousen,specials,Midare Kachousen,乱れ花蝶扇,236pp>6*p,,High,15,-,-,0,-,900,300,-,-2000,-2000,-
mai_boosted_midare_kachousen,specials,[Boosted] Midare Kachousen,[強化版] 乱れ花蝶扇,236pp>6*p,,High,15,-,-,0,-,1000,300,-,-2000,-2000,-
mai_forward_throw,normals,Forward Throw,前投げ,lp+lk,,Throw,5,1,20,-,22,1200,1000,2000,-,-,-
mai_back_throw,normals,Back Throw,後ろ投げ,4lp+lk,,Throw,5,1,20,-,22,1200,1000,2000,-,-,-
