#SF6APP_META
#characterId=manon
#displayNameCN=
#displayNameEN=Manon
#(You can edit CSV freely. Lines starting with # are ignored on import.)
id,category,nameEN,nameCN,input,inputDisplay,hitType,startup,active,recovery,onBlock,onHit,damage,superArt,driveOnHit,driveOnBlock,driveOnPunishCounter,cancel
st_lp,normals,Standing Light Punch,站轻拳,5lp,,High,4,3,10,-1,4,300,300,250,-500,-2000,"Special, Drive, Super"
st_mp,normals,Standing Medium Punch,站中拳,5mp,,High,7,4,14,-1,2,600,500,1500,-3000,-4000,"Special, Drive, Super"
st_hp,normals,Standing Heavy Punch,站重拳,5hp,,High,10,4,20,-3,0,800,1000,3000,-6000,-10000,Super
st_lk,normals,Standing Light Kick,站轻脚,5lk,,Low,5,2,12,-2,2,300,300,250,-500,-2000,"Special, Drive, Super"
st_mk,normals,Standing Medium Kick,站中脚,5mk,,Low,10,3,18,-5,-2,600,700,1500,-3000,-4000,"Special, Drive, Super"
st_hk,normals,Standing Heavy Kick,站重脚,5hk,,Low,15,3,26,-6,-2,900,1000,3000,-6000,-10000,-
cr_lp,normals,Crouching Light Punch,下轻拳,2lp,,High,4,2,11,-2,3,300,300,250,-500,-2000,"Special, Drive, Super"
cr_mp,normals,Crouching Medium Punch,下中拳,2mp,,High,7,3,11,-1,6,600,500,1500,-3000,-4000,"Special, Drive, Super"
cr_hp,normals,Crouching Heavy Punch,下重拳,2hp,,High,10,5,21,-8,-2,600,1000,3000,-6000,-10000,-
cr_lk,normals,Crouching Light Kick,下轻脚,2lk,,Low,5,2,13,-5,-1,200,300,250,-500,-2000,-
cr_mk,normals,Crouching Medium Kick,下中脚,2mk,,Low,8,4,16,-2,3,600,600,2000,-4000,-6000,-
cr_hk,normals,Crouching Heavy Kick,下重脚,2hk,,Low,11,2,27,-12,-,900,1000,3000,-4000,-10000,-
j_lp,normals,Jumping Light Punch,跳轻拳,j>lp,,Overhead,5,10,-,-,-,300,300,500,-1500,-2000,-
j_mp,normals,Jumping Medium Punch,跳中拳,j>mp,,Overhead,8,4,-,-,-,700,500,1000,-2500,-4000,-
j_hp,normals,Jumping Heavy Punch,跳重拳,j>hp,,Overhead,9,4,-,-,-,800,1000,2000,-4000,-5000,-
j_lk,normals,Jumping Light Kick,跳轻脚,j>lk,,Overhead,6,9,-,-,-,300,300,500,-1500,-2000,-
j_mk,normals,Jumping Medium Kick,跳中脚,j>mk,,Overhead,7,6,-,-,-,500,500,1000,-2500,-4000,-
j_hk,normals,Jumping Heavy Kick,跳重脚,j>hk,,Overhead,11,5,-,-,-,800,1000,2000,-4000,-5000,-
b_hp,normals,Révérence,レベランス,4hp,,High,8,6,17,1,3,800,1000,2000,-5000,-8000,"Special, Drive, Super"
n3_hk,normals,Tomoe Derrière,トモエ・デリエール,3hk,,High,11,9,32,-23,26,1000,500,3000,-6000,-10000,-
a_terre,targetCombos,À Terre,ア・テール,mp>mk,,High,10,2,17,-5,2,500,700,1000,-2500,-4000,-
b_mk,targetCombos,En Haut (1),アン・オー（1段目）,4mk,,High,10,4,19,-3,-1,600,700,2000,-4000,-4000,-
en_haut_2,targetCombos,En Haut (2),アン・オー（2段目）,4mk>5mk,,High,14,7,21,-11,-3,500,700,1000,-2500,-4000,"Special, Drive, Super"
temps_lie,targetCombos,Temps Lié,タン・リエ,5hp>5hp,,High,5,2,20,-8,3,600,1000,2000,-5000,-7000,-
allonge,targetCombos,Allongé,アロンジェ,2hp>5hp,,High,4,4,26,-10,1,500,1000,4000,-5000,-7000,-
manege_dore_light,specials,Manège Doré (Light),マネージュ・ドレ（弱）,63214lp,,Throw,10,2,49,-,-,2000,3000,5000,-,-10000,-
manege_dore_medium,specials,Manège Doré (Medium),マネージュ・ドレ（中）,63214mp,,Throw,8,2,51,-,-,2000,3000,5000,-,-10000,-
manege_dore_heavy,specials,Manège Doré (Heavy),マネージュ・ドレ（強）,63214hp,,Throw,5,2,54,-,-,2000,3000,5000,-,-10000,-
manege_dore_od,specials,Manège Doré (OD),マネージュ・ドレ（OD）,63214(pp),,Throw,8,2,51,-,-,2000,3000,-,-,-10000,-
rond_point_light,specials,Rond-point (Light),ロン・ポワン（弱）,236lk,,High,9,"3, 2",29,-15,-,900,1350,2000,-4000,-4000,Super
rond_point_medium,specials,Rond-point (Medium),ロン・ポワン（中）,236mk,,High,11,"3, 3",27,-14,-,1000,1350,2000,-4000,-4000,Super
rond_point_heavy,specials,Rond-point (Heavy),ロン・ポワン（強）,236hk,,High,14,"3, 3",24,-11,-,800,1350,2000,-4000,-4000,Super
rond_point_od,specials,Rond-point (OD),ロン・ポワン（OD）,236(kk),,High,8,"4, 3",30,-19,-,800,1350,-,-4000,-4000,Super
degage_light,specials,Dégagé (Light),デガジェ（弱）,214lk,,High,16,"2, 4",36,-24,-,1000,800,1500,-4000,-8000,-
degage_medium,specials,Dégagé (Medium),デガジェ（中）,214mk,,High,16,"4, 6",22,-13,-,1200,800,2000,-5000,-8000,-
degage_heavy,specials,Dégagé (Heavy),デガジェ（強）,214hk,,High,20,3,24,-9,-,1000,800,2000,-4000,-5000,-
degage_od,specials,Dégagé (OD),デガジェ（OD）,214(kk),,High,22,3,22,-3,-,800,800,-,-4000,-5000,-
renverse_light,specials,Renversé (Light),ランヴェルセ（弱）,236lp,,Throw,22,2,37,-23,-,1350,2150,2000,-2000,-8000,Super
renverse_medium,specials,Renversé (Medium),ランヴェルセ（中）,236mp,,Throw,25,2,34,-20,-,1400,2150,2000,-2000,-8000,Super
renverse_heavy,specials,Renversé (Heavy),ランヴェルセ（強）,236hp,,Throw,29,2,30,-16,-,1500,2150,2000,-2000,-8000,Super
renverse_od,specials,Renversé (OD),ランヴェルセ（OD）,236(pp),,Throw,25,2,34,-20,-,1500,2150,-,-2000,-8000,-
grand_fouette,specials,Grand Fouetté,グラン・フェッテ,*k,,High,10,6,22,-5,-,800,1150,2500,-5000,-10000,Super
grand_fouette_od,specials,Grand Fouetté (OD),グラン・フェッテ（OD）,*k,236(pp)>*k,High,11,6,22,-12,-,800,1150,-,-4000,-5000,Super
arabesque,supers,Arabesque,アラベスク,236236*k,,High,10,4,65,-49,-,2000,-,-,-2500,-,-
etoile,supers,Étoile,エトワール,214214*k,,High,7,"3, 6, 9",38,-61,-,2800,-,-,-1000,-,-
pas_de_deux,supers,Pas de Deux,パ・ド・ドゥ,236236*p,,High,7,2,72,-,-,4000,-,-,-,-,-
pas_de_deux_ca,supers,Pas de Deux (Critical Art),パ・ド・ドゥ (CA),236236*p,,High,7,2,72,-,-,4500,-,-,-,-,-
ouchigari,normals,Ouchi Gari,オーウチガリ,(lplk),,Throw,5,3,23,-,-,1200,2000,2000,-,-10000,-
uchimata,normals,Uchi Mata,ウチマタ,(4lplk),,Throw,5,3,23,-,-,1200,2000,2000,-,-10000,-
