#SF6APP_META
#characterId=marisa
#displayNameCN=
#displayNameEN=Marisa
#(You can edit CSV freely. Lines starting with # are ignored on import.)
id,category,nameEN,nameCN,input,inputDisplay,hitType,startup,active,recovery,onBlock,onHit,damage,superArt,driveOnHit,driveOnBlock,driveOnPunishCounter,cancel
st_lp,normals,Standing Light Punch,站轻拳,5lp,,High,6,3,11,-2,0,400,300,250,-500,-2000,-
st_mp,normals,Standing Medium Punch,站中拳,5mp,,High,7,4,15,-1,2,700,500,1500,-3000,-4000,-
st_hp,normals,Standing Heavy Punch,站重拳,5hp,,High,12,2,23,-3,3,1000,1000,2000,-5000,-8000,-
marisa_stand_heavy_punch_charged,normals,Standing Heavy Punch (Charged),立ち強P (ホールド),5(hp),,High,26,2,22,4,7,1200,1000,3000,-8000,-12000,-
st_lk,normals,Standing Light Kick,站轻脚,5lk,,Low,6,2,14,-2,0,400,300,250,-500,-2000,"Special, Drive, Super"
st_mk,normals,Standing Medium Kick,站中脚,5mk,,Low,11,4,16,-2,4,800,700,2000,-4000,-6000,-
st_hk,normals,Standing Heavy Kick,站重脚,5hk,,Low,15,2,25,-3,1,1000,1000,3000,-5000,-8000,-
marisa_stand_heavy_kick_charged,normals,Standing Heavy Kick (Charged),立ち強K (ホールド),5(hk),,Low,27,2,25,1,-,1200,1000,3000,-8000,-12000,-
cr_lp,normals,Crouching Light Punch,下轻拳,2lp,,High,4,2,10,-3,3,300,300,250,-500,-2000,"Special, Drive, Super"
cr_mp,normals,Crouching Medium Punch,下中拳,2mp,,High,8,3,16,-2,3,700,500,1500,-3000,-4000,"Special, Drive, Super"
cr_hp,normals,Crouching Heavy Punch,下重拳,2hp,,High,9,5,23,-6,-,900,1000,2500,5000,-8000,-
marisa_crouch_heavy_punch_charged,normals,Crouching Heavy Punch (Charged),しゃがみ強P (ホールド),2+[hp],,High,21,6,21,-3,-,1000,1000,3000,-8000,-12000,-
cr_lk,normals,Crouching Light Kick,下轻脚,2lk,,Low,5,3,12,-3,0,300,300,250,-500,-2000,-
cr_mk,normals,Crouching Medium Kick,下中脚,2mk,,Low,9,3,18,-2,2,600,600,2000,-4000,-6000,-
cr_hk,normals,Crouching Heavy Kick,下重脚,2hk,,Low,11,3,26,-11,-,1000,1000,2500,3000,-10000,-
marisa_crouch_heavy_kick_charged,normals,Crouching Heavy Kick (Charged),しゃがみ強K (ホールド),2+[hk],,Low,23,3,23,-3,-,1200,1000,3000,-8000,-12000,-
j_lp,normals,Jumping Light Punch,跳轻拳,j>lp,,Overhead,4,7,-,-,-,300,300,500,-1500,-2000,-
j_mp,normals,Jumping Medium Punch,跳中拳,j>mp,,Overhead,7,4,-,-,-,700,500,1000,-3000,-4000,-
j_hp,normals,Jumping Heavy Punch,跳重拳,j>hp,,Overhead,10,7,-,-,-,800,1000,2000,4000,-5000,-
marisa_jump_heavy_punch_charged,normals,Jumping Heavy Punch (Charged),ジャンプ強P (ホールド),j>[hp],,Overhead,28,6,-,-,-,1500,1000,2000,-6000,-15000,-
j_lk,normals,Jumping Light Kick,跳轻脚,j>lk,,Overhead,5,10,-,-,-,300,300,500,-1500,-2000,-
j_mk,normals,Jumping Medium Kick,跳中脚,j>mk,,Overhead,8,8,-,-,-,500,500,1000,-2500,-4000,-
j_hk,normals,Jumping Heavy Kick,跳重脚,j>hk,,Overhead,10,7,-,-,-,800,1000,2000,-4000,-5000,-
marisa_jump_heavy_kick_charged,normals,Jumping Heavy Kick (Charged),ジャンプ強K (ホールド),j>[hk],,Overhead,29,6,-,-,-,1500,1000,2000,-6000,-15000,-
