#SF6APP_META
#characterId=rashid
#displayNameCN=
#displayNameEN=Rashid
#(You can edit CSV freely. Lines starting with # are ignored on import.)
id,category,nameEN,nameCN,input,inputDisplay,hitType,startup,active,recovery,onBlock,onHit,damage,superArt,driveOnHit,driveOnBlock,driveOnPunishCounter,cancel
st_lp,normals,Standing Light Punch,站轻拳,5lp,,High,4,2,9,1,4,300,300,250,-500,-2000,"Special, Drive, Super"
st_mp,normals,Standing Medium Punch,站中拳,5mp,,High,6,3,14,1,5,600,500,1500,-3000,-4000,"Special, Drive, Super"
st_hp,normals,Standing Heavy Punch,站重拳,5hp,,High,9,3,21,4,1,800,1000,2000,-5000,-8000,"Special, Drive, Super"
st_lk,normals,Standing Light Kick,站轻脚,5lk,,Low,4,3,10,1,3,300,300,250,-500,-2000,"Special, Drive, Super"
st_mk,normals,Standing Medium Kick,站中脚,5mk,,Low,8,3,17,3,6,600,700,2000,-4000,-6000,-
st_hk,normals,Standing Heavy Kick,站重脚,5hk,,Low,13,8,18,5,1,800,1000,3000,-6000,-10000,-
cr_lp,normals,Crouching Light Punch,下轻拳,2lp,,High,5,3,7,1,5,300,300,250,-500,-2000,"Special, Drive, Super"
cr_mp,normals,Crouching Medium Punch,下中拳,2mp,,High,6,4,13,1,4,600,500,1500,-3000,-4000,"Special, Drive, Super"
cr_hp,normals,Crouching Heavy Punch,下重拳,2hp,,High,12,3,21,6,5,900,1000,2500,-5000,-8000,Super
cr_lk,normals,Crouching Light Kick,下轻脚,2lk,,Low,5,3,8,1,3,200,300,250,-500,-2000,-
cr_mk,normals,Crouching Medium Kick,下中脚,2mk,,Low,7,3,18,5,1,500,600,1000,-2000,-4000,"Special, Drive, Super"
cr_hk,normals,Crouching Heavy Kick,下重脚,2hk,,Low,9,3,24,11,-,900,1000,3000,-4000,-10000,-
j_lp,normals,Jumping Light Punch,跳轻拳,j>lp,,High,4,5,-,-,-,300,300,500,-1500,-2000,-
j_mp,normals,Jumping Medium Punch,跳中拳,j>mp,,High,9,5,-,-,-,600,500,1000,-3000,-4000,"Special, Drive, Super"
j_hp,normals,Jumping Heavy Punch,跳重拳,j>hp,,Overhead,8,"3, 3",-,-,-,800,1000,2000,-4000,-5000,-
j_lk,normals,Jumping Light Kick,跳轻脚,j>lk,,Overhead,5,5,-,-,-,300,300,500,-1500,-2000,-
j_mk,normals,Jumping Medium Kick,跳中脚,j>mk,,Overhead,7,6,-,-,-,500,500,1000,-2500,-4000,-
j_hk,normals,Jumping Heavy Kick,跳重脚,j>hk,,Overhead,10,5,-,-,-,800,1000,2000,-4000,-5000,-
rashid_run,normals,Run,ラン,6[6],,-,-,-,-,-,-,-,-,-,-,-,-
rashid_backup,specials,Backup,バックアップ,6*p,6[6]>6*p,Low,8,10,17,10,7,800,1000,2000,-3000,-7500,Super
tempest_moon,specials,Tempest Moon,テンペスト・ムーン,6*k,6[6]>6*k,High,16,"2, 3",21,4,3,1200,1000,2000,-5000,-10000,Super
air_current_boosted_tempest_moon,specials,[Air Current Boosted] Tempest Moon,【気流強化】 テンペスト・ムーン,6*k,6[6]>6*k,High,9,"3, 2, 3",22,5,-,1400,600,2500,-7000,-10000,-
f_mp,normals,Flapping Spin,フラップ・スピン,6mp,,High,8,"2, 2",18,3,1,600,500,1500,-3000,-5000,"Special, Drive, Super"
f_hp,normals,Beak Assault,アサルト・ビーク,6hp,,Overhead,22,3,21,3,3,800,1000,2000,-5000,-5000,-
f_hk,normals,Crescent Kick,クレセントキック,6hk,,High,16,4,20,3,2,900,1000,3000,-6000,-10000,-
blitz_strike,normals,Blitz Strike,ブリッツストライク,9>2hp,,Overhead,10,5,-,-,-,850,1000,2000,-4000,-5000,"Special, Drive, Super"
aerial_shot,normals,Aerial Shot,エリアルシュート,8>8hk,,Overhead,8,5,-,-,-,800,1000,2000,-4000,-5000,-
rising_kick,targetCombos,Rising Kick,ライジング・キック,mp>hk,,High,13,4,36,20,-,400,600,2000,-1000,-10000,"Special, Drive, Super"
