#SF6APP_META
#characterId=terry
#displayNameCN=
#displayNameEN=Terry
#(You can edit CSV freely. Lines starting with # are ignored on import.)
id,category,nameEN,nameCN,input,inputDisplay,hitType,startup,active,recovery,onBlock,onHit,damage,superArt,driveOnHit,driveOnBlock,driveOnPunishCounter,cancel
st_lp,normals,Standing Light Punch,站轻拳,5lp,,High,4,3,7,-1,4,300,300,250,-500,-2000,"Special, Drive, Super"
st_mp,normals,Standing Medium Punch,站中拳,5mp,,High,7,3,16,-3,1,700,500,1500,-3000,-4000,"Special, Drive, Super"
st_hp,normals,Standing Heavy Punch,站重拳,5hp,,High,9,4,18,-1,2,800,1000,2000,-5000,-8000,"Special, Drive, Super"
st_lk,normals,Standing Light Kick,站轻脚,5lk,,Low,5,2,12,-2,2,300,300,250,-500,-2000,"Special, Drive, Super"
st_mk,normals,Standing Medium Kick,站中脚,5mk,,Low,9,3,18,-2,5,700,700,2000,-4000,-6000,-
st_hk,normals,Standing Heavy Kick,站重脚,5hk,,Low,12,4,21,-4,1,900,1000,3000,-6000,-8000,-
cr_lp,normals,Crouching Light Punch,下轻拳,2lp,,High,4,3,8,-1,4,300,300,250,-500,-2000,"Special, Drive, Super"
cr_mp,normals,Crouching Medium Punch,下中拳,2mp,,High,6,4,14,-1,5,600,600,1500,-3000,-4000,"Special, Drive, Super"
cr_hp,normals,Crouching Heavy Punch,下重拳,2hp,,High,8,6,22,-4,1,800,1000,2000,-5000,-8000,"Special, Drive, Super"
cr_lk,normals,Crouching Light Kick,下轻脚,2lk,,Low,5,2,11,-3,3,200,300,250,-500,-2000,-
cr_mk,normals,Crouching Medium Kick,下中脚,2mk,,Low,8,3,19,-6,-2,500,500,1000,-2000,-4000,"Special, Drive, Super"
cr_hk,normals,Crouching Heavy Kick,下重脚,2hk,,Low,11,3,23,-11,-,900,1000,3000,-4000,-10000,-
j_lp,normals,Jumping Light Punch,跳轻拳,j>lp,,Overhead,4,7,-,-,-,300,300,500,-1500,-2000,-
j_mp,normals,Jumping Medium Punch,跳中拳,j>mp,,Overhead,7,6,-,-,-,500,500,1000,-2500,-4000,-
j_hp,normals,Jumping Heavy Punch,跳重拳,j>hp,,Overhead,9,6,-,-,-,800,1000,2000,-4000,-5000,-
j_lk,normals,Jumping Light Kick,跳轻脚,j>lk,,Overhead,5,7,-,-,-,300,300,500,-1500,-2000,-
j_mk,normals,Jumping Medium Kick,跳中脚,j>mk,,Overhead,7,4,-,-,-,700,500,1000,-2500,-4000,-
j_hk,normals,Jumping Heavy Kick,跳重脚,j>hk,,Overhead,10,7,-,-,-,800,1000,2000,-4000,-5000,-
f_hp,normals,Hammer Punch,ハンマーパンチ,6hp,,Overhead,22,3,19,-2,2,800,1000,2000,-5000,-4000,-
power_drive,targetCombos,Power Drive,パワードライブ,5mp>5hp,,High,16,3,22,-5,-,700,600,600,-2000,-4000,-
power_shoot,targetCombos,Power Shoot,パワーシュート,5mp>5hk,,High,18,3,31,-14,-,600,500,500,-1000,-4000,-
power_dunk,targetCombos,Power Dunk,パワーダンク,5mp>5hk>5hk,,High,18,"3, 6",33,-,-,1300,1750,2500,-,-5000,-
passing_sway,targetCombos,Passing Sway,パッシングスウェー,5mp>5mk,,High,13,2,27,-12,-3,400,400,1000,-2500,-4000,-
st_mp,specials,Jumping Lariat,站中拳,5mp,5mp>5mk>5mp,High,24,2,18,3,4,1000,1000,1000,-2500,-4000,-
st_mk,specials,Jumping Knee,站中脚,5mk,5mp>5mk>5mk,High,24,2,20,-2,3,1000,1000,1000,-2500,-4000,-
fire_kick,targetCombos,Fire Kick,ファイヤーキック,2mk>2hk,,High,13,2,28,-16,-,500,300,500,-3000,-4000,"Special, Drive, Super"
power_wave_light,specials,Power Wave (Light),パワーウェーブ（弱）,236lp,,High,14,-,-,-9,-3,600,600,1000,-2500,-2000,Super
power_wave_medium,specials,Power Wave (Medium),パワーウェーブ（中）,236mp,,High,16,-,-,-6,0,700,700,1000,-2500,-2000,Super
round_wave,specials,Round Wave,ラウンドウェーブ,236hp,,High,29,-,-,5,8,900,1000,1500,-5000,-2000,Super
power_wave_od,specials,Power Wave (OD),ラウンドウェーブ（OD）,236(pp),,High,15,-,-,-2,2,1200,600,-,-1250,-5000,Super
