#SF6APP_META
#characterId=zangief
#displayNameCN=
#displayNameEN=Zangief
#(You can edit CSV freely. Lines starting with # are ignored on import.)
id,category,nameEN,nameCN,input,inputDisplay,hitType,startup,active,recovery,onBlock,onHit,damage,superArt,driveOnHit,driveOnBlock,driveOnPunishCounter,cancel
st_lp,normals,Standing Light Punch,站轻拳,5lp,,High,7,3,9,2,4,400,300,250,-500,-2000,"Special, Drive, Super"
st_lp,normals,Standing Light Punch (Rapid Cancel),站轻拳,5lp,,High,4,3,9,2,4,400,300,250,-500,-2000,"Special, Drive, Super"
st_mp,normals,Standing Medium Punch,站中拳,5mp,,High,9,4,17,-2,2,700,700,2500,-5000,-6000,-
st_hp,normals,Standing Heavy Punch,站重拳,5hp,,High,16,3,22,-3,3,1000,1000,3500,-6000,-8000,-
zangief_stand_heavy_punch_charged,normals,Standing Heavy Punch (Charged),立ち強P (ホールド),5[hp],,High,32,3,22,3,-,1400,1400,6000,-10000,-13000,-
st_lk,normals,Standing Light Kick,站轻脚,5lk,,Low,7,2,17,-4,-2,400,300,250,-500,-2000,"Special, Drive, Super"
st_mk,normals,Standing Medium Kick,站中脚,5mk,,Low,10,4,19,-4,1,900,900,3000,-6000,-8000,-
st_hk,normals,Standing Heavy Kick,站重脚,5hk,,Low,13,4,21,1,3,1000,1000,4000,-7000,-11000,-
cr_lp,normals,Crouching Light Punch,下轻拳,2lp,,High,6,2,8,1,6,300,300,250,-500,-2000,"Special, Drive, Super"
cr_lp,normals,Crouching Light Punch (Rapid Cancel),下轻拳,2lp,,High,3,2,8,1,6,300,300,250,-500,-2000,"Special, Drive, Super"
cr_mp,normals,Crouching Medium Punch,下中拳,2mp,,High,8,3,16,-1,3,700,800,3000,-6000,-8000,"Special, Drive, Super"
cr_hp,normals,Crouching Heavy Punch,下重拳,2hp,,High,11,9,35,-20,-,1000,1000,4000,-7000,-11000,-
cr_lk,normals,Crouching Light Kick,下轻脚,2lk,,Low,4,3,12,-3,0,250,300,250,-500,-2000,-
cr_lk,normals,Crouching Light Kick (Rapid Cancel),下轻脚,2lk,,Low,3,3,12,-3,0,250,300,250,-500,-2000,-
cr_mk,normals,Crouching Medium Kick,下中脚,2mk,,Low,9,3,18,-2,3,700,700,2500,-5000,-8000,-
cr_hk,normals,Crouching Heavy Kick,下重脚,2hk,,Low,12,3,27,-13,-,1000,1000,3500,-4000,-10000,-
j_lp,normals,Jumping Light Punch,跳轻拳,j>lp,,High,5,7,-,-,-,300,300,500,-1500,-2000,-
j_mp,normals,Jumping Medium Punch,跳中拳,j>mp,,Overhead,8,5,-,-,-,700,500,1000,-3000,-4000,-
j_hp,normals,Jumping Heavy Punch,跳重拳,j>hp,,Overhead,9,6,-,-,-,800,1000,2000,-4000,-5000,-
j_lk,normals,Jumping Light Kick,跳轻脚,j>lk,,Overhead,5,10,-,-,-,300,300,500,-1500,-2000,-
j_mk,normals,Jumping Medium Kick,跳中脚,j>mk,,Overhead,8,8,-,-,-,500,500,1000,-2500,-4000,-
j_hk,normals,Jumping Heavy Kick,跳重脚,j>hk,,Overhead,10,7,-,-,-,800,1000,2000,-4000,-5000,-
zangief_jump_heavy_punch_charged,normals,Jumping Heacy Punch (Charged),ジャンプ強P (ホールド),j>[hp],,Overhead,32,6,-,-,-,1500,1000,2000,-4000,-10000,-
double_lariat,specials,Double Lariat,ダブルラリアット,(pp),,High,15,"2, 2, 2, 2",27,-12,-,1400,1600,4000,-4000,-5000,Super
double_lariat_od,specials,Double Lariat (OD),ダブルラリアット (OD),(ppp),,High,12,"2, 2, 2, 2, 2",26,-11,-,1700,1600,-,-4000,-5000,Super
screw_piledriver_light,specials,Screw Piledriver (Light),スクリューパイルドライバー (弱),{360}+lp,,Throw,5,3,54,-,-,2500,4000,7000,-,-10000,-
screw_piledriver_medium,specials,Screw Piledriver (Medium),スクリューパイルドライバー (中),{360}+mp,,Throw,5,3,54,-,-,2900,4000,7000,-,-10000,-
screw_piledriver_heavy,specials,Screw Piledriver (Heavy),スクリューパイルドライバー (強),{360}+hp,,Throw,5,3,54,-,-,3300,4000,7000,-,-10000,-
screw_piledriver_od,specials,Screw Piledriver (OD),スクリューパイルドライバー (OD),{360}+pp,,Throw,5,3,54,-,-,3400,4000,-,-,-10000,-
borscht_dynamite,specials,Borscht Dynamite,ボルシチダイナマイト,j>{360}+*k,,-,4,3,-,-,-,2900,4000,5000,-,-10000,-
borscht_dynamite_od,specials,Borscht Dynamite (OD),ボルシチダイナマイト (OD),j>{360}+kk,,-,4,3,-,-,-,3000,4000,-,-,-10000,-
russian_suplex,specials,Russian Suplex,ロシアンスープレックス,63214*k,,-,10,2,50,-,-,2900,4000,7000,-,-10000,-
russian_suplex_od,specials,Russian Suplex (OD),ロシアンスープレックス (OD),63214(kk),,-,10,2,50,-,-,3200,6500,-,-,-10000,-
siberian_express,specials,Siberian Express (Close Range),シベリアンエクスプレス (近距離版),63214*k,,-,28,2,41,-,-,2700,4000,5000,-,-10000,-
siberian_express_od,specials,Siberian Express (Close Range OD),シベリアンエクスプレス (近距離版 OD),63214(kk),,Throw,23,2,44,-,-,3000,4000,-,-,-10000,-
siberian_express_far_range,specials,Siberian Express (Far Range),シベリアンエクスプレス (遠距離版),63214*k,,Throw,55,2,40,-,-,2700,4000,5000,-,-10000,-
siberian_express_far_range_od,specials,Siberian Express (Far Range OD),シベリアンエクスプレス (遠距離版 OD),63214(kk),,Throw,54,2,40,-,-,3000,4000,-,-,-10000,-
tundra_storm,specials,Tundra Storm,ツンドラストーム,22hk,,High,5,51,24,-,-,2400,2000,15000,-,-10000,-
aerial_russian_slam,supers,Aerial Russian Slam,エリアルロシアンスラム,236236*k,,High,11,7,60,-,-,3500,-,-,-,-5000,-
cyclone_lariat_charged,supers,Cyclone Lariat (Charged),サイクロンラリアット (ホールド),236236[*p],,High,18,"94, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3",52,-35,-,1100,-,-,5000,-10000,-
cyclone_lariat_immediate,supers,Cyclone Lariat (Immediate),サイクロンラリアット (その場),236236*p,,High,-,-,-,-,-,3100,-,-,-,-10000,-
cyclone_lariat_movement,supers,Cyclone Lariat (Movement),サイクロンラリアット (移動),236236*p,,High,-,-,-,-,-,3000,-,-,-,-10000,-
bolshoi_storm_buster,supers,Bolshoi Storm Buster,ボリショイストームバスター,{720}+*p,,High,6,2,116,-,-,4800,-,-,-,-15000,-
bolshoi_storm_buster_ca,supers,Bolshoi Storm Buster (Critical Art),ボリショイストームバスター (CA),{720}+*p,,High,6,2,116,-,-,5300,-,-,-,-20000,-
n3_mp,normals,Hellstab,ヘルスタブ,3mp,,High,7,3,21,-3,-1,800,700,3000,-5000,-6000,"Special, Drive, Super"
f_mk,normals,Knee Hammer,ニーハンマー,6mk,,High,14,7,13,-4,1,700,800,3000,-6000,-6000,-
f_hp,normals,Headbutt,ヘッドバット,6hp,,High,14,5,15,4,7,1000,1000,4500,-8000,-11000,"Special, Drive, Super"
f_hk,normals,Cyclone Wheel Kick,サイクロンウィールキック,6hk,,High,22,7,25,-9,-,1300,1200,4500,-6000,-11000,-
