id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch L,站轻拳,5LP,5,5-6,7,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_light_kick_l,normal,Standing Light Kick L,站轻脚,5LK,4,4-6,12,3,-3,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch M,站中拳,5MP,6,6-10,14,3,-3,C,600,,1500,-3000,-4000,500,High,2 frames of recovery added when the attack misses or is blocked,攻击挥空或被格挡+2f收招
standing_medium_kick_m,normal,Standing Medium Kick M,站中脚,5MK,8,8-10,15,6,-2,,700,,2000,-4000,-6000,700,High,2 frames of recovery added when the attack misses,攻击挥空+2fs收招
standing_heavy_punch_h,normal,Standing Heavy Punch H,站重拳,5HP,12,12-14,21,1,-4,,800,,3000,-5000,-8000,1000,High,,
standing_heavy_kick_h,normal,Standing Heavy Kick H,站重脚,5HK,9,9-12,19,4,-3,C,800,,2000,-5000,-8000,1000,High,Forces the opponent into a standing position 12 frames of advantage added when the attack lands as a Punish Counter,强制对手站立，打到确反康增加12帧受击硬直
crouching_light_punch_l,normal,Crouching Light Punch L,下轻拳,2LP,4,4-5,9,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick L,下轻脚,2LK,5,5-7,8,3,-2,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch M,下中拳,2MP,7,7-9,18,1,-3,C,600,,1500,-3000,-4000,500,High,,
crouching_medium_kick_m,normal,Crouching Medium Kick M,下中脚,2MK,7,7-9,16,5,1,SA,600,Starter scaling 20%,1000,-2000,-4000,600,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch H,下重拳,2HP,10,10-12,28,D,-8,,900,,3000,-4000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown",打出确反康强制倒地，增加对手倒地时间
crouching_heavy_kick_h,normal,Crouching Heavy Kick H,下重脚,2HK,10,10-15,20,0,-3,SA,900,,3000,-6000,-10000,1000,High,Forces a juggle state when the attack lands as a Punish Counter,打中确反康强制对手进入浮空硬直
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump) L,跳轻拳,J>LP,5,5-13,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump) L,跳轻脚,J>LK,5,5-10,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,Has cross-up attack properties,有逆向判定
jumping_medium_punch_during_a_jump_m,normal,Jumping Medium Punch (During a jump) M,跳中拳,J>MP,7,7-10,3 frame(s) after landing,,,,700,,1000,-3000,-4000,500,Mid,Forces a juggle state when hitting a mid-air opponent,打中空中对手的时候强制对手进入浮空硬直
jumping_medium_kick_during_a_jump_m,normal,Jumping Medium Kick (During a jump) M,跳中脚,J>MK,7,7-12,3 frame(s) after landing,,,,600,,1000,-2500,-4000,500,Mid,,
jumping_heavy_punch_during_a_jump_h,normal,Jumping Heavy Punch (During a jump) H,跳重拳,J>HP,11,11-16,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Forces a slam knockdown on counter or Punish Counter when hitting a mid-air opponent,击中空中对手且出确反康时强制对手砸地倒地
jumping_heavy_kick_during_a_jump_h,normal,Jumping Heavy Kick (During a jump) H,跳重脚,J>HK,8,8-15,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,,
pu_lao_m,normal,Pu Lao M,蒲牢,3MP,24,24-26,18,3,-2,,600,,1500,-2500,-4000,500,Mid,,
chi_wen_h,normal,Chi Wen H,螭吻,6HP,16,16-18,21,3,-4,SA,900,,3000,-6000,-6000,1000,High,1 frame of recovery subtracted when the attack hits or is blocked,攻击命中或被防-1f收招
qiu_niu_h,normal,Qiu Niu H,囚牛,6HK,14,14-24,16,4,2,,800,Starter scaling 20%,3000,-4000,-10000,1000,High,4 frames of recovery added when the attack misses,攻击挥空+4f收招
gong_fu_during_a_forward_jump_h,normal,Gong Fu (During a forward jump) H,蚣蝮,9>2HP,9,9-13,3 frame(s) after landing,,,,800,Starter scaling 20%,2000,-4000,-5000,1000,Mid,Forces a slam knockdown when hitting a mid-air opponent,击中空中对手时强制对手砸地倒地
hun_dun2_l_l,targetcombo,Hun Dun(2) L L,混沌,5LP>5LP,8,8-9,14,1,-3,C,300,,500,-1000,-4000,400,High,,
qiong_qi_2_h_h,targetcombo,Qiong Qi (2) H H,穹奇,HP>HP,14,14-16,24,D,-15,,400,Combo scaling 10%,3000,-6000,-10000,600,High,Puts the opponent in a poisoned state on hit Toxic Blossom triggers on hit if the opponent is already in a poisoned state Forces a juggle state when Toxic Bloom triggers,击中给对手添加中毒效果，如果对手已经中毒则引爆对手体内的毒药，引爆毒药后对手强制进入浮空硬直
nightshade_pulse_l,special,Nightshade Pulse L,紫烟炮,214LP,17,,52 total frames,-5,-10,*SA3,500,,1000,-2500,-2000,600,High - Projectile,Puts the opponent in a poisoned state on hit Can be canceled into branching moves from frames 30 - 36 * Can be canceled into Overdrive Snake Step from frames 35 - 52,击中给对手添加中毒效果。第30-36帧可以被派生动作取消，第35-52帧可以被OD蛇轻功取消
nightshade_chaser_during_nightshade_pulse,special,Nightshade Chaser (During Nightshade Pulse),紫烟追,214LP>6P,13,13-14,34,-4,-16,SA3,*500,,1000,-2500,-2000,600,High,Puts the opponent in a poisoned state on hit Toxic Blossom triggers on hit if the opponent is already in a poisoned state * Deals 800 damage and forces a juggle state on Toxic Blossom trigger Clashes with projectiles (Once),击中给对手添加中毒效果，如果对手已经中毒则引爆对手体内的毒药，引爆毒药后对手强制进入浮空硬直并增加800点伤害，可以和飞行道具抵消（仅一次）
od_nightshade_pulse,special,OD Nightshade Pulse,OD紫烟炮,214PP,16,,44 total frames,D,1,*SA2,700,Starter scaling 20％,0,-2000,-5000,600,High - Projectile,Puts the opponent in a poisoned state on hit Can be canceled into branching moves from frames 34 - 35 * Can be canceled into Overdrive Snake Step from frames 32 - 33,击中给对手添加中毒效果。第34-35帧可以被派生动作取消，第32-33帧可以被OD蛇轻功取消
od_nightshade_chaser_during_od_nightshade_pulse,special,OD Nightshade Chaser (During OD Nightshade Pulse),OD紫烟追,214PP>6P,13,13-17,28,D,-13,SA2,*600,Combo scaling 20%,0,-2500,-2000,600,High,Puts the opponent in a poisoned state on hit Toxic Blossom triggers on hit if the opponent is already in a poisoned state * Deals 800 damage and forces a juggle state on Toxic Blossom trigger Clashes with projectiles (Once),击中给对手添加中毒效果，如果对手已经中毒则引爆对手体内的毒药，引爆毒药后对手强制进入浮空硬直并增加800点伤害，可以和飞行道具抵消（仅一次）
nightshade_chaser_burst,special,Nightshade Chaser (Burst),紫烟追（毒炸裂）,,,,,D,,,800,,1000,-1000,-2500,300,High - Projectile,Puts the opponent in a poisoned state on hit,击中给对手添加中毒效果
od_nightshade_chaser_burst,special,OD Nightshade Chaser (Burst),OD紫烟追（毒炸裂）,,,,,D,,,1600,,0,-3500,-2500,900,High - Projectile,Puts the opponent in a poisoned state on hit,击中给对手添加中毒效果
orchid_spring_m,special,Orchid Spring M,紫泡泉,214MP,26,*,46 total frames,,,,0,,0,0,0,0,,Opponent enters poisoned state on contact with poison pool Poison pool remains in place for 160 frames,对手进入毒池之后会被添加中毒效果，毒池存在160帧
toxic_wreath_h,special,Toxic Wreath H,紫泡撒,214HP,13,13-38,13,D,-4,SA3,800,Immediate scaling 15%,2000,-3000,-4000,600,High,Puts the opponent in a poisoned state on hit,击中给对手添加中毒效果
