id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch,站轻拳,5LP,4,4-6,7,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_light_kick_l,normal,Standing Light Kick,站轻脚,5LK,5,5-7,11,2,-4,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch,站中拳,5MP,6,6-9,11,4,1,C,600,,1500,-3000,-4000,500,High,,
standing_medium_kick_m,normal,Standing Medium Kick,站中脚,5MK,7,7-11,15,3,-3,C,700,,2000,-4000,-6000,500,High,Forces the opponent into a standing position,强制对手站立
standing_heavy_punch_h,normal,Standing Heavy Punch,站重拳,5HP,9,9-13,18,3,-3,C,800,,2000,-5000,-8000,1000,High,,
standing_heavy_kick_h,normal,Standing Heavy Kick,站重脚,5HK,13,13-27,15,7,3,,800,Combo scaling 20%,3000,-6000,-10000,1000,High,Forces the opponent into a standing position 1 frames of recovery added when the attack misses,强制对手站立，攻击挥空时+1f收招
crouching_light_punch_l,normal,Crouching Light Punch,下轻拳,2LP,4,4-5,9,5,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
crouching_light_kick_l,normal,Crouching Light Kick,下轻脚,2LK,5,5-6,10,3,-3,,200,Starter scaling 20%,250,-500,-2000,300,Low,,
crouching_medium_punch_m,normal,Crouching Medium Punch,下中拳,2MP,6,6-8,14,6,-1,C,600,,1500,-3000,-4000,500,High,2 frames of recovery added when the attack misses,攻击挥空时+2f收招
crouching_medium_kick_m,normal,Crouching Medium Kick,下中脚,2MK,8,8-10,19,1,-6,C,500,Starter scaling 20%,1000,-2000,-4000,500,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch,下重拳,2HP,8,8-15,19,0,-8,C,900,,3000,-6000,-8000,1000,High,,
crouching_heavy_kick_h,normal,Crouching Heavy Kick,下重脚,2HK,9,9-11,23,D,-12,,900,,3000,-4000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown",打出确反康时强制倒地，增加倒地时间
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump),跳轻拳,J>LP,4,4-13,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump),跳轻脚,J>LK,6,6-15,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,Has cross-up attack properties,有逆向判定
jumping_medium_punch_during_a_jump_m,normal,Jumping Medium Punch (During a jump),跳中拳,J>MP,8,8-11,3 frame(s) after landing,,,C,700,,1000,-2500,-4000,500,Mid,Forces a juggle state when hitting a mid-air opponent,击中空中对手时强制对手进入浮空硬直
