id,category,nameEN,nameCN,input,startup,active,recovery,onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishCounter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch L,站轻拳,5LP,4,4-5,9,5,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_light_kick_l,normal,Standing Light Kick L,站轻脚,5LK,6,6-7,13,1,-5,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch M,站中拳,5MP,7,7-10,17,3,0,C,600,,1500,-3000,-4000,500,High,,
standing_medium_kick_m,normal,Standing Medium Kick M,站中脚,5MK,9,9-11,19,3,-4,,700,,2000,-4000,-6000,700,High,,
standing_heavy_punch_h,normal,Standing Heavy Punch H,站重拳,5HP,12,12-16,19,4,-3,SA,900,Starter scaling 10%,2000,-5000,-8000,1000,High,Hold down the button for over 16 frames to change its properties,按住按钮超过16帧改变攻击性质
standing_heavy_punchcharged_hold_h,normal,Standing Heavy Punch(Charged) Hold H,站重拳（蓄力）,5[HP],23,23-25,22,5,2,C*,1000,Starter scaling 20%,3000,-8000,-12000,1000,High,Can be canceled into Prowler Stance Adds 13 frames of advantage on Punish Counter,可以取消进构。确反康+13f有利
standing_heavy_kick_h,normal,Standing Heavy Kick H,站重脚,5HK,16,16-18,23,1,-4,,900,Starter scaling 15%,3000,-5000,-8000,1000,High,Produces a crumple stun for 23 frames when the attack lands as a Punish Counter Hold down the button for over 16 frames to change its properties,确反康造成23f崩防硬直，按住按钮超过16f改变性质
standing_heavy_kickcharged_hold_h,normal,Standing Heavy Kick(Charged) Hold H,站重脚（蓄力）,5[HK],25,25-27,20,D,2,*,1000,Starter scaling 15%,3000,-8000,-12000,1100,High,Can be canceled into Prowler Stance Juggle state time is extended when attack lands as a Punish Counter.,可以取消进构，确反康命中增加对手浮空时间
crouching_light_punch_l,normal,Crouching Light Punch L,下轻拳,2LP,5,5-7,8,5,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick L,下轻脚,2LK,5,5-7,11,2,-2,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch M,下中拳,2MP,8,8-9,20,1,-2,C,600,,1500,-3000,-4000,500,High,,
crouching_medium_kick_m,normal,Crouching Medium Kick M,下中脚,2MK,8,8-10,18,4,-2,,600,Starter scaling 20%,2000,-4000,-6000,600,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch H,下重拳,2HP,9,9-14,22,-3,-6,C,800,,2500,-5000,-8000,1000,High,Can be canceled into Prowler Stance Forces a juggle state on Punish Counter Forces the opponent into a standing position,可以取消进够，确反康造成浮空硬直，强制对手站立
crouching_heavy_kick_h,normal,Crouching Heavy Kick H,下重脚,2HK,10,10-12,26,D,-11,,1000,,3000,-4000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown",确反康命中造成强制倒地，倒地时间增加
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump) L,跳轻拳,J>LP,5,5-12,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump) L,跳轻脚,J>LK,6,6-14,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,Has cross-up attack properties,有逆向判定
