id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch,站轻拳,5LP,5,5-7,10,3,-3,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_light_kick_l,normal,Standing Light Kick,站轻脚,5LK,4,4-7,7,5,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_medium_punch_m,normal,Standing Medium Punch,站中拳,5MP,10,10-12,15,3,-4,SA,700,,2000,-4000,-6000,500,High,,
standing_medium_kick_m,normal,Standing Medium Kick,站中脚,5MK,8,8-10,17,4,-2,C,600,,2000,-3000,-6000,700,High,* 3 frames of recovery added when the attack misses,攻击挥空时+3f收招
standing_heavy_punch_h,normal,Standing Heavy Punch,站重拳,5HP,10,10-16,22,3,-3,C,800,,2000,-5000,-8000,1000,High,Forces the opponent into a standing position,强制对手站立
standing_heavy_kick_h,normal,Standing Heavy Kick,站重脚,5HK,7,7-15,18,6,-4,,800,,3000,-4000,-10000,1000,High,Forces a juggle state when the attack lands as a counter or Punish Counter on a mid-air opponent Forces the opponent into a standing position,当打中空中对手且打出康或确反康时强制对手进入浮空硬直。强制对手站立
crouching_light_punch_l,normal,Crouching Light Punch,下轻拳,2LP,6,6-8,8,5,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以被连击取消
crouching_light_kick_l,normal,Crouching Light Kick,下轻脚,2LK,5,5-6,10,3,-3,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以被连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch,下中拳,2MP,9,9-13,16,-1,-5,C,600,,1500,-3000,-4000,500,High,,
crouching_medium_kick_m,normal,Crouching Medium Kick,下中拳,2MK,8,8-10,*16,5,-5,C,500,Starter scaling 20%,1000,-2000,-4000,600,Low,*2 frames of recovery added when the attack is blocked or misses,打防或者挥空+2f收招
crouching_heavy_punch_h,normal,Crouching Heavy Punch,下重拳,2HP,15,15-19,20,0,-5,,900,,4000,-6000,-10000,1000,High,Forces a juggle state when the attack lands as a Punish Counter Forces the opponent into a standing position,打出确反康强制对手进入浮空硬直，强制对手站立。
crouching_heavy_kick_h,normal,Crouching Heavy Kick,下重脚,2HK,11,11-14,23,D,-12,,900,,2000,-5000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown",打出确反康强制倒地，增加倒地时间
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump),跳轻拳,J>LP,4,4-8,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump),跳轻脚,J>LK,5,5-10,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_medium_punch_during_a_jump_m,normal,Jumping Medium Punch (During a jump),跳中拳,J>MP,7,7-13,3 frame(s) after landing,,,C,700,,1000,-2500,-4000,500,Mid,Forces a juggle state when hitting a mid-air opponent,击中空中对手时强制对手进入浮空硬直
jumping_medium_kick_during_a_jump_m,normal,Jumping Medium Kick (During a jump),跳中脚,J>MK,7,7-12,3 frame(s) after landing,,,,500,,1000,-2500,-4000,500,Mid,Has cross-up attack properties,有逆向判定
jumping_heavy_punch_during_a_jump_h,normal,Jumping Heavy Punch (During a jump),跳重拳,J>HP,9,9,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Forces a slam knockdown when hitting a mid-air opponent,击中空中对手时将其砸倒
jumping_heavy_kick_during_a_jump_h,normal,Jumping Heavy Kick (During a jump),跳重脚,J>HK,11,11-16,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,,
neutral_jumping_heavy_punch_during_a_neutral_jump_h,normal,Neutral Jumping Heavy Punch (During a neutral jump),直跳重脚,8>HP,7,7-9,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Forces a juggle state when hitting a mid-air opponent,打中空中的对手时强制对手进入浮空硬直
rock_crusher_m,normal,Rock Crusher,岩石打击,6MP,20,20-22,20,3,-3,,600,,1500,-2500,-5000,500,*MidHigh,*Second attack becomes an overhead only if the first attack whiffs,当且仅当第一段攻击挥空时，第二段攻击的判定为中段
double_knee_bombs_m,normal,Double Knee Bombs,双膝炸弹,6MK,9,9-20,18,6,-2,,600,,2000,-2000,-3000,500,High,Blowback knockdown when the first attack hits a mid-air opponent Forces the opponent into a standing position,当第一段攻击打中空中对手时击退对手。强制对手站立
wild_edge_m,normal,Wild Edge,野兽利刃,4MK,9,9-14,12,8,2,C,600,,1500,-3000,-4000,500,High,,
