id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch,站轻拳,5LP,4,4-6,7,5,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_light_kick_l,normal,Standing Light Kick,站轻脚,5LK,5,5-7,10,2,-3,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch,站中拳,5MP,6,6-9,13,6,-1,,600,,1500,-3000,-4000,500,High,,
standing_medium_kick_m,normal,Standing Medium Kick,站中脚,5MK,8,8-10,18,3,-4,,700,,2000,-4000,-6000,700,High,,
standing_heavy_punch_h,normal,Standing Heavy Punch,站重拳,5HP,8,8-10,20,2,-3,C,800,,2000,-4000,-8000,1000,High,,
standing_heavy_kick_h,normal,Standing Heavy Kick,站中脚,5HK,11,11-13,21,2,-3,,900,,3000,-6000,-10000,1200,High,Forces a juggle state on Punish Counter 2 frames of recovery added when the attack misses,确反康造成浮空硬直，攻击挥空+2f收招
crouching_light_punch_l,normal,Crouching Light Punch,下轻拳,2LP,4,4-5,8,5,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick,下轻脚,2LK,5,5-7,7,3,-2,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch,下中拳,2MP,7,7-9,14,5,-2,C,600,,1500,-3000,-4000,500,High,3 frames of recovery added when the attack misses,攻击挥空+3f收招
crouching_medium_kick_m,normal,Crouching Medium Kick,下中脚,2MK,8,8-10,18,1,-5,C,500,Starter scaling 20%,1000,-2000,-4000,500,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch,下重拳,2HP,10,10-13,15,7,1,,700,,2500,-5000,-8000,1000,High,Forces the opponent into a standing position,强制对手站立
crouching_heavy_kick_h,normal,Crouching Heavy Kick,下重脚,2HK,9,9-11,24,D,-10,,900,,3000,-4000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown Forces a juggle state when hitting a mid-air opponent",确反康强制倒地，延长倒地时间
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump),跳轻拳,J>LP,4,4-13,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump),跳轻脚,J>LK,4,4-13,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,Has cross-up attack properties,有逆向判定
