id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch,站轻拳,5LP,4,4-6,7,5,-3,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_light_kick_l,normal,Standing Light Kick,站轻脚,5LK,5,5-7,10,2,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch,站中拳,5MP,5,5-8,10,6,1,C,600,,1500,-3000,-4000,600,High,,
standing_medium_kick_m,normal,Standing Medium Kick,站中脚,5MK,7,7-10,16,4,-2,C,500,,1500,-3000,-4000,700,High,,
standing_heavy_punch_h,normal,Standing Heavy Punch,站重拳,5HP,13,13-15,20,2,-3,*,800,,4000,-6000,-8000,800,High,Can be canceled into Serenity Stream on hit or block,打中或者打防可以取消行云流水
standing_heavy_kick_h,normal,Standing Heavy Kick,站重脚,5HK,14,14-16,18,4,0,*,900,Starter scaling 20%,3000,-6000,-10000,1000,High,Can be canceled into Serenity Stream on hit or block Forces a juggle state when hitting a mid-air opponent,打中或打防可以取消行云流水，击中空中对手时强制对手进入浮空硬直
crouching_light_punch_l,normal,Crouching Light Punch,下轻拳,2LP,4,4-6,7,4,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick,下轻脚,2LK,4,4-5,10,0,-2,C,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch,下中拳,2MP,6,6-9,13,4,-2,C,600,,1500,-3000,-4000,600,High,1 frames of recovery added when the attack misses,攻击挥空时+1f收招
crouching_medium_kick_m,normal,Crouching Medium Kick,下中脚,2MK,7,7-9,19,-2,-6,C,500,Starter scaling 20%,1000,-2000,-4000,500,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch,下重拳,2HP,11,11-23,18,1,-3,C,900,,2000,-5000,-8000,1000,High,Forces the opponent into a standing position Forces a juggle state when the first attack hits a mid-air opponent,强制对手站立，第一段攻击击中空中对手时强制对手进入浮空硬直
crouching_heavy_kick_h,normal,Crouching Heavy Kick,下重脚,2HK,9,9-14,19,D,-9,*,900,,3000,-4000,-10000,1000,Low,"* Can be canceled into Serenity Stream on hit or block Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown Forces a juggle state when hitting a mid-air opponent",打中或打防可以取消行云流水。打出确反康后强制倒地，增加倒地时间。打中浮空对手时强制对手进入浮空硬直
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump),跳轻拳,J>LP,4,4-13,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump),跳轻脚,J>LK,4,4-11,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_medium_punch_during_a_jump_m,normal,Jumping Medium Punch (During a jump),跳中拳,J>MP,7,7-21,3 frame(s) after landing,,,C,600,,1000,-1250,-4000,500,MidMid,Forces a juggle state when hitting a mid-air opponent,打中浮空对手时强制对手进入浮空硬直
jumping_medium_kick_during_a_jump_m,normal,Jumping Medium Kick (During a jump),跳中脚,J>MK,6,6-10,3 frame(s) after landing,,,,500,,1000,-2500,-4000,500,Mid,Has cross-up attack properties,有逆向判定
jumping_heavy_punch_during_a_jump_h,normal,Jumping Heavy Punch (During a jump),跳重拳,J>HP,9,9-14,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Forces a juggle state when hitting a mid-air opponent,打中浮空对手强制对手进入浮空硬直
jumping_heavy_kick_during_a_jump_h,normal,Jumping Heavy Kick (During a jump),跳重脚,J>HK,8,8-14,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,,
neutral_jumping_heavy_kick_during_a_neutral_jump_h,normal,Neutral Jumping Heavy Kick (During a neutral jump),直跳重脚,8>HK,8,8-12,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Has cross-up attack properties,有逆向判定
swift_thrust_m,normal,Swift Thrust,追刺拳,4/6MP,7,7-9,15,2,-3,C,600,,1500,-3000,-4000,500,High,,
hakkei_h,normal,Hakkei,发劲,4HP,8,8-13,14,5,-1,C,800,,2000,-5000,-10000,1000,High,,
water_lotus_fist_h,normal,Water Lotus Fist,水莲掌,3HP,21,21-23,15,2,-2,*,800,,2000,-5000,-5000,1000,Mid,* Can be canceled into Serenity Stream on hit or block,打中或者打防可以可以取消行云流水
