id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch L,站轻拳,5LP,4,4-6,6,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_light_kick_l,normal,Standing Light Kick L,站轻脚,5LK,5,5-6,12,2,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch M,站中拳,5MP,7,7-9,13,5,2,,600,,2000,-4000,-6000,500,High,,
standing_medium_kick_m,normal,Standing Medium Kick M,站中脚,5MK,9,9-11,16,6,-1,,600,,2000,-4000,-6000,700,High,,
standing_heavy_punch_h,normal,Standing Heavy Punch H,站重拳,5HP,9,9-14,18,3,-4,C,800,Starter scaling 20%,2000,-5000,-8000,1000,High,Can be canceled up until the 2nd active frame Forces the opponent into a standing position,第2帧打击帧之前都可以取消，强制对手站立
standing_heavy_kick_h,normal,Standing Heavy Kick H,站重脚,5HK,12,12-14,*22,1,-5,,800,Starter scaling 20%,3000,-6000,-8000,1000,High,* 4 frames of recovery are added if the attack misses Adds +18 of frame advantage on Punish Counter,攻击挥空+4f收招，确反康+18f有利
crouching_light_punch_l,normal,Crouching Light Punch L,下轻拳,2LP,5,5-7,8,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick L,下轻脚,2LK,5,5-6,10,2,-2,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch M,下中拳,2MP,6,6-9,14,4,-1,C,600,,1500,-3000,-4000,500,High,,
crouching_medium_kick_m,normal,Crouching Medium Kick M,下中脚,2MK,8,8-11,19,,-6,,700,,2000,-4000,-6000,600,Low,Forces a Hard Knockdown on Punish Counter,确反康强制倒地
crouching_heavy_punch_h,normal,Crouching Heavy Punch H,下重拳,2HP,8,8-9,20,6,-2,,800,,3000,-4000,-10000,1000,High,Forces the opponent into a standing position Adds +12 of frame advantage on Punish Counter,强制对手站立，确反康+12f有利
crouching_heavy_kick_h,normal,Crouching Heavy Kick H,下重脚,2HK,14,14-23,15,D,-11,,900,,3000,-4000,-10000,1000,Low,Knockdown time extended when attack lands as a counter or Punish Counter,打康或确反康时对手倒地时间增加
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump) L,跳轻拳,J>LP,4,4-10,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump) L,跳轻脚,J>LK,4,4-9,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_medium_punch_during_a_jump_m,normal,Jumping Medium Punch (During a jump) M,跳中拳,J>MP,6,6-9,3 frame(s) after landing,,,,700,,1000,-2500,-4000,500,Mid,Forces a juggle state when hitting a mid-air opponent,击中空中对手时造成浮空硬直
jumping_medium_kick_during_a_jump_m,normal,Jumping Medium Kick (During a jump) M,跳中脚,J>MK,8,8-13,3 frame(s) after landing,,,,500,,1000,-2500,-4000,500,Mid,Has cross-up attack properties,有逆向判定
jumping_heavy_punch_during_a_jump_h,normal,Jumping Heavy Punch (During a jump) H,跳重拳,J>HP,9,9-14,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Forces a slam knockdown when hitting a mid-air opponent,击中空中对手时造成砸地硬直
