id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch L,站轻拳,5LP,4,4-6,8,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_light_kick_l,normal,Standing Light Kick L,站轻脚,5LK,9,9-12,11,2,-6,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch M,站中拳,5MP,14,14-16,19,0,-5,,700,,2000,-3000,-6000,500,High,,
standing_medium_kick_m,normal,Standing Medium Kick M,站中脚,5MK,12,12-14,18,-2,-6,,600,,2000,-3000,-6000,500,High,,
standing_heavy_punch_h,normal,Standing Heavy Punch H,站重拳,5HP,16,16-19,27,-6,-11,,1000,,4000,-5000,-8000,1000,High,Forces a juggle state on Punish Counter,确反康造成浮空硬直
standing_heavy_kick_h,normal,Standing Heavy Kick H,站重脚,5HK,17,17-19,20,3,-6,C,800,,2500,-4000,-8000,1000,High,Forces a juggle state when hitting a mid-air opponent Adds 21 frames of advantage on Punish Counter,命中空中对手时造成浮空硬直，确反康+21f有利
crouching_light_punch_l,normal,Crouching Light Punch L,下轻拳,2LP,5,5-7,9,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick L,下轻脚,2LK,4,4-10,16,-5,-10,,200,,250,-500,-2000,300,Low,,
crouching_medium_punch_m,normal,Crouching Medium Punch M,下中拳,2MP,12,12-14,16,0,-4,C,600,,2000,-3000,-6000,500,High,,
crouching_medium_kick_m,normal,Crouching Medium Kick M,下中脚,2MK,10,10-22,14,-3,-10,,500,Starter scaling 20%,1000,-2000,-3000,500,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch H,下重拳,2HP,19,19-22,20,3,-8,,800,,3500,-4000,-8000,1000,Low,4 frames of recovery added when the attack misses,攻击挥空时+4f收招
crouching_heavy_kick_h,normal,Crouching Heavy Kick H,下重脚,2HK,12,12-27,20,D,-16,,900,,2000,-4000,-7000,1000,Low,Knockdown time extended when attack lands as a counter or Punish Counter,确反康延长倒地时间
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump) L,跳轻拳,J>LP,4,4-7,3 frame(s) after landing,,,,300,,750,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump) L,跳轻脚,J>LK,6,6-9,3 frame(s) after landing,,,,300,,750,-1500,-2000,300,Mid,Has cross-up attack properties,有逆向判定
jumping_medium_punch_during_a_jump_m,normal,Jumping Medium Punch (During a jump) M,跳中拳,J>MP,9,9-14,3 frame(s) after landing,,,C,700,Starter scaling 20%,1500,-3000,-4000,500,High,,
jumping_medium_kick_during_a_jump_m,normal,Jumping Medium Kick (During a jump) M,跳中脚,J>MK,11,11-16,3 frame(s) after landing,,,,500,Starter scaling 20%,1500,-3000,-4000,500,Mid,,
jumping_heavy_punch_during_a_jump_h,normal,Jumping Heavy Punch (During a jump) H,跳重拳,J>HP,13,13-16,3 frame(s) after landing,,,,800,Starter scaling 20%,2500,-5000,-6000,1000,Mid,Forces a slam knockdown when hitting a mid-air opponent,命中空中对手时造成砸地倒地
jumping_heavy_kick_during_a_jump_h,normal,Jumping Heavy Kick (During a jump) H,跳重脚,J>HK,10,10-19,3 frame(s) after landing,,,,800,Starter scaling 20%,2500,-5000,-6000,1000,Mid,,
yoga_uppercut_m,normal,Yoga Uppercut M,瑜伽上勾拳,4MP,8,8-13,16,2,-3,C,700,,1500,-3000,-4000,500,High,Forces the opponent into a standing position,强制对手站立
yoga_lance_h,normal,Yoga Lance H,瑜伽长矛,4HP,14,14-20,29,-9,-16,C,900,Starter scaling 20%,2500,-5000,-8000,1000,High,Forces a juggle state when hitting a mid-air opponent on counter or Punish Counter,命中空中对手并打康或确反康时造成浮空硬直
nirvana_punch_h,normal,Nirvana Punch H,涅槃拳,1HP,10,10-13,20,3,-3,C,800,,2000,-5000,-8000,1000,High,,
agile_kick_l,normal,Agile Kick L,灵敏踢,1LK,5,5-7,10,1,-3,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
divine_kick_m,normal,Divine Kick M,合掌踢,4MK,7,7-10,17,3,0,C,600,,1500,-3000,-4000,500,High,,
thrust_kick_m,normal,Thrust Kick M,刺踢,1MK,8,8-10,20,-3,-7,C,500,Starter scaling 20%,1500,-3000,-4000,500,Low,,
yoga_mountain_h,normal,Yoga Mountain H,瑜珈山,4HK,14,14-19,20,0,-9,,1000,,3000,-6000,-10000,1000,High,Forces the opponent into a standing position Forces a juggle state when hitting a mid-air opponent on counter or Punish Counter,强制对手站立，命中空中对手并打康或确反康时造成浮空硬直
karma_kick_h,normal,Karma Kick H,因果踢,1HK,9,9-11,22,D,-7,,900,,2500,-5000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown",确反康强制倒地，延长倒地时间
yoga_mummy_during_a_jump_l,normal,Yoga Mummy (During a jump) L,锥钻头,J>2LP,10,10-until landing,9 frame(s) after landing,,,C,500,,1500,-3000,-4000,500,High,Forces a juggle state when hitting a mid-air opponent,击中空中对手时造成浮空硬直
l_drill_kick_during_a_jump_l,normal,L Drill Kick (During a jump) L,锥钻踢（轻）,J>2LK,9,9-until landing,11 frame(s) after landing,,,,500,Starter scaling 20%,1500,-3000,-4000,500,High,,
m_drill_kick_during_a_jump_m,normal,M Drill Kick (During a jump) M,锥钻踢（中）,J>2MK,9,9-until landing,11 frame(s) after landing,,,,500,Starter scaling 20%,1500,-3000,-4000,500,High,,
h_drill_kick_during_a_jump_h,normal,H Drill Kick (During a jump) H,锥钻踢（重）,J>2HK,9,9-until landing,11 frame(s) after landing,,,,500,Starter scaling 20%,1500,-3000,-4000,500,High,,
l_yoga_fire_l,special,L Yoga Fire L,瑜伽火球（轻）,236LP,15,,48 total frames,-2,-6,SA3,600,,2000,-4000,-3000,600,High - Projectile,,
l_yoga_firecharged_hold_l,special,L Yoga Fire(Charged) Hold L,瑜伽火球（轻）（蓄力）,236[LP],43,,73 total frames,D,-1,SA3,800,,2000,-4000,-3000,800,High - Projectile,Hold the button for 29 frames and the held button version will be performed automatically,按住按钮29帧切换成蓄力版本
m_yoga_fire_m,special,M Yoga Fire M,瑜伽火球（中）,236MP,15,,48 total frames,-2,-6,SA3,600,,2000,-4000,-3000,600,High - Projectile,,
m_yoga_firecharged_hold_m,special,M Yoga Fire(Charged) Hold M,瑜伽火球（中）（蓄力）,236[MP],43,,73 total frames,D,-1,SA3,800,,2000,-4000,-3000,800,High - Projectile,Hold the button for 29 frames and the held button version will be performed automatically,按住按钮29帧切换成蓄力版本
h_yoga_fire_h,special,H Yoga Fire H,瑜伽火球（重）,236HP,15,,48 total frames,-2,-6,SA3,600,,2000,-4000,-3000,600,High - Projectile,,
h_yoga_firecharged_hold_h,special,H Yoga Fire(Charged) Hold H,瑜伽火球（重）（蓄力）,236[HP],43,,73 total frames,D,-1,SA3,800,,2000,-4000,-3000,800,High - Projectile,Hold the button for 29 frames and the held button version will be performed automatically,按住按钮29帧切换成蓄力版本
od_l_yoga_fire_l_m,special,OD L Yoga Fire L M,OD瑜伽火球（轻）,236LPMP,12,,45 total frames,D,-3,SA2,1000,,0,-4000,-5000,800,High - Projectile,,
od_m_yoga_fire_l_h,special,OD M Yoga Fire L H,OD瑜伽火球（中）,236LPHP,12,,45 total frames,D,-3,SA2,1000,,0,-4000,-5000,800,High - Projectile,,
od_h_yoga_fire_m_h,special,OD H Yoga Fire M H,OD瑜伽火球（重）,236MPHP,12,,45 total frames,D,-3,SA2,1000,,0,-4000,-5000,800,High - Projectile,,
l_yoga_arch_l,special,L Yoga Arch L,瑜伽弧（轻）,236LK,18,,45 total frames,1,-1,SA3,600,,2000,-4000,-3000,600,High - Projectile,,
m_yoga_arch_m,special,M Yoga Arch M,瑜伽弧（中）,236MK,18,,45 total frames,1,-1,SA3,600,,2000,-4000,-3000,600,High - Projectile,,
h_yoga_arch_h,special,H Yoga Arch H,瑜伽弧（重）,236HK,18,,45 total frames,1,-1,SA3,600,,2000,-4000,-3000,600,High - Projectile,,
od_l_yoga_arch_l_m,special,OD L Yoga Arch L M,OD瑜伽弧（轻）,236LKMK,18,,45 total frames,1,-3,SA2,1000,Starter scaling 20％ Combo scaling 20％,0,-2500,-5000,800,High - Projectile,,
od_m_yoga_arch_l_h,special,OD M Yoga Arch L H,OD瑜伽弧（中）,236LKHK,18,,45 total frames,1,-3,SA2,1000,Starter scaling 20％ Combo scaling 20％,0,-2500,-5000,800,High - Projectile,,
od_h_yoga_arch_m_h,special,OD H Yoga Arch M H,OD瑜伽弧（重）,236MKHK,18,,45 total frames,1,-3,SA2,1000,Starter scaling 20％ Combo scaling 20％,0,-2500,-5000,800,High - Projectile,,
l_yoga_flame_l,special,L Yoga Flame L,瑜伽烈焰（轻）,63214LP,16,16-30,45 total frames,D,-4,SA3,800,,2000,-4000,-5000,900,High - Projectile,,
m_yoga_flame_m,special,M Yoga Flame M,瑜伽烈焰（中）,63214MP,20,19-34,51 total frames,D,-4,SA3,900,,2400,-5000,-5000,1000,High - Projectile,,
h_yoga_flame_h,special,H Yoga Flame H,瑜伽烈焰（重）,63214HP,26,26-42,58 total frames,D,-4,SA3,1200,,2700,-6000,-5000,1100,High - Projectile,,
od_yoga_flame,special,OD Yoga Flame,OD瑜伽烈焰,63214PP,18,18-42,66 total frames,D,-11,SA2,800,,0,-4000,-5000,1100,High - Projectile,,
l_yoga_blast_l,special,L Yoga Blast L,瑜伽爆炎（轻）,63214LK,12,12-21,44 total frames,D,-6,SA3,1000,,3000,-6000,-6000,1200,High,,
m_yoga_blast_m,special,M Yoga Blast M,瑜伽爆炎（中）,63214MK,15,15-24,44 total frames,D,-3,SA3,1200,,3000,-6000,-6000,1200,High,,
h_yoga_blast_h,special,H Yoga Blast H,瑜伽爆炎（重）,63214HK,17,17-26,44 total frames,D,-3,SA3,1200,Combo scaling 20％,3000,-6000,-6000,1200,High,,
od_yoga_blast,special,OD Yoga Blast,OD瑜伽爆炎,63214KK,12,12-21,41 total frames,D,0,SA2,1000,,0,-5000,-5000,1200,High,,
l_yoga_comet_during_a_jump_l,special,L Yoga Comet (During a jump) L,瑜伽彗星（轻）,J>63214LP,30,,8 frame(s) after landing,,,,800,,2000,-4000,-3000,1000,High - Projectile,,
m_yoga_comet_during_a_jump_m,special,M Yoga Comet (During a jump) M,瑜伽彗星（中）,J>63214MP,30,,8 frame(s) after landing,,,,800,,2000,-4000,-3000,1000,High - Projectile,,
h_yoga_comet_during_a_jump_h,special,H Yoga Comet (During a jump) H,瑜伽彗星（重）,J>63214HP,30,,8 frame(s) after landing,,,,800,,2000,-4000,-3000,1000,High - Projectile,,
od_yoga_comet_during_a_jump,special,OD Yoga Comet (During a jump),OD瑜伽彗星,J>63214PP,30,,3 frame(s) after landing,,,,1200,,0,-4000,-5000,1000,High - Projectile,Can perform moves from frame 50,第50帧开始可以行动
yoga_floatimmediately,special,Yoga Float(immediately),瑜伽漂浮（直）,2KK,,,35 total frames,,,,0,,0,0,0,0,,Considered airborne from frame 13 Can perform moves from frame 30,第13帧开始浮空，30帧开始可以行动
yoga_floatforward,special,Yoga Float(Forward),瑜伽漂浮（前）,3KK,,,35 total frames,,,,0,,0,0,0,0,,Considered airborne on frame 13 Can perform moves from frame 30,第13帧开始浮空，30帧开始可以行动
aerial_yoga_float_during_a_jump,special,Aerial Yoga Float (During a jump),空中瑜伽漂浮,J>2KK,,,15 total frames,,,,0,,0,0,0,0,,Can perform moves from frame 16,第16帧开始可以行动
p_yoga_teleport_forward,special,P Yoga Teleport (Forward),瑜伽瞬移P（前）,6PPP,,,39 total frames,,,,0,,0,0,0,0,,Completely invincible from frames 5 - 15,5-15帧无敌
k_yoga_teleport_forward,special,K Yoga Teleport (Forward),瑜伽瞬移K（前）,6KKK,,,39 total frames,,,,0,,0,0,0,0,,Completely invincible from frames 5 - 15,5-15帧无敌
p_aerial_yoga_teleport_forward_during_a_jump,special,P Aerial Yoga Teleport (Forward) (During a jump),空中瑜伽瞬移P(前),J>6PPP,,,29 total frames,,,,0,,0,0,0,0,,Completely invincible from frames 10 - 15 Can perform moves from frame 30,10-15帧无敌，30帧开始可以行动
k_aerial_yoga_teleport_forward_during_a_jump,special,K Aerial Yoga Teleport (Forward) (During a jump),空中瑜伽瞬移K（前）,J>6KKK,,,29 total frames,,,,0,,0,0,0,0,,Completely invincible from frames 10 - 15 Can perform moves from frame 30,10-15帧无敌，30帧开始可以行动
yoga_teleport_backward,special,Yoga Teleport (Backward),瑜伽瞬移（后）,4PPP/4KKK,,,46 total frames,,,,0,,0,0,0,0,,Completely invincible from frames 5 - 15,5-15帧无敌
p_aerial_yoga_teleport_backward_during_a_jump,special,P Aerial Yoga Teleport (Backward) (During a jump),空中瑜伽瞬移P（后）,J>4PPP,,,34 total frames,,,,0,,0,0,0,0,,Completely invincible from frames 10 - 15 Can perform moves from frame 35,5-15帧无敌，35帧可以开始行动
k_aerial_yoga_teleport_backward_during_a_jump,special,K Aerial Yoga Teleport (Backward) (During a jump),空中瑜伽瞬移K（后）,J>4KKK,,,34 total frames,,,,0,,0,0,0,0,,Completely invincible from frames 10 - 15 Can perform moves from frame 35,5-15帧无敌，35帧可以开始行动
sa1_l_yoga_inferno_l,super,SA1 L Yoga Inferno L,瑜伽炼狱（轻）,236236LP,10,10-93,128 total frames,D,-10,,1920,,0,5040,-5040,0,High - Projectile,Invincible to throws from frames 1 - 11 Minimum guaranteed damage is 30% Values do not change on counter or Punish Counter Deals 792 of recoverable damage on block,1-11帧打投无敌，保底修正30%，伤害不会随打康种类改变。被防造成792点白血伤害
sa1_m_yoga_inferno_m,super,SA1 M Yoga Inferno M,瑜伽炼狱（中）,236236MP,10,10-93,128 total frames,D,-10,,2100,,0,5040,-5040,0,High - Projectile,Invincible to throws from frames 1 - 11 Minimum guaranteed damage is 30% Values do not change on counter or Punish Counter Deals 792 of recoverable damage on block,1-11帧打投无敌，保底修正30%，伤害不会随打康种类改变。被防造成792点白血伤害
sa1_h_yoga_inferno_h,super,SA1 H Yoga Inferno H,瑜伽炼狱（重）,236236HP,10,10-93,133 total frames,D,-22,,2040,,0,5040,-5040,0,High - Projectile,Invincible to throws from frames 1 - 11 Minimum guaranteed damage is 30% Values do not change on counter or Punish Counter Deals 792 of recoverable damage on block,1-11帧打投无敌，保底修正30%，伤害不会随打康种类改变。被防造成792点白血伤害
sa2_yoga_sunburstlv1,super,SA2 Yoga Sunburst(Lv1),瑜伽日炙,214214K,7,,67 total frames,,,,2800,,0,-2500,-10000,0,High - Projectile,Completely invincible from frames 1 - 9 Minimum guaranteed damage is 40% Values do not change on counter or Punish Counter Level 1 activates if the button is released within 139 frames,1-9帧无敌，保底修正40%，伤害不会随打康种类改变。按键时长不足139f触发该版本
