id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch,站轻拳,5LP,4,4-6,7,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_light_kick_l,normal,Standing Light Kick,站轻脚,5LK,6,6-7,13,3,-3,,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch,站中拳,5MP,7,7-9,15,6,-1,C,600,,1500,-3000,-4000,500,High,,
standing_medium_kick_m,normal,Standing Medium Kick,站中脚,5MK,10,10-11,16,0,-5,C,600,,1500,-3000,-4000,700,High,4 frames of recovery added when the attack misses,攻击挥空时+4f收招
standing_heavy_punch_h,normal,Standing Heavy Punch,站重拳,5HP,10,10-13,18,5,-2,C,800,,2000,-5000,-8000,1000,High,Forces the opponent into a standing position Hold the button to transition into Psycho Knuckle Can be canceled into Kill Rush (Forward) while the button is held Changes to Level 1 version if the button is held for more than 30 frames and then released Changes to Level 2 version if the button is held for more than 60 frames,强制对手站立。按住按钮切换成精神力冲拳。蓄力时可以取消诛杀步（前方）。按住按钮30帧以上触发一段蓄力，60帧以上两段蓄力
standing_heavy_kick_h,normal,Standing Heavy Kick,站重脚,5HK,10,10-12,12,8,4,C,800,,3000,-6000,-10000,1000,High,,
crouching_light_punch_l,normal,Crouching Light Punch,下轻拳,2LP,4,4-6,10,3,-3,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick,下轻脚,2LK,5,5-6,12,2,-4,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
crouching_medium_punch_m,normal,Crouching Medium Punch,下中拳,2MP,8,8-10,19,2,-6,C,500,Starter scaling 20%,1000,-2000,-4000,500,Low,,
crouching_medium_kick_m,normal,Crouching Medium Kick,下中脚,2MK,9,9-10,16,8,-1,C,600,,1500,-3000,-4000,600,High,Forces the opponent into a standing position,强制对手站立
crouching_heavy_punch_h,normal,Crouching Heavy Punch,下重拳,2HP,10,10-13,24,D,-12,,900,,3000,-4000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown",确反康时强制倒地，并增加倒地时间
crouching_heavy_kick_h,normal,Crouching Heavy Kick,下重脚,2HK,12,12-13,17,1,-4,C,800,,2000,-4000,-8000,1000,High,,
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump),跳轻拳,J>LP,5,5-9,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump),跳轻脚,J>LK,8,8-10,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_medium_punch_during_a_jump_m,normal,Jumping Medium Punch (During a jump),跳中拳,J>MP,8,8-13,3 frame(s) after landing,,,,500,,1000,-2500,-4000,500,Mid,Has cross-up attack properties,有逆向判定
jumping_medium_kick_during_a_jump_m,normal,Jumping Medium Kick (During a jump),跳中脚,J>MK,10,10-11,3 frame(s) after landing,,,,700,,1000,-3000,-4000,500,Mid,,
jumping_heavy_punch_during_a_jump_h,normal,Jumping Heavy Punch (During a jump),跳重拳,J>HP,9,9-13,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Forces a slam knockdown on counter or Punish Counter when hitting a mid-air opponent,击中空中对手时造成砸地倒地。
jumping_heavy_kick_during_a_jump_h,normal,Jumping Heavy Kick (During a jump),跳重脚,J>HK,8,8-9,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Forces a juggle state when hitting a mid-air opponent,击中空中对手时造成浮空硬直。
psycho_knucklelv1_hold_h,normal,Psycho Knuckle(Lv1) Hold,精神力冲拳（一段蓄力）,5[HP],39,39-53,35,D,*-2,,800,Starter scaling 20%,3000,-6000,-10000,1000,High,Produces a crumple stun for 41 frames when the attack lands * +2 frames of advantage when blocked near the corner of the screen,击中对手时造成41帧崩防硬直。板边被防时+2f有利
psycho_knucklelv2_hold_h,normal,Psycho Knuckle(Lv2) Hold,精神力冲拳（二段蓄力）,5[HP],69,69-83,35,D,4,,1200,Starter scaling 20%,4000,-8000,-12000,1200,High,Produces a crumple stun for 41 frames when the attack lands Clashes with projectiles,击中对手时造成41帧崩防硬直。可以与抵消波动
cobra_punch_h,normal,Cobra Punch,眼睛蛇拳,6HP,17,17-19,21,1,-3,,900,,4000,-6000,-10000,1000,High,Feet are invincible between frames 7 - 19 Forces a slam knockdown when hitting a mid-air opponent,7-19帧脚部无敌，命中空中对手时造成砸地倒地
flicker_combination2_l_l,targetcombo,Flicker Combination(2),闪刺组合技（二段）,5LK>5LK,7,7-9,15,3,-3,,400,,500,-1000,-4000,400,High,,
