id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch,站轻拳,5LP,5,5-7,10,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_light_kick_l,normal,Standing Light Kick,站轻脚,5LK,4,4-5,9,5,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch,站中拳,5MP,10,10-13,13,6,1,C,700,,2000,-4000,-6000,500,High,2 frames of recovery added when the attack misses,攻击挥空时+2f收招
standing_medium_kick_m,normal,Standing Medium Kick,站中脚,5MK,10,10-13,16,4,-3,*,700,,1000,-2500,-4000,700,High,* Can be canceled into Hundred Hand Slap if Sumo Spirit is active,在相扑魂状态时可以取消百裂张手
standing_heavy_punch_h,normal,Standing Heavy Punch,站重拳,5HP,8,8-14,20,1,-6,C*,900,,2000,-5000,-8000,1000,High,Produces a crumple stun on Punish Counter if the opponent is standing on the ground Forces a juggle state on Punish Counter when hitting a mid-air opponent Can be canceled up until the 3rd active frame *Can be canceled by Hundred Hand Slap from frames 8 - 14 if Sumo Spirit is active,确反康击中地面对手时造成崩防硬直，击中空中对手造成浮空硬直，第三帧打击帧之前都可以取消。相扑魂状态下8-14帧可以取消百裂张手
standing_heavy_kick_h,normal,Standing Heavy Kick,站重脚,5HK,8,8-14,22,-1,-5,C,800,,3000,-4000,-10000,800,High,Forces the opponent into a standing position Forces a juggle state when hitting a mid-air opponent,强制对手站立，击中空中对手时造成浮空硬直
crouching_light_punch_l,normal,Crouching Light Punch,下轻拳,2LP,4,4-6,10,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以快速取消
crouching_light_kick_l,normal,Crouching Light Kick,下轻脚,2LK,5,5-6,9,3,-3,*,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled * Can be canceled into Hundred Hand Slap if Sumo Spirit is active,可以快速取消。相扑魂状态下可以取消百裂张手
crouching_medium_punch_m,normal,Crouching Medium Punch,下中拳,2MP,8,8-11,16,3,-3,C,600,,1500,-3000,-4000,500,High,,
crouching_medium_kick_m,normal,Crouching Medium Kick,下中脚,2MK,9,9-11,17,6,-2,*,500,Starter scaling 20%,2000,-4000,-6000,600,Low,* Can be canceled into Hundred Hand Slap if Sumo Spirit is active,相扑魂状态下可以取消百裂张手
crouching_heavy_punch_h,normal,Crouching Heavy Punch,下重拳,2HP,11,11-14,*17,3,-3,*,800,,3000,-6000,-10000,1000,High,Adds +2 frames of recovery on armor hit or if the attack misses * Can be canceled into Hundred Hand Slap if Sumo Spirit is active,收招挥空或打击到霸体时+2f收招。相扑魂状态下可以取消百裂张手
crouching_heavy_kick_h,normal,Crouching Heavy Kick,下重脚,2HK,11,11-24,14,D,-10,,900,,3000,-4000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown",确反康强制倒地，增加倒地时间
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump),跳轻拳,J>LP,5,5-10,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump),跳轻脚,J>LK,6,6-11,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_medium_punch_during_a_jump_m,normal,Jumping Medium Punch (During a jump),跳中拳,J>MP,6,6-13,3 frame(s) after landing,,,,700,,1000,-2500,-4000,500,Mid,Forces a juggle state when hitting a mid-air opponent,击中空中对手时造成浮空硬直
jumping_medium_kick_during_a_jump_m,normal,Jumping Medium Kick (During a jump),跳中脚,J>MK,9,9-14,3 frame(s) after landing,,,,700,,1000,-2500,-4000,500,Mid,,
jumping_heavy_punch_during_a_jump_h,normal,Jumping Heavy Punch (During a jump),跳重拳,J>HP,9,9-12,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Forces a slam knockdown on counter or Punish Counter when hitting a mid-air opponent,确反康击中空中对手时造成砸地倒地
jumping_heavy_kick_during_a_jump_h,normal,Jumping Heavy Kick (During a jump),跳重脚,J>HK,10,10-17,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,,
neutral_jumping_heavy_punch_during_a_neutral_jump_h,normal,Neutral Jumping Heavy Punch (During a neutral jump),直跳重拳,8>HP,10,10-17,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,,
harai_kick_h,normal,Harai Kick,横扫踢,6HK,14,14-16,21,1,-5,,900,,3000,-6000,-10000,1000,Low,Forces a juggle state on Punish Counter,确反康造成浮空硬直
power_stomp_h,normal,Power Stomp,相扑力足,3HK,22,22-27,18,3,-3,*,800,Combo scaling 20%,2000,-5000,-7000,1000,Mid,Produces a floor bound and hard knockdown when hitting a mid-air opponent * Can cancel into a special move or Super Art on frame 15 when the attack misses,击中空中对手时强制倒地且造成弹地效果。攻击挥空时可以在第15帧取消SA或者必杀
flying_sumo_press_during_a_forward_jump_m,normal,Flying Sumo Press (During a forward jump),相扑飞身压,9>2MK,11,11-19,3 frame(s) after landing,,,,500,,1000,-2500,-4000,500,Mid,Has cross-up attack properties,有逆向判定
double_slaps_l_m,targetcombo,Double Slaps,双联张手,5LP>5MP,4,4-7,20,D,-10,C,600,,1000,-3000,-4000,500,High,,
toko_shizume_m_h,targetcombo,Toko Shizume,地镇,5MP>3HP,22,22-27,18,3,-3,*,800,,2000,-5000,-7000,1000,Mid,"Produces a floor bound and hard knockdown when hitting a mid-air opponent * Can cancel into a special move or Super Art on frame 14 when the attack misses * Can only be canceled into Sumo Spirit on hit Classic controls: ↓+Punch, Modern controls: ↓+Attack",击中空中对手时强制倒地且造成弹地效果。攻击挥空时第14帧可以取消SA或者必杀。击中对手只能取消相扑魂（2P）
l_hundred_hand_slap_l,special,Hundred Hand Slap,百裂张手（轻）,214LP,12,12-31,14,2,-4,SA3,800,,2000,-3000,-5000,1000,High,Only the last hit can be canceled Forces a juggle state when hitting a mid-air opponent,只有最后一段攻击能被取消，击中空中对手时造成浮空硬直
sumo_spiritl_hundred_hand_slap_l,special,[Sumo Spirit]L Hundred Hand Slap,[相扑魂]百裂张手（轻）,214LP,12,12-31,14,4,-4,SA3,850,Combo scaling 20%,2000,-3000,-5000,1000,High,Only the last hit can be canceled Only transitions into the final hit if the 2nd hit connects Forces a juggle state when hitting a mid-air opponent,只有最后一段攻击能被取消，只有前两段攻击形成连招时才会触发后续攻击，击中空中对手时造成浮空硬直
m_hundred_hand_slap_m,special,Hundred Hand Slap,百裂张手（中）,214MP,18,18-49,17,2,-8,SA3,1000,,2000,-4000,-5000,1000,High,Only the last hit can be canceled Forces a juggle state when hitting a mid-air opponent,只有最后一段攻击能被取消，击中空中对手时造成浮空硬直
sumo_spiritm_hundred_hand_slap_m,special,[Sumo Spirit]M Hundred Hand Slap,[相扑魂]百裂张手（中）,214MP,18,18-49,17,4,-8,SA3,1050,Combo scaling 20%,2000,-4000,-5000,1000,High,Only the last hit can be canceled Only transitions into the final hit if the 5th hit connects Forces a juggle state when hitting a mid-air opponent,只有最后一段攻击能被取消，只有前五段攻击形成连招时才会触发后续攻击，击中空中对手时造成浮空硬直
h_hundred_hand_slap_h,special,Hundred Hand Slap,百裂张手（重）,214HP,21,21-64,17,2,-8,SA3,1200,,2000,-5000,-5000,1000,High,Only the last hit can be canceled Forces a juggle state when hitting a mid-air opponent,只有最后一段攻击能被取消，击中空中对手时造成浮空硬直
sumo_spirith_hundred_hand_slap_h,special,[Sumo Spirit]H Hundred Hand Slap,[相扑魂]百裂张手（重）,214HP,21,21-64,17,4,-8,SA3,1250,Combo scaling 20%,2000,-5000,-5000,1000,High,Only the last hit can be canceled Only transitions into the final hit if the 8th hit connects Forces a juggle state when hitting a mid-air opponent,只有最后一段攻击能被取消，只有前八段攻击形成连招时才会触发后续攻击，击中空中对手时造成浮空硬直
od_hundred_hand_slap,special,OD Hundred Hand Slap,OD百裂张手,214PP,19,19-61,12,4,-3,SA2,800,,0,-5000,-5000,1000,High,Only the last hit can be canceled Forces a juggle state when hitting a mid-air opponent,只有最后一段攻击能被取消，击中空中对手时造成浮空硬直
sumo_spiritod_hundred_hand_slap,special,[Sumo Spirit]OD Hundred Hand Slap,[相扑魂]OD百裂张手,214PP,19,19-61,12,6,-3,SA2,850,Combo scaling 10%,0,-5000,-5000,1000,High,Only the last hit can be canceled Only transitions into the final hit if the 5th hit connects Forces a juggle state when hitting a mid-air opponent,只有最后一段攻击能被取消，只有前五段攻击形成连招时才会触发后续攻击，击中空中对手时造成浮空硬直
l_sumo_headbutt_l,special,Sumo Headbutt,超级头槌（轻）,[4]6LP,10,10-31,20,D,-3,SA3,1400,Starter scaling 30%,2000,-6000,-12500,1000,High,Can be canceled until the 4th active frame Invincible against mid-air projectiles and strikes with mid-air hitboxes from frames 4 - 13 Considered airborne from frames 14 - 33 Does 1000 damage after the 5th active frame,第4帧之前可以取消，4-13帧对空无敌，14-33帧浮空，第5帧打击帧后造成1000点伤害
m_sumo_headbutt_m,special,Sumo Headbutt,超级头槌（中）,[4]6MP,10,10-33,20,D,-3,SA3,1400,Starter scaling 30%,2000,-6000,-12500,1000,High,Can be canceled until the 4th active frame Invincible against mid-air projectiles and strikes with mid-air hitboxes from frames 5 - 13 Considered airborne from frames 14 - 35 Does 1100 damage after the 5th active frame,第4帧之前可以取消，5-13帧对空无敌，14-35帧浮空，第5帧打击帧后造成1100点伤害
h_sumo_headbutt_h,special,Sumo Headbutt,超级头槌（重）,[4]6HP,14,14-36,20,D,-3,SA3,1500,Starter scaling 30%,2000,-7500,-12500,1000,High,"Can be canceled until the 4th active frame Invincible against mid-air projectiles and strikes with mid-air hitboxes from frames 6 - 16 Considered airborne from frames 18 - 40 Does 1300 damage after the 5th active frame If Honda and the opponent switch sides after the 19th frame, transitions into ending animation action",第4帧之前可以取消，第6-16帧对空无敌，18-40帧浮空，第5帧打击帧后造成1300点伤害。如果本田和对手在第19帧之后换边之后，结束动作
od_sumo_headbutt,special,OD Sumo Headbutt,OD超级头槌,[4]6PP,9,9-56,20,D,-20,,1600,,0,-8000,-3000,1000,High,"Super Armor for 2 hits from the 1st frame until the end of the active frames If Honda and the opponent switch sides after the 27th frame, transitions into ending animation action Considered airborne from frame 14 Always in Punish Counter state during execution.",打击帧结束之前有两段霸体，如果本天天和对手在第27帧之后换边，动作结束，第14帧开始浮空。动作时被命中为确反康
l_sumo_smash_l,special,Sumo Smash,超级百贯落（轻）,[2]8LK,11,11-48,17 frame(s) after landing,D,1,,1400,Starter scaling 25%,2000,-14000,-10000,1200,HighMid,"Has cross-up attack properties Considered airborne from frames 7 - 48 Produces a wall bounce only when the falling attack hits as a Punish Counter If the falling attack hits as a cross-up, damage is 800 Produces a hard knockdown when the falling attack part hits",有逆向判定，7-48帧浮空。只有确反康造成弹地效果。如果攻击为逆向，伤害为800，下落攻击击中对手时，强制倒地
m_sumo_smash_m,special,Sumo Smash,超级百贯落（中）,[2]8MK,11,11-45,17 frame(s) after landing,D,1,,1400,Starter scaling 25%,2000,-14000,-10000,1200,HighMid,"Has cross-up attack properties Considered airborne from frames 7 - 45 Produces a wall bounce only when the falling attack hits as a Punish Counter If the falling attack hits as a cross-up, damage is 800 Produces a hard knockdown when the falling attack part hits",有逆向判定，7-45帧浮空。只有确反康造成弹地效果。如果攻击为逆向，伤害为800，下落攻击击中对手时，强制倒地
h_sumo_smash_h,special,Sumo Smash,超级百贯落（重）,[2]8HK,11,11-42,17 frame(s) after landing,D,1,,1400,Starter scaling 25%,2000,-14000,-10000,1200,HighMid,"Has cross-up attack properties Considered airborne from frames 7 - 42 Produces a wall bounce only when the falling attack hits as a Punish Counter If the falling attack hits as a cross-up, damage is 800 Produces a hard knockdown when the falling attack part hits",有逆向判定，7-42帧浮空。只有确反康造成弹地效果。如果攻击为逆向，伤害为800，下落攻击击中对手时，强制倒地
od_sumo_smash,special,OD Sumo Smash,OD超级百贯落,[2]8KK,6,6-39,17 frame(s) after landing,D,2,,1400,Starter scaling 25%,0,-12000,-10000,1200,HighMid,"Has cross-up attack properties Invincible against mid-air projectiles and strikes with mid-air hitboxes from frames 5 - 17 Invincible to throws from frames 5 - 13 Considered airborne from frames 5 - 39 Produces a wall bounce only when the falling attack hits as a Punish Counter If the falling attack hits as a cross-up, damage is 800 Produces a hard knockdown when the falling attack part hits",有逆向判定，5-17帧对空无敌，5-13帧对投无敌，5-39帧浮空。只有确反康造成对手弹地，如果攻击为逆向，伤害为800，下落攻击击中对手时，强制倒地
l_oicho_throw_when_near_opponent_l,special,Oicho Throw (When near opponent),大银杏投（轻）,63214LK,6,6-9,52,D,,,2000,Immediate scaling 20％,2000,0,-10000,3000,Throw,Damage set to 2300 on Punish Counter,确反康伤害为2300
