id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch,站轻拳,5LP,5,5-8,8,4,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_light_kick_l,normal,Standing Light Kick,站轻脚,5LK,5,5-7,11,2,-4,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch,站中拳,5MP,8,8-12,15,3,-3,SA,600,,1500,-3000,-4000,500,High,Forces the opponent into a standing position on Punish Counter,确反康强制对手站立。
standing_medium_kick_m,normal,Standing Medium Kick,站中脚,5MK,6,6-9,13,5,1,C,500,,1000,-2000,-3000,500,High,2 frames of recovery added when the attack misses,攻击挥空时+2f收招
standing_heavy_punch_h,normal,Standing Heavy Punch,站重拳,5HP,12,12-15,20,2,-2,,800,,2000,-5000,-8000,1000,High,Forces the opponent into a standing position Forces a juggle state on Punish Counter,强制对手站立，确反康造成浮空硬直
standing_heavy_kick_h,normal,Standing Heavy Kick,站重脚,5HK,12,12-15,19,2,-4,,900,,3000,-6000,-10000,1000,High,"Feet are invincible between frames 9 - 17 Forces a juggle state on Punish Counter, or when it hits as a mid-air Counter or Punish Counter Juggle state time is extended when attack hits a mid-air opponent as a Punish Counter",9-17帧脚部无敌，确反康造成浮空硬直。确反康击中空中对手时造成对手浮空时间增加
crouching_light_punch_l,normal,Crouching Light Punch,下轻拳,2LP,4,4-6,8,5,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick,下轻脚,2LK,5,5-7,8,3,-1,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch,下中拳,2MP,8,8-10,20,1,-4,C,600,,1000,-3000,-4000,600,High,,
crouching_medium_kick_m,normal,Crouching Medium Kick,下中脚,2MK,9,9-11,18,4,-4,,600,Starter scaling 20%,1000,-3000,-4000,600,Low,2 frames of recovery subtracted on hit,命中对手-2f收招
crouching_heavy_punch_h,normal,Crouching Heavy Punch,下重拳,2HP,9,9-18,20,6,-7,C,800,Starter scaling 20%,4000,-5000,-8000,1000,High,Forces the opponent into a standing position,强制对手站立
crouching_heavy_kick_h,normal,Crouching Heavy Kick,下重脚,2HK,11,11-13,24,D,-12,,900,,3000,-4000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown",确反康强制倒地，倒地时间增加
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump),跳轻拳,J>LP,5,5-10,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,Has cross-up attack properties,有逆向判定
