id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch L,站轻拳,5LP,5,5-6,7,5,0,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_light_kick_l,normal,Standing Light Kick L,站轻脚,5LK,5,5-6,11,3,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_medium_punch_m,normal,Standing Medium Punch M,站中拳,5MP,8,8-11,14,6,2,,600,,2000,-4000,-6000,500,High,,
standing_medium_kick_m,normal,Standing Medium Kick M,站中脚,5MK,9,9-11,17,2,-3,C,600,,1500,-3000,-4000,700,High,1 frames of recovery added when the attack misses,攻击挥空+1f收招
standing_heavy_punch_h,normal,Standing Heavy Punch H,站重拳,5HP,5,5-14,20,1,-3,C,900,,2000,-5000,-8000,1600,High,Can be canceled until the 1st active frame Forces a juggle state when hitting a mid-air opponent,知道第一帧打击帧之前都可以取消，击中空中对手造成浮空硬直
standing_heavy_kick_h,normal,Standing Heavy Kick H,站重脚,5HK,15,15-17,21,3,-5,C,800,,3000,-4000,-10000,1000,High,Produces a crumple stun on Punish Counter Forces a juggle state when hitting a mid-air opponent,确反康造成崩防硬直，击中空中对手造成浮空硬直
crouching_light_punch_l,normal,Crouching Light Punch L,下轻拳,2LP,4,4-5,9,5,-1,C,250,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以快速取消
crouching_light_kick_l,normal,Crouching Light Kick L,下轻脚,2LK,5,5-6,11,1,-3,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以快速取消
crouching_medium_punch_m,normal,Crouching Medium Punch M,下中拳,2MP,6,6-8,13,5,-1,C,600,,1500,-3000,-4000,500,High,2 frames of recovery added when the attack misses,攻击挥空+2f收招
crouching_medium_kick_m,normal,Crouching Medium Kick M,下中脚,2MK,7,7-9,18,-1,-6,C,500,Starter scaling 20%,1000,-2000,-4000,600,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch H,下重拳,2HP,8,8-12,23,0,-8,C,900,,2500,-5000,-7000,1000,High,Forces the opponent into a standing position Can be canceled until the 2nd active frame,强制对手站立，第二帧打击帧之前可以取消
