id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch,站轻拳,5LP,6,6-8,10,4,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_light_kick_l,normal,Standing Light Kick,站轻脚,5LK,5,5-7,11,3,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch,站中拳,5MP,12,12-14,21,1,-6,,700,,3000,-4000,-6000,500,High,,
standing_medium_kick_m,normal,Standing Medium Kick,站中脚,5MK,8,8-10,19,3,-3,C,600,,1500,-3000,-4000,500,High,,
standing_heavy_punch_h,normal,Standing Heavy Punch,站重拳,5HP,12,12-13,22,3,-3,C,800,Starter scaling 20%,2000,-5000,-8000,1000,High,Forces a juggle state when hitting a mid-air opponent Adds +25 frames of advantage on a Punish Counter,命中空中对手时造成浮空硬直，确反康+25f有利
standing_heavy_kick_h,normal,Standing Heavy Kick,站重脚,5HK,12,12-15,17,7,2,,800,,3000,-6000,-10000,1000,High,,
crouching_light_punch_l,normal,Crouching Light Punch,下轻拳,2LP,4,4-5,11,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick,下轻脚,2LK,6,6-7,10,2,-2,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可与连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch,下中拳,2MP,7,7-10,14,6,-2,C,600,,1500,-3000,-4000,500,High,,
crouching_medium_kick_m,normal,Crouching Medium Kick,下中脚,2MK,9,9-11,17,3,-3,,700,Starter scaling 20%,2000,-4000,-6000,500,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch,下重拳,2HP,9,9-14,20,1,-6,C,800,,2000,-5000,-8000,1000,High,Forces the opponent into a standing position,强制对手站立
