id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch,站轻拳,5LP,4,4-7,7,5,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
chain_combostanding_light_punch_l,normal,[Chain combo]Standing Light Punch,站轻拳（风水连段中）,5LP,4,4-7,7,5,-2,C,100,Starter scaling 20%,62,-125,-500,0,High,Can be rapid canceled Forces a juggle state when hitting a mid-air opponent,可以连击取消，命中空中对手时造成浮空硬直
standing_light_kick_l,normal,Standing Light Kick,站轻脚,5LK,5,5-7,9,2,-3,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
chain_combostanding_light_kick_l,normal,[Chain combo]Standing Light Kick,站轻脚（风水连段中）,5LK,5,5-7,9,2,-3,C,100,Starter scaling 20%,62,-125,-500,0,High,Forces a juggle state when hitting a mid-air opponent,命中空中对手时造成浮空硬直
standing_medium_punch_m,normal,Standing Medium Punch,站中拳,5MP,6,6-9,12,7,2,C,600,,1500,-3000,-4000,500,High,,
chain_combostanding_medium_punch_m,normal,[Chain combo]Standing Medium Punch,站中拳（风水连段中）,5MP,6,6-9,12,7,2,C,400,,375,-750,-1000,0,High,Forces a juggle state when hitting a mid-air opponent,命中空中对手时造成浮空硬直
standing_medium_kick_m,normal,Standing Medium Kick,站中脚,5MK,5,5-10,17,3,-4,C,700,,2000,-4000,-6000,1050,High,,
chain_combostanding_medium_kick_m,normal,[Chain combo]Standing Medium Kick,站中脚（风水连段中）,5MK,5,5-10,17,3,-4,C,500,,500,-1000,-1500,0,High,Forces a juggle state when hitting a mid-air opponent,命中空中对手时造成浮空硬直
standing_heavy_punch_h,normal,Standing Heavy Punch,站重拳,5HP,10,10-12,24,-1,-5,C,800,,2000,-5000,-8000,1000,High,Forces the opponent into a standing position,强制对手站立
chain_combostanding_heavy_punch_h,normal,[Chain combo]Standing Heavy Punch,站重拳（风水连段中）,5HP,10,10-12,24,D,-5,C,600,,500,-1250,-2000,0,High,,
standing_heavy_kick_h,normal,Standing Heavy Kick,站重脚,5HK,17,17-20,19,2,-3,,900,Starter scaling 20%,4000,-6000,-10000,1000,High,"Forces a juggle state knockdown on Punish Counter, or when it hits as a mid-air Counter or Punish Counter Juggle state time is extended when attack hits a mid-air opponent as a Punish Counter",确反康命中对手或者打康或确反康命中空中对手时造成浮空硬直，确反康命中空中对手时浮空时间增加
chain_combostanding_heavy_kick_h,normal,[Chain combo]Standing Heavy Kick,站重脚（风水连段中）,5HK,17,17-20,19,D,-3,C,700,Starter scaling 20%,1000,-1500,-2500,0,High,,
