id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch,站轻拳,5LP,4,4-6,7,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_light_kick_l,normal,Standing Light Kick,站轻脚,5LK,5,5-6,12,0,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch,站中拳,5MP,5,5-8,14,4,-2,C,600,,1500,-3000,-4000,500,High,,
standing_medium_kick_m,normal,Standing Medium Kick,站中脚,5MK,8,8-10,20,3,-5,,600,Starter scaling 20%,2000,-4000,-6000,700,High,,
standing_heavy_punch_h,normal,Standing Heavy Punch,站重拳,5HP,10,10-14,17,3,-2,C,800,,2000,-5000,-8000,1000,High,,
standing_heavy_kick_h,normal,Standing Heavy Kick,站重脚,5HK,12,12-13,*23,1,-5,,800,Starter scaling 30%,3000,-6000,-8000,1000,High,* 2 frames of recovery added on armor hit or if the attack misses Forces a spinning knockdown on Punish Counter,击中霸体或攻击挥空+2f，确反康造成旋转倒地
crouching_light_punch_l,normal,Crouching Light Punch,下轻拳,2LP,4,4-5,9,5,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick,下轻脚,2LK,5,5-7,10,1,-3,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch,下中拳,2MP,6,6-8,14,3,0,C,700,,1500,-3000,-4000,600,High,2 frames of recovery added when the attack misses,攻击挥空+2f收招
crouching_medium_kick_m,normal,Crouching Medium Kick,下中脚,2MK,7,7-9,19,-2,-6,C,500,Starter scaling 20%,1000,-2000,-4000,600,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch,下重拳,2HP,8,8-11,24,3,-10,C,800,,2000,-5000,-8000,1000,High,Forces the opponent into a standing position Can be canceled until the 2nd active frame,强制对手站立，第二帧打击帧前可以取消
crouching_heavy_kick_h,normal,Crouching Heavy Kick,下重脚,2HK,8,8-10,*24,D,-10,,900,,3000,-4000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown * 1 frame of recovery added when blocked",确反康强制倒地，并演唱倒地时间。打防+1f收招
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump),跳轻拳,J>LP,5,5-11,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump),跳轻脚,J>LK,6,6-11,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,Has cross-up attack properties,有逆向判定
jumping_medium_punch_during_a_jump_m,normal,Jumping Medium Punch (During a jump),跳中拳,J>MP,6,6-9,3 frame(s) after landing,,,C,700,,1000,-2500,-4000,500,Mid,Forces a juggle state when hitting a mid-air opponent,击中空中对手造成浮空硬直
jumping_medium_kick_during_a_jump_m,normal,Jumping Medium Kick (During a jump),跳中脚,J>MK,7,7-12,3 frame(s) after landing,,,,500,,1000,-2500,-4000,500,Mid,Has cross-up attack properties,有逆向判定
jumping_heavy_punch_during_a_jump_h,normal,Jumping Heavy Punch (During a jump),跳重拳,J>HP,9,9-14,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Forces a slam knockdown on counter or Punish Counter,打康或确反康造成砸地倒地
jumping_heavy_kick_during_a_jump_h,normal,Jumping Heavy Kick (During a jump),跳重脚,J>HK,10,10-16,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,,
neutral_jumping_heavy_kick_during_a_neutral_jump_h,normal,Neutral Jumping Heavy Kick (During a neutral jump),直跳重脚,8>HK,6,6-11,3 frame(s) after landing,,,,900,,2000,-4000,-5000,1000,Mid,,
quick_dash,special,Quick Dash,奋迅腿,KK,,,45 total frames,,,,0,,0,0,0,0,,Can transition to branching attacks from frame 12,12帧派生
emergency_stop_during_quick_dash_l,special,Emergency Stop (During Quick Dash),急停,KK>LK,,,16 total frames,,,,0,,0,0,0,0,,,
