id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch L,站轻拳,5LP,5,5-6,8,5,-2,C,270,Starter scaling 20%,250,-500,-2000,300,High,,
standing_light_kick_l,normal,Standing Light Kick L,站轻脚,5LK,5,5-7,11,1,-3,C,270,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch M,站中拳,5MP,6,6-8,18,3,-2,C,540,,1000,-2000,-4000,500,High,,
standing_medium_kick_m,normal,Standing Medium Kick M,站中脚,5MK,8,8-10,18,1,-4,C,540,Starter scaling 15%,1000,-2000,-4000,700,High,,
standing_heavy_punch_h,normal,Standing Heavy Punch H,站重拳,5HP,9,9-11,20,3,-4,C,630,,2000,-5000,-10000,1000,High,Add +23 frames of advantage on Punish Counter,确反康+23帧有利
standing_heavy_kick_h,normal,Standing Heavy Kick H,站重脚,5HK,12,12-15,17,7,2,,630,,2500,-5000,-10000,1000,High,,
crouching_light_punch_l,normal,Crouching Light Punch L,下轻拳,2LP,4,4-6,7,4,-1,C,270,Starter scaling 20%,250,-500,-2000,300,High,,
crouching_light_kick_l,normal,Crouching Light Kick L,下轻脚,2LK,5,5-7,7,4,-2,,180,Starter scaling 20%,250,-500,-2000,300,Low,,
crouching_medium_punch_m,normal,Crouching Medium Punch M,下中拳,2MP,6,6-8,13,7,-1,C,500,,1200,-2500,-5000,600,High,2 frames of recovery added when the attack misses,攻击挥空+2f收招
crouching_medium_kick_m,normal,Crouching Medium Kick M,下中脚,2MK,7,7-9,16,5,1,,540,Starter scaling 20%,1200,-2500,-5000,600,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch H,下重拳,2HP,8,8-13,17,3,-2,C,720,,2500,-5000,-10000,1000,High,Forces the opponent into a standing position,强制对手站立
crouching_heavy_kick_h,normal,Crouching Heavy Kick H,下重脚,2HK,8,8-10,24,D,-10,,810,,2500,-5000,-10000,1200,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown",确反康强制倒地，倒地时间增加
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump) L,跳轻拳,J>LP,4,4-13,3 frame(s) after landing,,,,270,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump) L,跳轻脚,J>LK,5,5-14,3 frame(s) after landing,,,,270,,500,-1500,-2000,300,Mid,Has cross-up attack properties,有逆向判定
jumping_medium_punch_during_a_jump_m,normal,Jumping Medium Punch (During a jump) M,跳中拳,J>MP,6,6-9,3 frame(s) after landing,,,C,450,,1000,-2500,-5000,500,Mid,Forces a juggle state when hitting a mid-air opponent,命中空中对手造成浮空硬直
jumping_medium_kick_during_a_jump_m,normal,Jumping Medium Kick (During a jump) M,跳中脚,J>MK,7,7-12,3 frame(s) after landing,,,,540,,1000,-2500,-4000,500,Mid,Has cross-up attack properties,有逆向判定
jumping_heavy_punch_during_a_jump_h,normal,Jumping Heavy Punch (During a jump) H,跳重拳,J>HP,8,8-12,3 frame(s) after landing,,,,630,,2000,-4000,-5000,1000,Mid,,
jumping_heavy_kick_during_a_jump_h,normal,Jumping Heavy Kick (During a jump) H,跳重脚,J>HK,9,9-14,3 frame(s) after landing,,,,630,,2000,-4000,-5000,1000,Mid,,
water_slicer_slide_m,normal,Water Slicer Slide M,水漂腿,3MK,11,11-20,16,1,-5,,450,Starter scaling 15%,1000,-2000,-4000,500,Low,Knockdown on Punish Counter if it hits between active frames 1-4,打击帧第1-4帧确反康击中对手造成倒地
windmill_kick_h,normal,Windmill Kick H,风车踢,4HK,22,22-23,19,4,-3,,720,Starter scaling 25%,2500,-5000,-10000,1000,Mid,Forces opponent to crouch on hit,强制对手下蹲
hisen_kick_h,normal,Hisen Kick H,飞箭踢,6HK,27,27-29,*21,1,-3,,720,Starter scaling 20%,3000,-4000,-7000,800,High,Considered airborne from frames 18 - 32 Forces a juggle state when hitting a mid-air opponent * Recovery is reduced by 8 frames when blocked,18-32帧浮空。命中空中对手造成浮空硬直崩防+8帧收招
step_up_after_hisen_kick,normal,Step Up (After Hisen Kick),藩篱越,4HK>7/8/9,,,3 frame(s) after landing,-10,-22,,0,,0,0,0,0,,,
