id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch L,站轻拳,5LP,5,5-7,8,6,-1,C,350,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_light_kick_l,normal,Standing Light Kick L,站轻脚,5LK,4,4-6,8,5,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_medium_punch_m,normal,Standing Medium Punch M,站中拳,5MP,9,9-12,17,1,-4,,800,,3000,-4000,-6000,500,High,,
standing_medium_kick_m,normal,Standing Medium Kick M,站中脚,5MK,7,7-9,15,2,-1,C,600,,1500,-3000,-4000,700,High,,
standing_heavy_punch_h,normal,Standing Heavy Punch H,站重拳,5HP,11,11-13,22,0,-5,C,900,,2000,-5000,-8000,1000,High,Produces a crumple stun on Punish Counter if the opponent is standing on the ground Forces a juggle state on Punish Counter when hitting a mid-air opponent,确反康命中地面对手造成崩防硬直，确反康命中空中对手造成浮空硬直
standing_heavy_kick_h,normal,Standing Heavy Kick H,站重脚,5HK,14,14-17,21,1,-5,,1000,,3000,-6000,-10000,1000,High,Forces a juggle state on Punish Counter,确反康造成浮空硬直
crouching_light_punch_l,normal,Crouching Light Punch L,下轻拳,2LP,6,6-8,8,6,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick L,下轻脚,2LK,5,5-6,12,2,-2,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch M,下中拳,2MP,8,8-10,18,1,-3,SA,700,,2000,-4000,-6000,500,High,,
crouching_medium_kick_m,normal,Crouching Medium Kick M,下中脚,2MK,9,9-11,18,1,-5,C,500,Starter scaling 20%,1000,-2000,-4000,600,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch H,下重拳,2HP,10,10-15,22,0,-2,C,1000,,2000,-5000,-8000,1000,High,Forces a juggle state on counter or Punish Counter when hitting a mid-air opponent,确反康命中空中对手造成浮空硬直
crouching_heavy_kick_h,normal,Crouching Heavy Kick H,下重脚,2HK,11,11-20,24,D,-12,,900,,3000,-4000,-10000,1000,*Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown *Second attack is considered a high attack only when the first attack is blocked",确反康强制倒地，延长倒地时间，第二段攻击只有当第一段攻击被防时为上段
