id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch L,站轻拳,5LP,7,7-8,*11,2,-3,C,300,Starter scaling 20%,250,-500,-2000,300,High,* 3 frames of recovery added when the attack misses,攻击挥空时+3f收招
standing_light_kick_l,normal,Standing Light Kick L,站轻脚,5LK,5,5-6,12,3,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch M,站中拳,5MP,9,9-12,16,2,-3,SA,600,,1500,-3000,-4000,500,High,,
standing_medium_kick_m,normal,Standing Medium Kick M,站中脚,5MK,8,8-10,*16,1,-3,,700,,2000,-4000,-6000,700,High,* 3 frames of recovery added when the attack misses,攻击挥空时+3f收招
standing_heavy_punch_h,normal,Standing Heavy Punch H,站重拳,5HP,10,10-12,23,1,-6,C,800,,2000,-5000,-8000,1000,High,,
standing_heavy_kick_h,normal,Standing Heavy Kick H,站重脚,5HK,10,10-16,16,2,-5,,900,,4000,-6000,-10000,1000,High,Forces a juggle state when hitting a mid-air opponent Forces a juggle state when the attack lands as a Punish Counter. Feet are Invincible from frame 8 to frame 15.,命中空中对手造成浮空硬直，确反康造成浮空硬直，8-15帧脚部无敌
crouching_light_punch_l,normal,Crouching Light Punch L,下轻拳,2LP,4,4-5,10,4,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick L,下轻脚,2LK,5,5-7,11,0,-3,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch M,下中拳,2MP,6,6-7,*14,5,1,C,600,Starter scaling 15%,1500,-3000,-4000,500,High,* 3 frames of recovery added when the attack misses,攻击挥空+3f收招
crouching_medium_kick_m,normal,Crouching Medium Kick M,下中脚,2MK,8,8-10,19,-2,-6,C,500,Starter scaling 20%,1000,-2000,-4000,600,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch H,下重拳,2HP,7,7-11,24,1,-13,C,800,Combo scaling 15%,2000,-5000,-8000,1000,High,Forces the opponent into a standing position This move can be canceled until the 1st active frame.,强制对手站立，第一帧打击帧之前动作可以被取消
crouching_heavy_kick_h,normal,Crouching Heavy Kick H,下重脚,2HK,10,10-12,24,D,-9,,900,,3000,-4000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown",确反康强制倒地，延长倒地时间
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump) L,跳轻拳,J>LP,5,5-13,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump) L,跳轻脚,J>LK,6,6-11,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,Has cross-up attack properties,有逆向判定
jumping_medium_punch_during_a_jump_m,normal,Jumping Medium Punch (During a jump) M,跳中拳,J>MP,9,9-12,3 frame(s) after landing,,,C,700,,1000,-3000,-4000,500,Mid,Forces a juggle state when hitting a mid-air opponent,命中空中对手时造成浮空硬直
jumping_medium_kick_during_a_jump_m,normal,Jumping Medium Kick (During a jump) M,跳中脚,J>MK,7,7-12,3 frame(s) after landing,,,,500,,1000,-2500,-4000,500,Mid,Has cross-up attack properties,有逆向判定
jumping_heavy_punch_during_a_jump_h,normal,Jumping Heavy Punch (During a jump) H,跳重拳,J>HP,9,9-14,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Forces a slam knockdown on counter or Punish Counter when hitting a mid-air opponent,打康或确反康命中空中对手时造成砸地倒地
jumping_heavy_kick_during_a_jump_h,normal,Jumping Heavy Kick (During a jump) H,跳重脚,J>HK,10,10-15,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,,
rawhide_m,normal,Rawhide M,生皮鞭,6MP,21,21-22,21,2,-3,,600,,1500,-2500,-5000,500,Mid,Forces a slam knockdown when hitting a mid-air opponent,命中空中对手时造成砸地倒地
suppressor_h,normal,Suppressor H,消音器,4HP,16,16-18,20,3,-3,C,800,,3000,-6000,-10000,1000,High,,
outlaw_kick_h,normal,Outlaw Kick H,亡命踢,4HK,12,12-15,24,4,-3,,1000,,3000,-6000,-10000,1000,High,17 frames of advantage added when the attack lands as a Punish Counter. Forces a juggle state when hitting a mid-air opponent,确反康+17f有利，命中空中对手造成浮空硬直
