id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch,站轻拳,5LP,4,4-6,7,5,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_light_kick_l,normal,Standing Light Kick,站轻脚,5LK,4,4-6,8,1,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch,站中拳,5MP,8,8-11,15,2,-3,C,600,,1500,-3000,-4000,600,High,,
standing_medium_kick_m,normal,Standing Medium Kick,站中脚,5MK,9,9-11,18,5,-4,,700,,1500,-3000,-4000,700,High,,
standing_heavy_punch_h,normal,Standing Heavy Punch,站重拳,5HP,9,9-11,21,1,-3,C,800,,2000,-4000,-8000,800,High,,
standing_heavy_kick_h,normal,Standing Heavy Kick,站重脚,5HK,14,14-16,19,3,-3,,900,Starter scaling 20%,4000,-6000,-10000,1000,High,"3 frames of recovery added when the attack misses Produces a crumple stun on Punish Counter, and +22 frame advantage","当攻击挥空时收招+3f,打到确反康后会造成对手倒地，倒地前+22f防御硬直"
crouching_light_punch_l,normal,Crouching Light Punch,下轻拳,2LP,4,4-6,7,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick,下轻脚,2LK,5,5-7,8,2,-2,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch,下中拳,2MP,6,6-9,15,5,-3,C,600,,1500,-3000,-4000,600,High,2 frames of recovery added when the attack misses,攻击挥空时收招+2f
crouching_medium_kick_m,normal,Crouching Medium Kick,下中脚,2MK,7,7-9,19,-2,-6,C,500,Starter scaling 20%,1000,-2000,-4000,500,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch,下重拳,2HP,10,"10-11, 20-22",19,4,-3,,800,,2000,-5000,-8000,1000,High,,
crouching_heavy_kick_h,normal,Crouching Heavy Kick,下重脚,2HK,9,9-11,22,D,-11,,900,,3000,-4000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown 3 frames of recovery added when the attack misses 1 frame of recovery added when blocked",打出确反康之后对手倒地时间增加，并且变成强制倒地。攻击挥空时收招+3f，攻击被防时收招+1f
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump),跳轻拳,J>LP,4,4-12,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
