id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch,站轻拳,5LP,4,4-6,10,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_light_kick_l,normal,Standing Light Kick,站轻脚,5LK,5,5-6,12,2,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch,站中拳,5MP,7,7-10,15,2,-2,C,600,,1500,-3000,-4000,500,High,,
standing_medium_kick_m,normal,Standing Medium Kick,站中脚,5MK,10,10-12,18,-2,-5,C,600,,1500,-3000,-4000,700,High,,
standing_heavy_punch_h,normal,Standing Heavy Punch,站重拳,5HP,10,10-13,20,0,-3,SA,800,,3000,-6000,-10000,1000,High,Forces a juggle state when hitting a mid-air opponent,命中空中对手时造成浮空硬直
standing_heavy_kick_h,normal,Standing Heavy Kick,站重脚,5HK,15,15-17,26,※1,-6,,900,,3000,-6000,-10000,1000,High,* Adds +17 frames of advantage on a standing opponent during a Punish Counter Forces a juggle state when hitting a mid-air opponent for a Punish Counter,确反康命中站立对手+17f有利，确反康命中空中对手造成堵孔硬直
crouching_light_punch_l,normal,Crouching Light Punch,下轻拳,2LP,4,4-5,11,3,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick,下轻脚,2LK,5,5-6,13,-1,-3,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch,下中拳,2MP,7,7-9,11,6,-1,C,600,,1500,-3000,-4000,500,High,4 frames of recovery added when the attack misses,攻击挥空+4f收招
crouching_medium_kick_m,normal,Crouching Medium Kick,下中脚,2MK,8,8-11,16,3,-2,,600,Starter scaling 20%,2000,-4000,-6000,600,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch,下重拳,2HP,10,10-14,21,-2,-8,,600,,3000,-6000,-10000,1000,High,,
crouching_heavy_kick_h,normal,Crouching Heavy Kick,下重脚,2HK,11,11-12,27,D,-12,,900,,3000,-4000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown",确反康强制倒地，延长倒地时间
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump),跳轻拳,J>LP,5,5-14,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump),跳轻脚,J>LK,6,6-14,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,Has cross-up attack properties,有逆向判定
jumping_medium_punch_during_a_jump_m,normal,Jumping Medium Punch (During a jump),跳中拳,J>MP,8,8-11,3 frame(s) after landing,,,,700,,1000,-2500,-4000,500,Mid,Forces a juggle state when hitting a mid-air opponent,命中空中对手造成浮空硬直
jumping_medium_kick_during_a_jump_m,normal,Jumping Medium Kick (During a jump),跳中脚,J>MK,7,7-12,3 frame(s) after landing,,,,500,,1000,-2500,-4000,500,Mid,Has cross-up attack properties,有逆向判定
jumping_heavy_punch_during_a_jump_h,normal,Jumping Heavy Punch (During a jump),跳重拳,J>HP,9,9-12,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Forces a slam knockdown when hitting a mid-air opponent,命中空中对手造成砸地倒地
jumping_heavy_kick_during_a_jump_h,normal,Jumping Heavy Kick (During a jump),跳重脚,J>HK,11,11-15,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,,
rvrence_h,normal,Révérence,屈膝礼,4HP,8,8-13,17,3,1,C,800,,2000,-5000,-8000,1000,High,Forces a juggle state when hitting a mid-air opponent,命中空中对手造成浮空硬直
tomoe_derrire_h,normal,Tomoe Derrière,巴后位,3HK,11,11-19,32,26,-23,,1000,,3000,-6000,-10000,500,High,juggle state changes when attack lands as a Punish Counter on a grounded opponent Forces a juggle state when the attack lands as a Punish Counter on a mid-air opponent,确反康命中地面对手造成浮空硬直（性质改变），确反康命中空中对手造成浮空硬直
terre_m_m,targetcombo,À Terre,地面动作,5MP>5MP,10,10-11,17,2,-5,,500,,2500,-2500,-4000,700,High,Knockdown when standing medium punch lands as a Punish Counter.,当站中拳确反康命中时造成倒地
en_haut1_m,normal,En Haut(1),高位舞步（一段）,4MK,10,10-13,19,-1,-3,,600,,2000,-4000,-4000,700,High,Forces a juggle state when hitting a mid-air opponent,命中空中对手造成浮空硬直
en_haut2_m_m,tragetcombo,En Haut(2),高位舞步（二段）,4MK>5MK,14,14-18,21,-3,-11,C,500,,1000,-2500,-4000,700,Mid,Adds a floor bounding effect during a mid-air hit,命中空中对手造成弹地
