id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch,站轻拳,5LP,5,5-6,11,4,-3,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_light_kick_l,normal,Standing Light Kick,站轻脚,5LK,4,4-5,10,3,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch,站中拳,5MP,8,8-10,15,6,0,C,600,,1500,-3000,-4000,500,High,,
standing_medium_kick_m,normal,Standing Medium Kick,站中脚,5MK,10,10-12,17,2,-3,,700,,2000,-4000,-6000,700,High,,
standing_heavy_punch_h,normal,Standing Heavy Punch,站重拳,5HP,19,19-21,17,4,1,SA,1000,Starter scaling 20%,2000,-5000,-10000,1000,High,3 frames of recovery added on armor hit or if the attack misses Adds a floor bounding effect during a mid-air hit 17 frames of advantage added when the attack lands as a Punish Counter,攻击命中霸体或挥空+3f收招。命中空中对手增加弹地效果，确反康+17f有利
standing_heavy_kick_h,normal,Standing Heavy Kick,站重脚,5HK,13,13-16,19,6,-2,,900,,3000,-5000,-10000,1000,High,Forces a juggle state when hitting a mid-air opponent Produces a crumple stun for 32 frames when the attack lands as a Punish Counter Juggle state time is extended when attack hits a mid-air opponent as a Punish Counter,命中空中对手时造成浮空硬直，确反康造成32帧崩防硬直，确反康命中空中对手造成浮空硬直
crouching_light_punch_l,normal,Crouching Light Punch,下轻拳,2LP,4,4-5,10,4,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick,下轻脚,2LK,5,5-6,10,4,-2,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch,下中拳,2MP,6,6-8,14,5,-1,C,600,,1500,-3000,-4000,500,High,* 3 frames of recovery added when the attack misses,攻击挥空+3f收招
crouching_medium_kick_m,normal,Crouching Medium Kick,下中脚,2MK,8,8-10,19,-2,-6,C,500,Starter scaling 20%,1000,-2000,-4000,500,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch,下重拳,2HP,10,10-15,21,0,-9,C,900,,2000,-5000,-8000,1000,High,Forces the opponent into a standing position Forces a juggle state when hitting a mid-air opponent on counter or Punish Counter,强制对手站立。打康或确反康命中空中对手时造成浮空硬直
