id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch L,站轻拳,5LP,4,4-5,9,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连打取消
standing_light_kick_l,normal,Standing Light Kick L,站轻脚,5LK,4,4-6,10,3,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch M,站中拳,5MP,6,6-8,14,5,1,C,600,,1500,-3000,-4000,500,High,,
standing_medium_kick_m,normal,Standing Medium Kick M,站中脚,5MK,8,8-10,17,6,-3,,600,,2000,-4000,-6000,700,High,2 frames of recovery added when the attack misses,攻击挥空+2f收招
standing_heavy_punch_h,normal,Standing Heavy Punch H,站重拳,5HP,9,9-11,21,1,-4,C,800,,2000,-5000,-8000,1000,High,,
standing_heavy_kick_h,normal,Standing Heavy Kick H,站重脚,5HK,13,13-20,18,-1,-5,,800,,4000,-6000,-10000,1000,High,Forces the opponent into a standing position Forces a juggle state when hitting a mid-air opponent Forces a juggle state when the attack lands as a Punish Counter,强制对手站立，命中空中对手造成浮空硬直，确反康命中对手造成浮空硬直。
crouching_light_punch_l,normal,Crouching Light Punch L,下轻拳,2LP,5,5-7,7,5,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick L,下轻脚,2LK,5,5-7,8,3,-1,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch M,下中拳,2MP,6,6-9,13,4,1,C,600,,1500,-3000,-4000,500,High,,
crouching_medium_kick_m,normal,Crouching Medium Kick M,下中脚,2MK,7,7-9,18,-1,-5,C,500,Starter scaling 20%,1000,-2000,-4000,600,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch H,下重拳,2HP,12,12-14,21,5,-6,SA,900,Starter scaling 20%,2500,-5000,-8000,1000,High,2 frames of recovery added when the attack misses,攻击挥空+2f收招
crouching_heavy_kick_h,normal,Crouching Heavy Kick H,下重脚,2HK,9,9-11,24,D,-11,,900,,3000,-4000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown",确反康强制倒地，延长倒地时间
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump) L,跳轻拳,J>LP,4,4-8,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump) L,跳轻脚,J>LK,5,5-9,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_medium_punch_during_a_jump_m,normal,Jumping Medium Punch (During a jump) M,跳中拳,J>MP,9,9-13,3 frame(s) after landing,,,C,600,,1000,-3000,-4000,500,Mid,Forces a juggle state when hitting a mid-air opponent,命中空中对手造成浮空硬直
jumping_medium_kick_during_a_jump_m,normal,Jumping Medium Kick (During a jump) M,跳中脚,J>MK,7,7-12,3 frame(s) after landing,,,,500,,1000,-2500,-4000,500,Mid,,
jumping_heavy_punch_during_a_jump_h,normal,Jumping Heavy Punch (During a jump) H,跳重拳,J>HP,8,8-16,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,MidMid,Forces a slam knockdown when hitting a mid-air opponent on the 2nd attack,第二段攻击命中空中对手造成砸地倒地
jumping_heavy_kick_during_a_jump_h,normal,Jumping Heavy Kick (During a jump) H,跳重脚,J>HK,10,10-14,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Forces a slam knockdown when hitting a mid-air opponent when transitioning from Wing Stroke or Arabian Skyhigh,当从阿拉伯高空或鹰翼袭过渡命中空中对手时造成砸地倒地
