id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch,站轻拳,5LP,4,4-6,7,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_light_kick_l,normal,Standing Light Kick,站轻脚,5LK,5,5-7,11,2,-4,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch,站中拳,5MP,6,6-9,11,7,-1,C,600,,1500,-3000,-4000,500,High,,
standing_medium_kick_m,normal,Standing Medium Kick,站中脚,5MK,9,9-11,18,4,-4,,700,,2000,-4000,-6000,700,High,,
standing_heavy_punch_h,normal,Standing Heavy Punch,站重拳,5HP,10,10-14,18,4,-2,C,800,,2000,-5000,-8000,1000,High,Forces the opponent into a standing position,强制对手站立
standing_heavy_kick_h,normal,Standing Heavy Kick,站重脚,5HK,12,12-15,20,9,1,,900,,3000,-6000,-10000,1000,High,Forces a juggle state when hitting a mid-air opponent Produces a crumple stun for 36 frames when the attack lands as a Punish Counter Juggle state time is extended when attack hits a mid-air opponent as a Punish Counter,命中空中对手时造成浮空硬直，确反康命中对手造成36f崩防硬直。确反康命中空中对手时浮空硬直时间增加
crouching_light_punch_l,normal,Crouching Light Punch,下轻拳,2LP,4,4-5,9,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick,下轻脚,2LK,5,5-6,10,3,-1,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch,下中拳,2MP,6,6-9,13,5,0,C,600,,1500,-3000,-4000,500,High,2 frames of recovery added when the attack misses,攻击挥空+2f收招
crouching_medium_kick_m,normal,Crouching Medium Kick,下中脚,2MK,8,8-10,19,1,-6,C,500,Starter scaling 20%,1000,-2000,-4000,500,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch,下重拳,2HP,9,9-14,22,1,-7,C,800,,3000,-7500,-10000,1200,High,Can only be canceled on the 1st active frame if the attack hits Forces the opponent into a standing position,只有攻击命中能在第一帧打击帧取消。强制对手站立。
crouching_heavy_kick_h,normal,Crouching Heavy Kick,下重脚,2HK,9,9-11,23,D,-12,,900,,3000,-4000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown",确反康强制倒地，增加倒地时间
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump),跳轻拳,J>LP,4,4-13,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump),跳轻脚,J>LK,6,6-15,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,Has cross-up attack properties,有逆向判定
