id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch,站轻拳,5LP,5,5-7,11,4,-3,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_light_kick_l,normal,Standing Light Kick,站轻脚,5LK,7,7-8,15,-1,-4,C,400,Starter scaling 20%,250,-500,-2000,300,High,2 frames of recovery added when the attack misses,攻击挥空+2f收招
standing_medium_punch_m,normal,Standing Medium Punch,站中拳,5MP,6,6-9,15,6,2,,600,,2000,-3000,-4000,700,High,,
standing_medium_kick_m,normal,Standing Medium Kick,站中脚,5MK,11,11-14,19,3,-3,,700,,2000,-4000,-6000,700,High,,
standing_heavy_punch_h,normal,Standing Heavy Punch,站重拳,5HP,15,15-18,22,0,-5,,800,,3000,-6000,-8000,1000,High,3 frames of recovery added when the attack misses,攻击挥空+3f收招
standing_heavy_kick_h,normal,Standing Heavy Kick,站重脚,5HK,10,10-15,21,1,-5,C,900,Starter scaling 20%,2000,-6000,-8000,1000,High,4 frames of recovery added when the attack misses Forces the opponent into a standing position,攻击挥空+4f收招
crouching_light_punch_l,normal,Crouching Light Punch,下轻拳,2LP,4,4-5,10,5,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick,下轻脚,2LK,5,5-7,12,1,-3,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch,下中拳,2MP,7,7-9,17,4,-1,C,600,,1500,-3000,-4000,500,High,1 frames of recovery subtracted on hit,命中对手-1f收招
crouching_medium_kick_m,normal,Crouching Medium Kick,下中脚,2MK,9,9-11,18,5,-2,,600,Starter scaling 20%,2000,-2000,-6000,600,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch,下重拳,2HP,11,11-14,21,1,-5,C,800,,2000,-5000,-8000,1000,High,,
crouching_heavy_kick_h,normal,Crouching Heavy Kick,下重脚,2HK,11,11-13,26,D,-12,,900,,3000,-4000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown",确反康强制倒地，延长倒地时间
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump),跳轻拳,J>LP,4,4-10,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump),跳轻脚,J>LK,5,5-14,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,Has cross-up attack properties,有逆向判定
jumping_medium_punch_during_a_jump_m,normal,Jumping Medium Punch (During a jump),跳中拳,J>MP,8,8-12,3 frame(s) after landing,,,,700,,1000,-3000,-4000,500,*Mid,*Second attack is considered a high attack only when blocked Forces a juggle state when hitting a mid-air opponent,被格挡时第二段攻击为上段强。命中空中对手造成浮空硬直
jumping_medium_kick_during_a_jump_m,normal,Jumping Medium Kick (During a jump),跳中脚,J>MK,8,8-15,3 frame(s) after landing,,,,700,,1000,-2500,-4000,500,Mid,,
jumping_heavy_punch_during_a_jump_h,normal,Jumping Heavy Punch (During a jump),跳重拳,J>HP,10,10-15,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Produces a slam knockdown when hitting a mid-air opponent,命中空中对手造成砸地倒地
jumping_heavy_kick_during_a_jump_h,normal,Jumping Heavy Kick (During a jump),跳重脚,J>HK,10,10-15,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Forces a juggle state when hitting a mid-air opponent,命中空中对手造成浮空硬直
tiger_heavy_elbow_m,normal,Tiger Heavy Elbow,猛虎重砸肘,6MP,22,22-24,19,3,-2,,700,,1000,-5000,-5000,500,Mid,Adds a floor bounding effect during a mid-air hit,命中空中对手造成弹地效果
tiger_monolith_h,normal,Tiger Monolith,猛虎巨石,4HP,8,8-15,25,D,-10,C,800,Starter scaling 10%,2000,-6000,-8000,1000,High,First attack produces a floor bound on counter or Punish Counter,打康或确反康第一段攻击造成弹地效果
low_step_kick_l,normal,Low Step Kick,前踏低扫踢,6LK,18,18-20,18,3,-3,,700,Starter scaling 30%,2000,-4000,-5000,1000,Low,3 frames of recovery added when the attack misses,攻击挥空时+3f收招
high_step_kick_h,normal,High Step Kick,前踏高扫踢,6HK,16,16-19,21,7,4,,900,Starter scaling 10% Combo scaling 15%,6000,-8000,-10000,1000,High,Overall frames decreased by 3 frames when blocked Adds +21 frames of advantage on a Punish Counter,被防时-3帧收招，确反康+21帧有利
middle_step_kick_m_h,targetcombo,Middle Step Kick,前踏中扫踢,5MK>5HK,19,19-21,23,D,-8,,800,,2500,-3000,-8000,1000,High,,
tiger_sting_h_h,targetcombo,Tiger Sting,猛虎扎,5HP>5HK,16,16-18,27,D,-12,,1200,,3000,-6000,-5000,1000,High,,
tiger_slash_m_h,targetcombo,Tiger Slash,猛虎斩,2MP>5HP,20,20-22,27,-2,-14,C,600,,1500,-5000,-8000,1000,High,Adds a floor bounding effect during a mid-air hit,命中空中对手有弹地效果
tiger_rise_m_h,targetcombo,Tiger Rise,猛虎升,2MP>5HK,18,18-21,26,D,-10,SA,1000,Starter scaling 30%,3000,-5000,-8000,1200,High,,
m_high_tiger_shot_m,special,High Tiger Shot,猛虎波（中）,236MP,16,,42 total frames,3,3,SA3,700,,1000,-4000,-3500,600,High - Projectile,,
h_high_tiger_shot_h,special,High Tiger Shot,猛虎波（重）,236HP,12,,42 total frames,-1,-1,SA3,700,,1000,-4000,-3500,600,High - Projectile,,
od_high_tiger_shot_m_h,special,OD High Tiger Shot,OD猛虎波,236MPHP,21,,48 total frames,D,6,SA2,1000,Starter scaling 20% Combo scaling 20%,0,-6000,-5000,600,High - Projectile,,
low_tiger_shot_l,special,Low Tiger Shot,下段猛虎波,236LP,14,,50 total frames,-3,-7,SA3,600,Combo scaling 20%,1000,-2500,-3000,600,High - Projectile,,
od_low_tiger_shot,special,OD Low Tiger Shot,OD下段猛虎波,236PP,12,,44 total frames,D,-1,SA2,800,Starter scaling 20% Combo scaling 20%,0,-2500,-5000,600,High - Projectile,,
l_tiger_uppercut_l,special,Tiger Uppercut,猛虎升龙破（轻）,623LP,5,5-14,35+12 frame(s) after landing,D,-37,SA3,1100,Starter scaling 30%,2000,-4000,-5000,1000,High,Invincible against mid-air projectiles and strikes with mid-air hitboxes from frames 1 - 14 Considered airborne from frames 9 - 49,1-14帧对空无敌，9-49帧浮空
m_tiger_uppercut_m,special,Tiger Uppercut,猛虎升龙破（中）,623MP,10,10-19,40+15 frame(s) after landing,D,-45,SA3,1400,Starter scaling 20%,2000,-4000,-5000,1000,High,Invincible against mid-air projectiles and strikes with mid-air hitboxes from frames 1 - 13 Considered airborne from frames 14 - 59,1-13帧对空无敌，14-59帧浮空
h_tiger_uppercut_h,special,Tiger Uppercut,猛虎升龙破（重）,623HP,18,18-27,40+15 frame(s) after landing,D,-45,SA3,1600,Starter scaling 10%,3000,-6000,-8000,1300,High,Hold down the button for over 24 frames to change its properties Invincible against mid-air projectiles and strikes with mid-air hitboxes from frames 1 - 21 Considered airborne from frames 22 - 67,按住按钮超过24帧蓄力，1-21帧对空无敌，22-67帧浮空
h_tiger_uppercutcharged_hold_h,special,Tiger Uppercut(Charged) Hold,猛虎升龙破（重）（蓄力）,623[HP],35,35-44,40+15 frame(s) after landing,D,-45,SA3,2800,,8000,-10000,-15000,3500,High,Invincible against mid-air projectiles and strikes with mid-air hitboxes from frames 1 - 9 and 28 - 38 Considered airborne from frames 39 - 84,1-9，28-38帧对空无敌，39-84帧浮空
od_tiger_uppercut,special,OD Tiger Uppercut,OD猛虎升龙破,623PP,8,8-19,38+15 frame(s) after landing,D,-43,,1600,,0,-5000,0,1000,High,Completely invincible between frames 1 - 12 Considered airborne from frames 13 - 57,1-12帧无敌，13-57帧浮空
l_tiger_knee_crush_l,special,Tiger Knee Crush,猛虎跳膝撞（轻）,236LK,14,14-24,18,D,-8,,800,Starter scaling 20%,2000,-4000,-5000,800,High,Considered airborne from frames 13 - 27 Recovery added by 3 frames on super armor hit,13-27帧浮空，击中霸体后+3f收招
m_tiger_knee_crush_m,special,Tiger Knee Crush,猛虎跳膝撞（中）,236MK,18,18-28,18,D,-7,,1000,Starter scaling 20%,2000,-5000,-5000,1000,High,Considered airborne from frames 16 - 31 Recovery added by 3 frames on super armor hit,16-31帧浮空，击中霸体后+3f收招
h_tiger_knee_crush_h,special,Tiger Knee Crush,猛虎跳膝撞（重）,236HK,22,22-40,18,D,-5,SA3,1400,,3000,-8000,-8000,1500,High,Considered airborne from frames 24 - 43 Damage changed to 1300 and blowback time is increased when hitting the attack in a specific location between the 3rd and 4th active frame of the first attack.,24-43帧浮空，当打击帧第3和第4帧时在特定位置命中对手伤害改为1300，增加推板距离
od_tiger_knee_crush,special,OD Tiger Knee Crush,OD猛虎跳膝撞,236KK,19,19-36,18,D,-2,SA2,1600,Starter scaling 30% Combo scaling 20%,0,-7000,-6000,1200,High,Considered airborne from frames 21 - 38 Blowback time increased when hitting from close range,21-38帧浮空，近距离时推板距离增加
l_tiger_nexus_l,special,Tiger Nexus,猛虎连结（轻）,214LK,17,17-19,23,2,-5,SA3,500,Starter scaling 20%,2000,-3000,-5000,500,High,"Can transition to Mighty Tiger, Greedy Tiger and Nova Tiger between frames 25 - 28 Forces a juggle state when the attack lands as a counter or Punish Counter.",25-28帧可以派生后续，打康或确反康造成浮空硬直
m_tiger_nexus_m,special,Tiger Nexus,猛虎连结（中）,214MK,20,20-22,23,2,-5,SA3,500,Starter scaling 20%,2000,-3000,-5000,500,High,"Can transition to Mighty Tiger, Greedy Tiger and Nova Tiger between frames 28 - 31 Forces a juggle state when the attack lands as a counter or Punish Counter.",28-31帧可以派生后续，打康或确反康造成浮空硬直
h_tiger_nexus_h,special,Tiger Nexus,猛虎连结（重）,214HK,28,28-35,20,4,-3,SA3,500,,3000,-4000,-10000,700,High,"Recovery increased by 2 frames on Perfect Parry Can transition to Mighty Tiger, Greedy Tiger and Nova Tiger between frames 38 - 41",被精防后+2f收招，38-41帧派生后续
od_tiger_nexus,special,OD Tiger Nexus,OD猛虎连结,214KK,23,23-30,20,4,-3,SA2,500,,0,-4000,-10000,700,High,"Recovery increased by 2 frames on Perfect Parry Can transition to Mighty Tiger, Greedy Tiger and Nova Tiger between frames 33 - 36",被精防后+2f收招，33-36帧派生后续
mighty_tiger_during_tiger_nexus_l,special,Mighty Tiger (During Tiger Nexus),猛虎猛击,214K>6LK,15,15-17,22,3,-5,SA3,800,Starter scaling 20%,2000,-2000,-5000,600,Mid,Adds a floor bounding effect during a mid-air hit,命中空中对手造成弹地效果
od_mighty_tiger_during_od_tiger_nexus_l,special,OD Mighty Tiger (During OD Tiger Nexus),OD猛虎猛击,214KK>6LK,15,15-17,22,3,-5,SA2,800,Starter scaling 20%,0,-2000,-5000,600,Mid,Adds a floor bounding effect during a mid-air hit,命中空中对手造成弹地效果
greedy_tiger_during_tiger_nexus_m,special,Greedy Tiger (During Tiger Nexus),猛虎贪婪,214K>6MK,17,17-19,17,D,4,SA3,1000,Combo scaling 20%,3000,-8000,-5000,600,High,2 frames of recovery added when the attack misses,攻击挥空+2f收招
od_greedy_tiger_during_od_tiger_nexus_m,special,OD Greedy Tiger (During OD Tiger Nexus),OD猛虎贪婪,214KK>6MK,17,17-19,17,D,4,SA2,1000,Combo scaling 20%,0,-8000,-5000,600,High,2 frames of recovery added when the attack misses,攻击挥空+2f收招
nova_tiger_during_tiger_nexus_h,special,Nova Tiger (During Tiger Nexus),猛虎新星,214K>6HK,21,21-23,19,D,2,SA3,800,Combo scaling 20%,2000,-3000,-5000,600,High,,
od_nova_tiger_during_od_tiger_nexus_h,special,OD Nova Tiger (During OD Tiger Nexus),OD猛虎新星,214KK>6HK,21,21-23,19,D,2,SA2,800,Combo scaling 20%,0,-3000,-5000,600,High,,
sa1_tiger_cannon,super,SA1 Tiger Cannon,猛虎炮,236236P,13,,109 total frames,D,-31,,2200,,0,-2500,-5000,0,High - Projectile,Invincible to strikes and throws on frames 1 - 13 Values do not change on counter or Punish Counter Minimum guaranteed damage is set to 30%,1-13帧打投无敌，伤害不会随打康类型改变，保底修正30%
sa2_savage_tiger,super,SA2 Savage Tiger,残暴之虎,214214K,10,10-14,73,,-58,,500,,0,-5000,-2000,0,High,Completely invincible on frames 1 - 14 Minimum guaranteed damage is set to 40% Values do not change on counter or Punish Counter Pressing a direction on frame 76 after the attack hits produces a different follow-up attack: Neutral - Savage Tiger Raid Forward - Savage Tiger Zenith Back - Savage Tiger Pendulum Down - Savage Tiger Stomp,1-14帧无敌，保底修正40%，伤害不会随打康种类改变。命中后第76帧输入后续派生指令。
sa2_savage_tiger_raid_during_savage_tigerno_input,super,SA2 Savage Tiger Raid (During Savage Tiger)(No input),残暴之虎突袭,214214K,,,,D,,,2500,,0,,-8000,0,High,Minimum guaranteed damage is set to 40% Values do not change on counter or Punish Counter,保底修正40%，伤害不会随打康种类改变
sa2_savage_tiger_zenith_during_savage_tiger,super,SA2 Savage Tiger Zenith (During Savage Tiger),残暴之虎巅峰,214214K>6,,,,D,,,1200,Starter scaling 50% Combo scaling 40%,0,,-8000,0,High,Minimum guaranteed damage is set to 40% Values do not change on counter or Punish Counter,保底修正40%，伤害不会随打康种类改变
sa2_savage_tiger_pendulum_during_savage_tiger,super,SA2 Savage Tiger Pendulum (During Savage Tiger),残暴之虎摆荡,214214K>4,,,,D,,,2200,,0,,-8000,0,High,Minimum guaranteed damage is set to 40% Values do not change on counter or Punish Counter,保底修正40%，伤害不会随打康种类改变
sa2_savage_tiger_stomp_during_savage_tiger,super,SA2 Savage Tiger Stomp (During Savage Tiger),残暴之虎重锤,214214K>2,,,,D,,,2200,,0,,-8000,0,High,Minimum guaranteed damage is set to 40% Values do not change on counter or Punish Counter,保底修正40%，伤害不会随打康种类改变
sa3_tiger_vanquisher,super,SA3 Tiger Vanquisher,猛虎征服者,236236K,12,12-15,67,D,-51,,4000,,0,-7500,-15000,0,High,Completely invincible between frames 1 - 15 The minimum guaranteed damage is 50% Values do not change when the attack lands as a counter or Punish Counter * Can only be canceled into from special moves,1-15帧无敌，保底修正50%，伤害不会随打康种类改变，只能取消必杀
ca_tiger_vanquisher,super,CA Tiger Vanquisher,CA猛虎征服者,236236K,12,12-15,67,D,-51,,4500,,0,-10000,-20000,0,High,Completely invincible between frames 1 - 15 The minimum guaranteed damage is 50% Values do not change when the attack lands as a counter or Punish Counter * Can only be canceled into from special moves,1-15帧无敌，保底修正50%，伤害不会随打康种类改变，只能取消必杀
tiger_hang_when_near_opponent_l_l,throw,Tiger Hang (When near opponent),猛虎悬,LPLK,5,5-7,23,D,,,1200,Immediate scaling 20%,2000,0,-10000,2000,Throw,Properties change to the following when the attack lands as a Punish Counter: - Deals 2040 damage - Super Art gauge increases by 4000 - Forces a hard knockdown,投到确反康性质变化：1，伤害增加为2040；2，超级必杀槽增加4000；3，强制倒地
tiger_carry_when_near_opponent_l_l,throw,Tiger Carry (When near opponent),猛虎摔,4LPLK,5,5-7,23,D,,,1200,Immediate scaling 20%,2000,0,-10000,2000,Throw,Properties change to the following when the attack lands as a Punish Counter: - Deals 2040 damage - Super Art gauge increases by 4000 - Forces a hard knockdown,投到确反康性质变化：1，伤害增加为2040；2，超级必杀槽增加4000；3，强制倒地
forward_dash,common,Forward Dash,前前,66,,,23 total frames,,,,0,,0,0,0,0,,,
backward_dash,common,Backward Dash,后后,44,,,23 total frames,,,,0,,0,0,0,0,,Invincible to throws between frames 1 - 15,第1-15帧对投无敌
