id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch L,站轻拳,5LP,4,4-6,7,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_light_kick_l,normal,Standing Light Kick L,站轻脚,5LK,5,5-6,12,2,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch M,站中拳,5MP,7,7-9,16,2,-3,C,700,,1500,-3000,-4000,500,High,,
standing_medium_kick_m,normal,Standing Medium Kick M,站中脚,5MK,9,9-11,18,5,-2,,700,,2000,-4000,-6000,700,High,,
standing_heavy_punch_h,normal,Standing Heavy Punch H,站重拳,5HP,9,9-12,18,2,1,C,800,,2000,-5000,-8000,1000,High,2 frames of recovery subtracted when attack is blocked,攻击被防时+2f收招
standing_heavy_kick_h,normal,Standing Heavy Kick H,站重脚,5HK,12,12-15,21,1,-4,,900,,3000,-6000,-8000,1000,High,"Produces a crumple stun on Punish Counter, and +18 frame advantage",确反康造成崩防硬直，+19f有利
crouching_light_punch_l,normal,Crouching Light Punch L,下轻拳,2LP,4,4-6,8,4,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick L,下轻脚,2LK,5,5-6,11,3,-2,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch M,下中拳,2MP,6,6-9,14,5,-1,C,600,,1500,-3000,-4000,600,High,,
crouching_medium_kick_m,normal,Crouching Medium Kick M,下中脚,2MK,8,8-10,19,-2,-6,C,500,Starter scaling 20%,1000,-2000,-4000,500,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch H,下重拳,2HP,8,8-13,22,1,-4,C,800,,2000,-5000,-8000,1000,High,Forces the opponent into a standing position 3 frames of recovery subtracted on hit or when blocked,强制对手站立。命中或被防后-3f收招
crouching_heavy_kick_h,normal,Crouching Heavy Kick H,下重脚,2HK,10,10-12,24,D,-11,,900,,3000,-4000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown",确反康强制倒地，延长倒地时间
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump) L,跳轻拳,J>LP,4,4-10,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump) L,跳轻脚,J>LK,5,5-11,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_medium_punch_during_a_jump_m,normal,Jumping Medium Punch (During a jump) M,跳中拳,J>MP,7,7-12,3 frame(s) after landing,,,,500,,1000,-2500,-4000,500,Mid,Has cross-up attack properties,有逆向判定
jumping_medium_kick_during_a_jump_m,normal,Jumping Medium Kick (During a jump) M,跳中脚,J>MK,7,7-10,3 frame(s) after landing,,,,700,,1000,-2500,-4000,500,Mid,Forces a juggle state when hitting a mid-air opponent,命中空中对手造成浮空硬直
jumping_heavy_punch_during_a_jump_h,normal,Jumping Heavy Punch (During a jump) H,跳重拳,J>HP,9,9-14,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Forces a slam knockdown on counter or Punish Counter when hitting a mid-air opponent,打康或确反康命中空中对手造成砸地倒地
