id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch L,站轻拳,5LP,4,4-6,8,4,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled Can be canceled into High Jump,可以连击取消，可以大跳取消
standing_light_kick_l,normal,Standing Light Kick L,站轻脚,5LK,5,5-7,11,3,-2,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be canceled into High Jump,可以大跳取消
standing_medium_punch_m,normal,Standing Medium Punch M,站中拳,5MP,8,8-11,12,6,1,C,600,,1500,-3000,-4000,500,High,Can be canceled into High Jump,可以大跳取消
standing_medium_kick_m,normal,Standing Medium Kick M,站中脚,5MK,8,8-10,18,4,-3,,700,,2000,-4000,-6000,700,High,2 frames of recovery added when the attack misses Can be canceled into High Jump,攻击挥空+2f收招。可以大跳取消
standing_heavy_punch_h,normal,Standing Heavy Punch H,站重拳,5HP,12,12-14,21,3,-3,,900,,3000,-6000,-10000,1000,High,Can be canceled into High Jump,可以大跳取消
standing_heavy_kick_h,normal,Standing Heavy Kick H,站重脚,5HK,10,10-13,20,4,-3,,900,,3000,-6000,-10000,1000,High,Adds a floor bounding effect during a mid-air hit Adds +19 frames of advantage on a Punish Counter Can be canceled into High Jump,击中空中对手造成弹地效果，确反康+19f有利。可以大跳取消
crouching_light_punch_l,normal,Crouching Light Punch L,下轻拳,2LP,4,4-6,8,5,-1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled Can be canceled into High Jump,可以大跳取消，可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick L,下轻脚,2LK,5,5-6,9,4,-1,,200,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled Can be canceled into High Jump,可以大跳取消，可以连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch M,下中拳,2MP,6,6-8,17,5,-2,C,600,,1500,-3000,-4000,500,High,Can be canceled into High Jump,可以大跳取消
crouching_medium_kick_m,normal,Crouching Medium Kick M,下中脚,2MK,8,8-10,17,5,-1,,600,Starter scaling 20%,2000,-3000,-5000,600,Low,Can be canceled into High Jump,可以大跳取消
crouching_heavy_punch_h,normal,Crouching Heavy Punch H,下重拳,2HP,9,9-11,20,2,-5,C,800,,2000,-5000,-8000,1000,High,Can be canceled into High Jump Forces the opponent into a standing position,可以大跳取消，强制对手站立
crouching_heavy_kick_h,normal,Crouching Heavy Kick H,下中脚,2HK,10,10-12,25,D,-11,,900,,3000,-4000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown",确反康强制倒地，增加倒地时间
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump) L,跳轻拳,J>LP,5,5-10,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump) L,跳轻脚,J>LK,5,5-11,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_medium_punch_during_a_jump_m,normal,Jumping Medium Punch (During a jump) M,跳中拳,J>MP,8,8-13,3 frame(s) after landing,,,C,600,,1000,-3000,-4000,500,Mid,Forces a juggle state when hitting a mid-air opponent,击中空中对手时造成浮空硬直
jumping_medium_kick_during_a_jump_m,normal,Jumping Medium Kick (During a jump) M,跳中脚,J>MK,7,7-12,3 frame(s) after landing,,,,500,,1000,-2500,-4000,500,Mid,Has cross-up attack properties,有逆向判定
jumping_heavy_punch_during_a_jump_h,normal,Jumping Heavy Punch (During a jump) H,跳重拳,J>HP,11,11-15,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Produces a slam knockdown when hitting a mid-air opponent,击中空中对手时造成砸地效果
jumping_heavy_kick_during_a_jump_h,normal,Jumping Heavy Kick (During a jump) H,跳重脚,J>HK,8,8-14,3 frame(s) after landing,,,C,700,,2000,-4000,-5000,1000,Mid,Has cross-up attack properties,有逆向判定
neutral_jumping_heavy_kick_during_a_neutral_jump_h,normal,Neutral Jumping Heavy Kick (During a neutral jump) H,直跳重脚,8>HK,10,10-16,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,,
viper_elbow_m,normal,Viper Elbow M,毒蛇肘击,6MP,22,22-24,20,2,-3,,600,,1500,-2500,-5000,500,Mid,Feet are invincible between frames 16 - 27,第16-27帧脚部无敌
double_kick_h,normal,Double Kick H,双连踢,6HK,11,11-31,16,4,-2,,900,Starter scaling 20%,3000,-5000,-10000,1000,High,,
high_jump_forward,special,High Jump (Forward),大跳（前）,29,,,46+3 frame(s) after landing,,,,0,,0,0,0,0,,Consumes 10000 of the Drive gauge on activation. Considered airborne from frames 7 - 46 Can be canceled into a special move between frames 2 - 5,消耗10000点斗气槽，第7-16帧浮空，第2-5帧可以取消必杀技
high_jump_neutral,special,High Jump (Neutral),大跳（重）,28,,,46+3 frame(s) after landing,,,,0,,0,0,0,0,,Consumes 10000 of the Drive gauge on activation. Considered airborne from frames 7 - 46 Can be canceled into a special move between frames 2 - 5,消耗10000点斗气槽，第7-16帧浮空，第2-5帧可以取消必杀技
l_thunder_dash_l,special,L Thunder Dash L,雷电掴打（轻）,214LP,17,17-20,23,1,-4,SA3,900,,2000,-4000,-6000,800,High,Can transition into Feint on frame 12 Can transition into follow-up attack on frame 20 on either hit or block,第12帧可以取消到假动作，打中或打防可在第20帧派生后续
m_thunder_dash_m,special,M Thunder Dash M,雷电掴打（中）,214MP,16,16-19,22,1,-3,SA3,900,,2000,-4000,-6000,800,High,Can transition into Feint on frame 8 Can transition into follow-up attack on frame 19 on either hit or block,第8帧可以取消假动作，打中或打防都可以在第19帧派生后续
h_thunder_dash_h,special,H Thunder Dash H,雷电掴打（重）,214HP,7,7-16,37,D,-24,,900,,4000,-4000,-5000,1000,High,Invincible against mid-air projectiles and strikes with mid-air hitboxes from frames 1 - 9 Considered airborne from frames 9 - 31 Can transition into Feint on frame 6 Can transition into follow-up attack on frame 17 on either hit or block,第1-9帧对空无敌，9-31帧浮空，第6帧可以取消假动作，打中或打防可以在第17帧派生后续
od_thunder_dash,special,OD Thunder Dash,OD雷电掴打,214PP,18,18-41,21,D,-2,SA2,1600,Starter scaling 30% Combo scaling 20%,0,-5000,-8000,1200,High,,
l_tracer_combination_during_l_thunder_dash,special,L Tracer Combination (During L Thunder Dash),追踪组合技（轻）,214LP>6PP,15,15-17,28,D,-15,SA3,600,,0,-4000,-4000,500,High,Consumes 10000 of the Drive gauge on activation.,消耗10000点斗气槽
m_tracer_combination_during_m_thunder_dash,special,M Tracer Combination (During M Thunder Dash),追踪组合技（中）,214MP>6PP,21,21-24,25,D,-13,SA3,600,,0,-4000,-4000,500,High,Consumes 10000 of the Drive gauge on activation. Adds a floor bounding effect during a mid-air hit,消耗10000点斗气槽，击中浮空对手有弹地效果
h_tracer_combination_during_h_thunder_dash,special,H Tracer Combination (During H Thunder Dash),追踪组合技（重）,214HP>6PP,17,17-20,37,D,ー,,500,,0,-4000,-4000,500,High,Consumes 10000 of the Drive gauge on activation.,消耗10000点斗气槽
thunder_dashfeint_before_thunder_dash_is_performed,special,[Thunder Dash]Feint (Before Thunder Dash is performed),假动作(电拳取消),214P>K,,,12 total frames,,,,0,,0,0,0,0,,,
l_burning_kick_l,special,L Burning Kick L,烈焰踢（轻）,236LK,23,23-27,20,D,-2,,900,,2500,-4000,-7000,1000,High,Considered airborne from frames 5 - 34 Can transition into Knuckled Pursuit or Double Burn between frames 27 - 29 Juggle state time is extended when attack lands as a Punish Counter.,第5-34帧浮空，第27-29帧可以派生后续，打中确反康后对手浮空硬直增加
m_burning_kick_m,special,M Burning Kick M,烈焰踢（中）,236MK,25,25-29,20,D,-2,,900,,2500,-4000,-7000,1000,High,Considered airborne from frames 5 - 36 Can transition into Knuckled Pursuit or Double Burn between frames 29 - 31 Juggle state time is extended when attack lands as a Punish Counter.,第5-36帧浮空，第29-31帧可以派生后续，打中确反康后对手浮空硬直增加
h_burning_kick_h,special,H Burning Kick H,烈焰踢（重）,236HK,27,27-31,20,D,-2,,900,,2500,-4000,-7000,1000,High,Considered airborne from frames 5 - 38 Can transition into Knuckled Pursuit or Double Burn between frames 31 - 33 Juggle state time is extended when attack lands as a Punish Counter.,第5-38帧浮空，第31-33帧可以派生后续，打中确反康后对手浮空硬直增加
od_burning_kick,special,OD Burning Kick,OD烈焰踢,236KK,8,8-35,21,D,-4,SA2,1500,Starter scaling 30% Combo scaling 20%,0,-5000,-10000,1200,High,Considered airborne from frames 11 - 43,第11-43帧浮空
knuckled_pursuit_during_burning_kick,special,Knuckled Pursuit (During Burning Kick),追击冲拳,236K>PP,12,12-15,34,D,-15,,800,,0,-4000,-4000,500,High,Consumes 10000 of the Drive gauge on activation.,消耗10000点斗气槽
double_burn_during_burning_kick,special,Double Burn (During Burning Kick),双重灼烧,236K>KK,21,21-25,20,D,2,,600,,0,-4000,-6000,500,High,Consumes 10000 of the Drive gauge on activation.,消耗10000点斗气槽
l_aerial_burning_kick_during_a_neutral_or_forward_jump_l,special,L Aerial Burning Kick (During a neutral or forward jump) L,空中烈焰踢（轻）,8/9>236LK,22,22-28,13 frame(s) after landing,D,-4～0,,900,,2500,-4000,-7000,1000,High,Has cross-up attack properties Recovery on block changes depending on the height of the attack when it is blocked Adds 8 frame to landing recovery when the attack leaps over the opponent and misses,有逆向判定，打防帧数取决于打点高度，当攻击挥空且换边时+8f收招
m_aerial_burning_kick_during_a_neutral_or_forward_jump_m,special,M Aerial Burning Kick (During a neutral or forward jump) M,空中烈焰踢（中）,8/9>236MK,20,20-26,13 frame(s) after landing,D,-4～0,,900,,2500,-4000,-7000,1000,High,Has cross-up attack properties Recovery on block changes depending on the height of the attack when it is blocked Adds 8 frame to landing recovery when the attack leaps over the opponent and misses,有逆向判定，打防帧数取决于打点高度，当攻击挥空且换边时+8f收招
h_aerial_burning_kick_during_a_neutral_or_forward_jump_h,special,H Aerial Burning Kick (During a neutral or forward jump) H,空中烈焰踢（重）,8/9>236HK,18,18-24,13 frame(s) after landing,D,-5～-2,,900,,2500,-4000,-7000,1000,High,Has cross-up attack properties Recovery on block changes depending on the height of the attack when it is blocked Adds 8 frame to landing recovery when the attack leaps over the opponent and misses,有逆向判定，打防帧数取决于打点高度，当攻击挥空且换边时+8f收招
