id,category,nameEN,nameCN,input,startup,active,recovery, onHit,onBlock,cancel,damage,comboScaling,driveOnHit,driveOnBlock,driveOnPunishConter,superArt,Properties,notesEN,notesCN
standing_light_punch_l,normal,Standing Light Punch L,站轻拳,5LP,7,7-9,9,4,2,C,400,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
rapid_cancel_versionstanding_light_punch_l,normal,(Rapid cancel version)Standing Light Punch L,站轻拳（连击取消）,5LP,4,4-6,9,4,2,C,400,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
standing_light_kick_l,normal,Standing Light Kick L,站轻脚,5LK,7,7-8,17,-2,-4,C,400,Starter scaling 20%,250,-500,-2000,300,High,,
standing_medium_punch_m,normal,Standing Medium Punch M,站中拳,5MP,9,9-12,17,2,-2,,700,,2500,-5000,-6000,700,High,,
standing_medium_kick_m,normal,Standing Medium Kick M,站中脚,5MK,10,10-13,19,1,-4,,900,,3000,-6000,-8000,900,High,,
standing_heavy_punch_h,normal,Standing Heavy Punch H,站重拳,5HP,16,16-18,22,3,-3,,1000,,3500,-6000,-8000,1000,High,"Forces a juggle state when the attack lands as a Punish Counter 5 frames of recovery added when the attack misses When the button is held, 1 hit of super armor is added to the upper half of the body from frame 4 Hold down the button for over 23 frames to change its properties",确反康命中造成浮空硬直，攻击挥空+5f收招。蓄力时一段霸体（上段，4f开始），按住按钮23帧蓄力
standing_heavy_punchcharged_hold_h,normal,Standing Heavy Punch(Charged) Hold H,站重拳（蓄力）,5[HP],32,32-34,22,D,3,,1400,,6000,-10000,-13000,1400,High,Super Armor for 1 attack from frames 4 - 34 juggle state time increased when attack lands as a Punish Counter 2 frames of recovery added when the attack misses,4-34帧霸体，确反康浮空时间增加。攻击挥空+2f收招
standing_heavy_kick_h,normal,Standing Heavy Kick H,站重脚,5HK,13,13-16,21,3,1,,1000,,4000,-7000,-11000,1000,High,Forces a juggle state when hitting a mid-air opponent Force a juggle state and increase juggle state time when attack lands as a Punish Counter,命中空中对手造成浮空硬直，确反康造成浮空硬直
crouching_light_punch_l,normal,Crouching Light Punch L,下轻拳,2LP,6,6-7,8,6,1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
rapid_cancel_versioncrouching_light_punch_l,normal,(Rapid cancel version)Crouching Light Punch L,下轻拳（连击取消）,2LP,3,3-4,8,6,1,C,300,Starter scaling 20%,250,-500,-2000,300,High,Can be rapid canceled,可以连击取消
crouching_light_kick_l,normal,Crouching Light Kick L,下轻脚,2LK,4,4-6,12,0,-3,,250,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
rapid_cancel_versioncrouching_light_kick_l,normal,(Rapid cancel version)Crouching Light Kick L,下轻脚（连击取消）,2LK,3,3-5,12,0,-3,,250,Starter scaling 20%,250,-500,-2000,300,Low,Can be rapid canceled,可以连击取消
crouching_medium_punch_m,normal,Crouching Medium Punch M,下中拳,2MP,8,8-10,16,3,-1,C,700,,3000,-6000,-8000,800,High,,
crouching_medium_kick_m,normal,Crouching Medium Kick M,下中脚,2MK,9,9-11,18,3,-2,,700,Starter scaling 20%,2500,-5000,-8000,700,Low,,
crouching_heavy_punch_h,normal,Crouching Heavy Punch H,下重拳,2HP,11,11-19,35,D,-20,,1000,,4000,-7000,-11000,1000,High,Increase juggle state time when attack lands as a Punish Counter Adds a floor bounding effect on Punish Counter,确反康延长浮空硬直，并有弹地效果
crouching_heavy_kick_h,normal,Crouching Heavy Kick H,下重脚,2HK,12,12-14,27,D,-13,,1000,,3500,-4000,-10000,1000,Low,"Knockdown time extended when the attack lands as a Punish Counter, and changes to Hard Knockdown",确反康强制倒地，增加倒地时间
jumping_light_punch_during_a_jump_l,normal,Jumping Light Punch (During a jump) L,跳轻拳,J>LP,5,5-11,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,,
jumping_light_kick_during_a_jump_l,normal,Jumping Light Kick (During a jump) L,跳轻脚,J>LK,5,5-14,3 frame(s) after landing,,,,300,,500,-1500,-2000,300,Mid,Has cross-up attack properties,有逆向判定
jumping_medium_punch_during_a_jump_m,normal,Jumping Medium Punch (During a jump) M,跳中拳,J>MP,8,8-12,3 frame(s) after landing,,,,700,,1000,-3000,-4000,500,Mid,,
jumping_medium_kick_during_a_jump_m,normal,Jumping Medium Kick (During a jump) M,跳中脚,J>MK,8,8-15,3 frame(s) after landing,,,,500,,1000,-2500,-4000,500,Mid,,
jumping_heavy_punch_during_a_jump_h,normal,Jumping Heavy Punch (During a jump) H,跳重拳,J>HP,9,9-14,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Forces a slam knockdown when hitting a mid-air opponent,命中空中对手造成砸地倒地
jumping_heavy_kick_during_a_jump_h,normal,Jumping Heavy Kick (During a jump) H,跳重脚,J>HK,10,10-16,3 frame(s) after landing,,,,800,,2000,-4000,-5000,1000,Mid,Hold down the button for over 20 frames to change its properties,按住20f以上蓄力
jumping_heavy_kickcharged_during_a_jump_hold_h,normal,Jumping Heavy Kick(Charged) (During a jump) Hold H,跳重脚（蓄力）,J>[HK],32,32-37,20 frame(s) after landing,,,,1500,,2000,-4000,-10000,1000,Mid,"Transitions to unique hit and block action, and adds 10 frames to landing recovery Forces a wall bound on Punish Counter",有特殊的打中和打防动作，+10f落地收招，确反康有弹墙效果
hellstab_m,normal,Hellstab M,地狱刺,3MP,7,7-9,21,-1,-3,C,800,,3000,-5000,-6000,700,High,Forces the opponent into a standing position,强制对手站立
knee_hammer_m,normal,Knee Hammer M,膝槌,6MK,14,14-20,13,1,-4,,700,,3000,-6000,-6000,800,High,,
headbutt_h,normal,Headbutt H,头槌,6HP,14,14-18,15,8,4,C,1000,Starter scaling 25% Combo scaling 20%,4500,-8000,-11000,1000,High,2 frames of recovery added when the attack misses,攻击挥空+2f收招
cyclone_wheel_kick_h,normal,Cyclone Wheel Kick H,旋风轮转踢,6HK,22,22-28,25,D,-9,,1300,Combo scaling 20%,4500,-6000,-11000,1200,Mid,Adds a floor bounding effect on Punish Counter,确反康有弹地效果
smetana_dropkick_h,normal,Smetana Dropkick H,酸奶油飞身踢,3HK,16,16-19,40,D,-18,,1000,,4000,-8000,-11000,1200,High,Throw invincible from frames 5 - 26 Wall splat effect added on Punish Counter,5-26帧对投不敌。确反康有墙崩效果
flying_body_press_during_a_jump_h,normal,Flying Body Press (During a jump) H,飞身压,J>2HP,9,9-17,8 frame(s) after landing,,,,800,Combo scaling 20%,2000,-4000,-5000,1000,Mid,Has cross-up attack properties,有逆向判定
flying_headbutt_during_a_neutral_jump_h,normal,Flying Headbutt (During a neutral jump) H,空中头槌,8>8HP,8,8-11,3 frame(s) after landing,,,C,900,,4000,-4000,-8000,1200,Mid,Forces a juggle state when hitting a mid-air opponent,命中空中对手造成浮空硬直
machine_gun_chops2_m_m,targetcombo,Machine Gun Chops(2) M M,机枪手刀（二段）,5MP>5MP,9,9-12,20,2,-6,,600,,1000,-2500,-4000,500,High,,
machine_gun_chops3_m_m_m,targetcombo,Machine Gun Chops(3) M M M,机枪手刀（三段）,5MP>5MP>5MP,15,15-17,32,D,-17,,900,,1000,-2500,-4000,500,High,,
power_stomps1_m,normal,Power Stomps(1) M,能量踩踏（一段）,22MK,9,9-11,17,4,-3,,500,,1500,-2500,-4000,700,Low,,
power_stomps2_m_m,targetcombo,Power Stomps(2) M M,能量踩踏（二段）,22MK>MK,9,9-11,19,-3,-4,C,500,,1500,-2500,-4000,700,Low,,
power_stomps3_m_m_m,targetcombo,Power Stomps(3) M M M,能量踩踏（三段）,22MK>MK>MK,10,10-12,24,-2,-10,C,700,,1500,-2500,-4000,700,Low,,
